(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(2)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(434)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(437)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(438)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(440)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(442)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(444)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(446)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(448)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(451)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(454)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(455)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(456)), {C=0.0008109477952356818, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(457)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(458)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(460)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(462)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(463)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(464)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(465)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(466)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(469)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(470)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(472)), {C=0.0010136847440446021, S=0.0009726680284019065}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(473)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(476)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(477)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(480)), {C=0.0008109477952356818, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(481)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(482)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(483)), {C=0.000912316269640142, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(485)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(486)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(492)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(493)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(495)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(496)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(497)), {C=0.0010136847440446021, S=0.0009726680284019065}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(498)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(499)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(500)), {C=0.0008109477952356818, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(502)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(503)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(504)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(506)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(509)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(511)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(513)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(514)), {C=0.0008109477952356818, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(515)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(516)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(521)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(522)), {C=0.0012164216928535225, S=0.0011672016340822876}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(525)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(527)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(528)), {C=0.0008109477952356818, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(529)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(533)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(534)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(536)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(537)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(539)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(540)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(547)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(548)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(549)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(551)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(552)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(553)), {C=0.000912316269640142, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(554)), {C=0.0008109477952356818, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(555)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(556)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(558)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(562)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(564)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(565)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(566)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(568)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(570)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(571)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(572)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(575)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(576)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(578)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(581)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(582)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(583)), {C=0.0008109477952356818, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(584)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(585)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(586)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(587)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(588)), {C=0.000912316269640142, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(589)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(590)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(592)), {C=0.0008109477952356818, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(593)), {C=0.0012164216928535225, S=0.0011672016340822876}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(594)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(596)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(597)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(598)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(604)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(606)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(608)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(609)), {C=0.0008109477952356818, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(611)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(612)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(613)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(614)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(617)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(620)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(622)), {C=0.000912316269640142, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(624)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(626)), {C=0.000912316269640142, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(628)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(629)), {C=0.0008109477952356818, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(630)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(631)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(633)), {C=0.000912316269640142, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(635)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(636)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(637)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(638)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(639)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(641)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(642)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(643)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(645)), {C=0.0010136847440446021, S=0.0009726680284019065}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(648)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(658)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(660)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(663)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(664)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(668)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(674)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(678)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(679)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(681)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(682)), {C=0.000912316269640142, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(688)), {C=0.000912316269640142, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(690)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(692)), {C=0.0008109477952356818, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(698)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(699)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(703)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(705)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(707)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(710)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(711)), {C=0.0008109477952356818, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(712)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(714)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(719)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(721)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(730)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(733)), {C=0.0010136847440446021, S=0.0009726680284019065}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(735)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(738)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(740)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(743)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(745)), {C=0.0008109477952356818, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(746)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(748)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(755)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(758)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(759)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(760)), {C=0.000912316269640142, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(761)), {C=0.0008109477952356818, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(764)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(768)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(769)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(770)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(776)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(777)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(778)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(780)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(781)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(782)), {C=0.0012164216928535225, S=0.0011672016340822876}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(786)), {C=0.000912316269640142, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(790)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(791)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(797)), {C=0.000912316269640142, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(799)), {C=0.0008109477952356818, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(800)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(803)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(805)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(807)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(809)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(812)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(813)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(815)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(816)), {C=0.0008109477952356818, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(817)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(819)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(824)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(825)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(826)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(827)), {C=0.0008109477952356818, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(828)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(829)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(830)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(832)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(833)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(835)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(836)), {C=0.000912316269640142, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(838)), {C=0.0007095793208312214, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(841)), {C=0.0008109477952356818, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(843)), {C=0.0005068423720223011, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(844)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(846)), {C=0.0006082108464267612, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(house_owner(Y)) --> (buy(847)), {C=0.0007095793208312214, S=0.0006808676198813345}
