(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(59)), {C=0.0006309944472488642, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1182)), {C=0.0006309944472488642, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1192)), {C=0.0006309944472488642, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1206)), {C=0.0006309944472488642, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1212)), {C=0.0007571933366986369, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1218)), {C=0.0006309944472488642, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1229)), {C=0.0006309944472488642, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1232)), {C=0.0006309944472488642, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1329)), {C=0.0007571933366986369, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1343)), {C=0.0007571933366986369, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1347)), {C=0.0006309944472488642, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1352)), {C=0.0007571933366986369, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1362)), {C=0.0006309944472488642, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1365)), {C=0.0006309944472488642, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1416)), {C=0.0006309944472488642, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1419)), {C=0.0008833922261484098, S=0.0006808676198813345}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1435)), {C=0.0006309944472488642, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1441)), {C=0.0007571933366986369, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1486)), {C=0.0006309944472488642, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1487)), {C=0.0006309944472488642, S=0.00048633401420095323}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1509)), {C=0.0007571933366986369, S=0.0005836008170411438}
(age_group(MiddleAdults))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1532)), {C=0.0006309944472488642, S=0.00048633401420095323}
