(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(2)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(674)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(680)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(682)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(685)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(689)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(690)), {C=0.0007985625873427831, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(701)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(717)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(721)), {C=0.000898382910760631, S=0.0008754012255617158}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(723)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(730)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(734)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(735)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(744)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(747)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(751)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(752)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(759)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(763)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(767)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(771)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(772)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(778)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(785)), {C=0.0007985625873427831, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(790)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(794)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(797)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(807)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(811)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(812)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(814)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(817)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(822)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(825)), {C=0.0007985625873427831, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(828)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(836)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(837)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(838)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(844)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(848)), {C=0.0007985625873427831, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(849)), {C=0.000898382910760631, S=0.0008754012255617158}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(850)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(860)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(862)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(863)), {C=0.0007985625873427831, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(865)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(877)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(880)), {C=0.0009982032341784787, S=0.0009726680284019065}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(884)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(888)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(895)), {C=0.000898382910760631, S=0.0008754012255617158}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(896)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(900)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(902)), {C=0.0007985625873427831, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(903)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(908)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(911)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(912)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(914)), {C=0.0007985625873427831, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(917)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(921)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(923)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(925)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(927)), {C=0.0007985625873427831, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(929)), {C=0.0007985625873427831, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(936)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(937)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(947)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(948)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(951)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(954)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(955)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(958)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(961)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(965)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(967)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(968)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(970)), {C=0.0010980235575963266, S=0.001069934831242097}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(971)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(979)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(986)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(990)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(995)), {C=0.000898382910760631, S=0.0008754012255617158}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(996)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(997)), {C=0.0007985625873427831, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1003)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1004)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1005)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1006)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1007)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1010)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1011)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1012)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1021)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1026)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1031)), {C=0.0010980235575963266, S=0.001069934831242097}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1034)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1038)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1041)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1046)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1053)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1055)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1057)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1063)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1064)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1075)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1077)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1079)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1084)), {C=0.0007985625873427831, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1086)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1090)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1097)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1107)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1113)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1115)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1121)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1125)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1134)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1136)), {C=0.0007985625873427831, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1137)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1145)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1148)), {C=0.0007985625873427831, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1150)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1152)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1154)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1156)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1158)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1159)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1167)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1174)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1188)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1191)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1198)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1199)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1203)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1204)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1224)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1227)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1230)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1233)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1245)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1251)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1254)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1260)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1268)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1275)), {C=0.0007985625873427831, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1276)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1277)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1283)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1293)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1295)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1296)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1300)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1301)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1302)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1303)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1310)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1320)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1326)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1332)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1339)), {C=0.0010980235575963266, S=0.001069934831242097}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1341)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1342)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1343)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1346)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1350)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1353)), {C=0.0007985625873427831, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1357)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1359)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1361)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1363)), {C=0.0011978438810141745, S=0.0011672016340822876}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1365)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1366)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1374)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1376)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1380)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1383)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1386)), {C=0.0005989219405070872, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1390)), {C=0.0006987422639249351, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1394)), {C=0.000898382910760631, S=0.0008754012255617158}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1398)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1400)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1401)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1402)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1406)), {C=0.0004991016170892394, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(S)) --> (buy(1407)), {C=0.0004991016170892394, S=0.00048633401420095323}
