(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(7)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1105)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1110)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1114)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1119)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1120)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1121)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1125)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1131)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1139)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1145)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1153)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1165)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1166)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1169)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1172)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1175)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1178)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1191)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1203)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1210)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1213)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1216)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1219)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1222)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1227)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1228)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1230)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1245)), {C=0.002119642016015073, S=0.0008754012255617158}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1251)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1254)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1255)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1262)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1270)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1273)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1275)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1284)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1287)), {C=0.0018841262364578427, S=0.0007781344227215252}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1288)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1291)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1293)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1298)), {C=0.002119642016015073, S=0.0008754012255617158}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1299)), {C=0.0018841262364578427, S=0.0007781344227215252}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1300)), {C=0.0018841262364578427, S=0.0007781344227215252}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1320)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1324)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1331)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1351)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1357)), {C=0.0016486104569006122, S=0.0006808676198813345}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1360)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1362)), {C=0.0016486104569006122, S=0.0006808676198813345}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1367)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1371)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1378)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1380)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1388)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1390)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1392)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1403)), {C=0.0018841262364578427, S=0.0007781344227215252}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1407)), {C=0.0016486104569006122, S=0.0006808676198813345}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1411)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1413)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1415)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1418)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1422)), {C=0.0016486104569006122, S=0.0006808676198813345}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1433)), {C=0.0016486104569006122, S=0.0006808676198813345}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1435)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1441)), {C=0.0016486104569006122, S=0.0006808676198813345}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1446)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1447)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1450)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1451)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1452)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1453)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1463)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1465)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1470)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1471)), {C=0.0016486104569006122, S=0.0006808676198813345}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1472)), {C=0.0016486104569006122, S=0.0006808676198813345}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1475)), {C=0.0016486104569006122, S=0.0006808676198813345}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1478)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1485)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1486)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1496)), {C=0.002119642016015073, S=0.0008754012255617158}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1503)), {C=0.0016486104569006122, S=0.0006808676198813345}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1504)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1505)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1507)), {C=0.0014130946773433818, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1520)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1538)), {C=0.0023551577955723034, S=0.0009726680284019065}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1539)), {C=0.0011775788977861517, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1553)), {C=0.002119642016015073, S=0.0008754012255617158}
(age_group(YoungAdults))(education(Bachelors Degree)) --> (buy(1557)), {C=0.0014130946773433818, S=0.0005836008170411438}
