(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(41)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1242)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1244)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1256)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1257)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1259)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1260)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1262)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1266)), {C=0.0008535154166222128, S=0.0007781344227215252}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1280)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1287)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1289)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1303)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1305)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1328)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1330)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1337)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1342)), {C=0.0007468259895444361, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1344)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1349)), {C=0.0007468259895444361, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1353)), {C=0.0008535154166222128, S=0.0007781344227215252}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1362)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1367)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1372)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1387)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1388)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1402)), {C=0.0007468259895444361, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1403)), {C=0.0007468259895444361, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1405)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1409)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1411)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1412)), {C=0.0007468259895444361, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1413)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1415)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1421)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1423)), {C=0.0009602048436999893, S=0.0008754012255617158}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1434)), {C=0.0007468259895444361, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1438)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1440)), {C=0.0007468259895444361, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1452)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1460)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1463)), {C=0.0007468259895444361, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1464)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1473)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1474)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1479)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1494)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1495)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1499)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1506)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1508)), {C=0.000533447135388883, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1510)), {C=0.0007468259895444361, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1512)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1516)), {C=0.0008535154166222128, S=0.0007781344227215252}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1520)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1537)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1538)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1539)), {C=0.0006401365624666594, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1549)), {C=0.000533447135388883, S=0.00048633401420095323}
