(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(674)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(676)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(677)), {C=0.0008493470644442086, S=0.0007781344227215252}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(679)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(680)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(685)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(688)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(689)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(692)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(697)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(698)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(704)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(706)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(708)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(710)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(712)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(718)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(719)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(721)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(723)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(725)), {C=0.0008493470644442086, S=0.0007781344227215252}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(728)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(729)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(731)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(733)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(737)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(741)), {C=0.0008493470644442086, S=0.0007781344227215252}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(746)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(748)), {C=0.0008493470644442086, S=0.0007781344227215252}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(755)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(757)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(760)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(762)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(765)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(768)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(770)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(774)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(776)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(778)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(779)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(787)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(788)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(792)), {C=0.0009555154474997346, S=0.0008754012255617158}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(802)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(804)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(805)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(808)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(813)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(814)), {C=0.0008493470644442086, S=0.0007781344227215252}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(818)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(821)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(822)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(823)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(826)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(827)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(830)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(839)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(840)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(841)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(842)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(845)), {C=0.0008493470644442086, S=0.0007781344227215252}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(846)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(848)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(850)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(852)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(861)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(862)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(866)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(869)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(870)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(875)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(876)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(879)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(891)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(892)), {C=0.0011678522136107867, S=0.001069934831242097}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(893)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(896)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(897)), {C=0.0010616838305552607, S=0.0009726680284019065}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(898)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(903)), {C=0.0008493470644442086, S=0.0007781344227215252}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(905)), {C=0.0008493470644442086, S=0.0007781344227215252}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(908)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(909)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(911)), {C=0.0008493470644442086, S=0.0007781344227215252}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(914)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(915)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(917)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(923)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(928)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(929)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(930)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(931)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(933)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(934)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(935)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(936)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(937)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(941)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(947)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(948)), {C=0.0009555154474997346, S=0.0008754012255617158}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(951)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(952)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(957)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(959)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(960)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(961)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(964)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(965)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(967)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(969)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(975)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(976)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(977)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(979)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(981)), {C=0.0008493470644442086, S=0.0007781344227215252}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(982)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(984)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(986)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(987)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(996)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1003)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1005)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1012)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1014)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1018)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1019)), {C=0.0008493470644442086, S=0.0007781344227215252}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1023)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1024)), {C=0.0008493470644442086, S=0.0007781344227215252}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1036)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1037)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1039)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1044)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1046)), {C=0.0012740205966663128, S=0.0011672016340822876}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1047)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1053)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1058)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1059)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1060)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1061)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1062)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1063)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1065)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1068)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1070)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1078)), {C=0.0009555154474997346, S=0.0008754012255617158}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1081)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1083)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1084)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1086)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1088)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1093)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1098)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1099)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1103)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1104)), {C=0.0012740205966663128, S=0.0011672016340822876}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1106)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1109)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1110)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1117)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1120)), {C=0.0009555154474997346, S=0.0008754012255617158}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1123)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1125)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1126)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1127)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1128)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1130)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1134)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1143)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1148)), {C=0.0008493470644442086, S=0.0007781344227215252}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1160)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1161)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1162)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1164)), {C=0.0008493470644442086, S=0.0007781344227215252}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1165)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1166)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1171)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1172)), {C=0.0008493470644442086, S=0.0007781344227215252}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1174)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1175)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1185)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1192)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1195)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1203)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1204)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1205)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1208)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1213)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1215)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1217)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1218)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1222)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1228)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1232)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1237)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1241)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1243)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1245)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1247)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1249)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1252)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1260)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1265)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1273)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1275)), {C=0.0008493470644442086, S=0.0007781344227215252}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1278)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1287)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1291)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1292)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1308)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1313)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1319)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1322)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1333)), {C=0.0008493470644442086, S=0.0007781344227215252}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1335)), {C=0.0008493470644442086, S=0.0007781344227215252}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1352)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1353)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1362)), {C=0.0008493470644442086, S=0.0007781344227215252}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1366)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1368)), {C=0.0007431786813886824, S=0.0006808676198813345}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1372)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1376)), {C=0.0005308419152776304, S=0.00048633401420095323}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1380)), {C=0.0008493470644442086, S=0.0007781344227215252}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1381)), {C=0.0008493470644442086, S=0.0007781344227215252}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1383)), {C=0.0008493470644442086, S=0.0007781344227215252}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1388)), {C=0.0006370102983331564, S=0.0005836008170411438}
(member card(Bronze))(house_owner(N))(marital_status(M)) --> (buy(1389)), {C=0.0009555154474997346, S=0.0008754012255617158}
