(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(11)), {C=0.0007541478129713423, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1274)), {C=0.0007541478129713423, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1276)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1280)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1281)), {C=0.0006464124111182935, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1282)), {C=0.0006464124111182935, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1292)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1300)), {C=0.0006464124111182935, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1314)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1319)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1325)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1340)), {C=0.0006464124111182935, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1342)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1356)), {C=0.0009696186166774402, S=0.0008754012255617158}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1368)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1375)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1377)), {C=0.0006464124111182935, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1385)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1395)), {C=0.0006464124111182935, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1398)), {C=0.0006464124111182935, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1411)), {C=0.0006464124111182935, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1413)), {C=0.0008618832148243914, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1419)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1441)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1447)), {C=0.0007541478129713423, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1449)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1451)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1458)), {C=0.0006464124111182935, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1459)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1462)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1468)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1469)), {C=0.0007541478129713423, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1473)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1474)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1479)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1491)), {C=0.0006464124111182935, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1495)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1499)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1506)), {C=0.0006464124111182935, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1508)), {C=0.0006464124111182935, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1520)), {C=0.0005386770092652446, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1541)), {C=0.0005386770092652446, S=0.00048633401420095323}
