(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(16)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(881)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(884)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(887)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(891)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(899)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(904)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(905)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(906)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(913)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(914)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(921)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(932)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(934)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(935)), {C=0.000699860027994401, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(941)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(943)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(944)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(949)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(953)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(955)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(960)), {C=0.000699860027994401, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(966)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(968)), {C=0.0007998400319936014, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(978)), {C=0.000699860027994401, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(980)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(982)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(983)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(986)), {C=0.000699860027994401, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(990)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(999)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1001)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1002)), {C=0.0007998400319936014, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1009)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1013)), {C=0.000699860027994401, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1018)), {C=0.000699860027994401, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1019)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1020)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1028)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1041)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1048)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1055)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1063)), {C=0.0007998400319936014, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1072)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1080)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1083)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1087)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1090)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1091)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1097)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1100)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1112)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1120)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1127)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1134)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1137)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1141)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1142)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1150)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1154)), {C=0.000699860027994401, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1160)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1163)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1165)), {C=0.000699860027994401, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1166)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1170)), {C=0.000699860027994401, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1176)), {C=0.0009998000399920016, S=0.0009726680284019065}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1180)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1182)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1190)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1210)), {C=0.000699860027994401, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1213)), {C=0.0008998200359928015, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1220)), {C=0.0007998400319936014, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1221)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1233)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1235)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1236)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1245)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1247)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1256)), {C=0.000699860027994401, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1257)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1267)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1272)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1275)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1283)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1285)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1287)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1301)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1309)), {C=0.000699860027994401, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1314)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1333)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1334)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1335)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1341)), {C=0.000699860027994401, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1344)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1348)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1356)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1357)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1363)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1366)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1371)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1378)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1382)), {C=0.000699860027994401, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1387)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1393)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1394)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1396)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1409)), {C=0.000699860027994401, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1414)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1416)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1418)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1423)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1428)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1432)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1433)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1435)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1441)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1443)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1447)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1448)), {C=0.000699860027994401, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1449)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1453)), {C=0.000699860027994401, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1454)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1455)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1458)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1469)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1479)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1483)), {C=0.000699860027994401, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1486)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1495)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1504)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1519)), {C=0.000699860027994401, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1520)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1522)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1526)), {C=0.0008998200359928015, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1533)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1543)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1545)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1546)), {C=0.000699860027994401, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1550)), {C=0.0004999000199960008, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1556)), {C=0.0005998800239952009, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1558)), {C=0.0004999000199960008, S=0.00048633401420095323}
