(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(7)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(852)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(855)), {C=0.0007421543681085665, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(860)), {C=0.0007421543681085665, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(862)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(866)), {C=0.0008481764206955047, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(867)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(868)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(875)), {C=0.0009541984732824427, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(876)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(878)), {C=0.0007421543681085665, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(881)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(884)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(885)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(888)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(892)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(895)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(897)), {C=0.0008481764206955047, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(898)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(904)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(905)), {C=0.0007421543681085665, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(909)), {C=0.0008481764206955047, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(910)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(911)), {C=0.0008481764206955047, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(916)), {C=0.0007421543681085665, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(918)), {C=0.0007421543681085665, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(925)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(926)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(927)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(931)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(935)), {C=0.0010602205258693808, S=0.0009726680284019065}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(936)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(937)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(938)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(941)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(942)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(949)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(952)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(954)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(956)), {C=0.0007421543681085665, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(959)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(963)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(966)), {C=0.0007421543681085665, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(968)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(970)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(971)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(972)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(974)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(975)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(976)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(978)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(988)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(993)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1002)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1003)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1013)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1016)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1018)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1019)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1024)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1036)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1045)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1046)), {C=0.0008481764206955047, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1049)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1050)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1055)), {C=0.0008481764206955047, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1058)), {C=0.0008481764206955047, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1059)), {C=0.0007421543681085665, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1066)), {C=0.0008481764206955047, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1067)), {C=0.0012722646310432569, S=0.0011672016340822876}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1071)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1074)), {C=0.0007421543681085665, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1078)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1080)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1088)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1091)), {C=0.0009541984732824427, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1096)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1106)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1107)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1109)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1119)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1120)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1121)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1129)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1134)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1138)), {C=0.0007421543681085665, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1144)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1145)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1146)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1148)), {C=0.0009541984732824427, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1152)), {C=0.0007421543681085665, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1156)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1159)), {C=0.0007421543681085665, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1161)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1162)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1163)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1169)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1174)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1186)), {C=0.0007421543681085665, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1198)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1199)), {C=0.0007421543681085665, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1200)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1204)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1208)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1210)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1225)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1228)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1231)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1237)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1246)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1265)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1266)), {C=0.0008481764206955047, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1279)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1284)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1287)), {C=0.0007421543681085665, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1288)), {C=0.0007421543681085665, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1293)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1295)), {C=0.0010602205258693808, S=0.0009726680284019065}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1296)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1298)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1300)), {C=0.0007421543681085665, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1305)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1308)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1311)), {C=0.0009541984732824427, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1315)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1322)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1328)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1346)), {C=0.0007421543681085665, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1348)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1353)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1355)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1357)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1358)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1366)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1368)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1375)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1378)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1380)), {C=0.0007421543681085665, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1384)), {C=0.0007421543681085665, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1387)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1392)), {C=0.0009541984732824427, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1395)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1399)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1401)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1402)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1404)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1407)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1412)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1413)), {C=0.0008481764206955047, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1415)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1417)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1420)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1422)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1424)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1425)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1429)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1431)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1433)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1436)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1438)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1450)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1453)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1454)), {C=0.0009541984732824427, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1455)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1456)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1457)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1460)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1461)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1465)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1466)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1467)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1468)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1477)), {C=0.0007421543681085665, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1490)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1491)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1492)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1493)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1496)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1507)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1508)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1528)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1532)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1533)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1539)), {C=0.0007421543681085665, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1545)), {C=0.0007421543681085665, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1553)), {C=0.0005301102629346904, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1554)), {C=0.0006361323155216284, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(1557)), {C=0.0005301102629346904, S=0.00048633401420095323}
