(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(13)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(716)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(723)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(725)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(741)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(747)), {C=0.0007020359041219536, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(760)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(777)), {C=0.0008023267475679471, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(788)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(792)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(793)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(799)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(814)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(819)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(820)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(822)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(826)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(827)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(830)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(834)), {C=0.0007020359041219536, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(839)), {C=0.0007020359041219536, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(854)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(855)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(856)), {C=0.0007020359041219536, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(860)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(865)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(866)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(872)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(875)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(876)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(877)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(882)), {C=0.0007020359041219536, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(884)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(888)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(892)), {C=0.0008023267475679471, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(893)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(895)), {C=0.0007020359041219536, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(898)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(899)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(903)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(905)), {C=0.0014040718082439071, S=0.001361735239762669}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(913)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(915)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(922)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(930)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(931)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(933)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(934)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(935)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(948)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(952)), {C=0.0008023267475679471, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(954)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(959)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(960)), {C=0.0008023267475679471, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(965)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(967)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(969)), {C=0.0007020359041219536, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(971)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(972)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(975)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(976)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(982)), {C=0.0007020359041219536, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(984)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(993)), {C=0.0008023267475679471, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(996)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1000)), {C=0.0008023267475679471, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1004)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1005)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1011)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1018)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1019)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1024)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1025)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1036)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1038)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1039)), {C=0.0007020359041219536, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1042)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1044)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1046)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1049)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1053)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1055)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1071)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1084)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1086)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1088)), {C=0.0007020359041219536, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1093)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1101)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1104)), {C=0.0010029084344599338, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1108)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1117)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1120)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1124)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1127)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1128)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1129)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1136)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1144)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1148)), {C=0.0007020359041219536, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1150)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1151)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1152)), {C=0.0007020359041219536, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1157)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1160)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1168)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1170)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1171)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1172)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1177)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1193)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1199)), {C=0.0007020359041219536, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1203)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1205)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1207)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1211)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1222)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1224)), {C=0.0007020359041219536, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1228)), {C=0.0008023267475679471, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1229)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1231)), {C=0.0009026175910139405, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1232)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1238)), {C=0.0007020359041219536, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1243)), {C=0.0008023267475679471, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1245)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1247)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1249)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1255)), {C=0.0007020359041219536, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1265)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1268)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1276)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1288)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1289)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1292)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1297)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1305)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1309)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1311)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1330)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1331)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1332)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1336)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1351)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1356)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1357)), {C=0.0007020359041219536, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1358)), {C=0.0008023267475679471, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1361)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1365)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1376)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1378)), {C=0.0007020359041219536, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1381)), {C=0.0007020359041219536, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1383)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1389)), {C=0.0009026175910139405, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1392)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1393)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1394)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1396)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1402)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1403)), {C=0.0007020359041219536, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1408)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1426)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1431)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1435)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1436)), {C=0.0007020359041219536, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1438)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1439)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1446)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1447)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1452)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1453)), {C=0.0005014542172299669, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1466)), {C=0.0006017450606759602, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1467)), {C=0.0005014542172299669, S=0.00048633401420095323}
