(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(11)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1022)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1023)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1024)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1036)), {C=0.0009016229212582649, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1041)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1046)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1059)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1067)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1071)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1074)), {C=0.0007012622720897616, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1080)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1089)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1101)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1103)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1109)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1123)), {C=0.0009016229212582649, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1126)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1135)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1148)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1152)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1160)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1165)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1167)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1172)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1173)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1179)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1185)), {C=0.0007012622720897616, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1190)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1192)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1196)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1200)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1204)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1217)), {C=0.0008014425966740132, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1218)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1219)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1221)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1230)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1234)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1262)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1269)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1270)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1277)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1278)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1291)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1300)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1308)), {C=0.0009016229212582649, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1312)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1316)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1322)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1329)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1332)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1339)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1346)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1350)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1357)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1366)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1392)), {C=0.0007012622720897616, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1394)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1398)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1403)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1407)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1409)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1410)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1412)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1414)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1417)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1419)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1420)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1428)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1430)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1431)), {C=0.0007012622720897616, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1433)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1442)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1448)), {C=0.0008014425966740132, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1454)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1461)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1468)), {C=0.0008014425966740132, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1469)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1471)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1476)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1481)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1482)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1483)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1496)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1500)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1502)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1506)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1518)), {C=0.0006010819475055099, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1521)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1527)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1529)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1533)), {C=0.0008014425966740132, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1535)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1547)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1548)), {C=0.0005009016229212583, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N)) --> (buy(1554)), {C=0.0005009016229212583, S=0.00048633401420095323}
