(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(2)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(726)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(730)), {C=0.0009929500546122531, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(731)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(733)), {C=0.0007943600436898025, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(737)), {C=0.0007943600436898025, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(748)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(751)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(752)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(759)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(762)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(768)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(771)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(773)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(778)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(780)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(781)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(785)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(788)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(794)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(795)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(799)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(803)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(812)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(814)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(822)), {C=0.000695065038228577, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(836)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(837)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(838)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(840)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(862)), {C=0.000695065038228577, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(871)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(878)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(879)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(880)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(882)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(884)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(894)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(895)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(902)), {C=0.000695065038228577, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(905)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(906)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(907)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(908)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(910)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(912)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(913)), {C=0.0007943600436898025, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(914)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(921)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(922)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(923)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(925)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(926)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(927)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(936)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(937)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(944)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(947)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(948)), {C=0.000695065038228577, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(958)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(965)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(966)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(968)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(969)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(979)), {C=0.000695065038228577, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(984)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(986)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(990)), {C=0.000695065038228577, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(994)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(995)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(998)), {C=0.000695065038228577, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(999)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1000)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1001)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1002)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1005)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1009)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1018)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1020)), {C=0.0009929500546122531, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1026)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1031)), {C=0.000695065038228577, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1038)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1041)), {C=0.0010922450600734785, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1046)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1047)), {C=0.0007943600436898025, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1055)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1056)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1057)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1059)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1062)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1063)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1072)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1073)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1079)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1083)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1084)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1087)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1101)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1115)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1124)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1127)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1131)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1134)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1135)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1136)), {C=0.000695065038228577, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1137)), {C=0.000695065038228577, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1148)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1155)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1159)), {C=0.000695065038228577, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1165)), {C=0.000695065038228577, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1174)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1176)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1180)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1181)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1182)), {C=0.000695065038228577, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1184)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1185)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1188)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1198)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1208)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1210)), {C=0.000695065038228577, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1218)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1221)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1230)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1233)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1235)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1243)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1245)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1246)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1247)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1250)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1251)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1259)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1267)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1273)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1274)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1275)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1278)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1288)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1298)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1300)), {C=0.000695065038228577, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1303)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1304)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1309)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1314)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1320)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1326)), {C=0.0007943600436898025, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1327)), {C=0.000695065038228577, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1335)), {C=0.000695065038228577, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1337)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1338)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1339)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1341)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1348)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1356)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1357)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1362)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1363)), {C=0.0008936550491510278, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1365)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1366)), {C=0.000695065038228577, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1370)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1371)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1382)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1383)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1386)), {C=0.0004964750273061266, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1387)), {C=0.000695065038228577, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1394)), {C=0.0007943600436898025, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1398)), {C=0.0005957700327673518, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y)) --> (buy(1402)), {C=0.0004964750273061266, S=0.00048633401420095323}
