(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(19)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1232)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1272)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1301)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1311)), {C=0.0006916312617330303, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1319)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1322)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1327)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1340)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1343)), {C=0.0006916312617330303, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1378)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1392)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1397)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1405)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1415)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1420)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1427)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1428)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1441)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1450)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1452)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1458)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1471)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1480)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1487)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1489)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1496)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1503)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1510)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1526)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1530)), {C=0.0004940223298093075, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1534)), {C=0.0005928267957711689, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1538)), {C=0.0008892401936567534, S=0.0008754012255617158}
