(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(6)), {C=0.0010226110669242132, S=0.0008754012255617158}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(692)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(695)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(704)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(710)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(711)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(714)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(718)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(719)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(724)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(733)), {C=0.0009089876150437451, S=0.0007781344227215252}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(735)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(737)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(740)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(749)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(750)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(753)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(754)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(755)), {C=0.0009089876150437451, S=0.0007781344227215252}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(759)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(760)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(761)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(764)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(766)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(773)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(776)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(777)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(782)), {C=0.0012498579706851495, S=0.001069934831242097}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(786)), {C=0.0009089876150437451, S=0.0007781344227215252}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(790)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(791)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(797)), {C=0.0010226110669242132, S=0.0008754012255617158}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(799)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(805)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(809)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(813)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(817)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(819)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(823)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(826)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(827)), {C=0.0010226110669242132, S=0.0008754012255617158}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(832)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(835)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(836)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(838)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(841)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(843)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(844)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(846)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(847)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(848)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(851)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(854)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(855)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(857)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(859)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(863)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(864)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(865)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(870)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(871)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(872)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(873)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(881)), {C=0.0009089876150437451, S=0.0007781344227215252}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(888)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(893)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(894)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(899)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(900)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(901)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(902)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(903)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(906)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(908)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(909)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(911)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(913)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(914)), {C=0.0010226110669242132, S=0.0008754012255617158}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(915)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(920)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(921)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(922)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(923)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(925)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(926)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(928)), {C=0.0009089876150437451, S=0.0007781344227215252}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(930)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(936)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(937)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(941)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(942)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(946)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(947)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(948)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(955)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(957)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(959)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(960)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(961)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(964)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(965)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(966)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(967)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(969)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(971)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(973)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(974)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(976)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(983)), {C=0.0009089876150437451, S=0.0007781344227215252}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(984)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(986)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(988)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(989)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(991)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(996)), {C=0.0012498579706851495, S=0.001069934831242097}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(999)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1001)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1008)), {C=0.0009089876150437451, S=0.0007781344227215252}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1010)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1011)), {C=0.0009089876150437451, S=0.0007781344227215252}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1012)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1013)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1014)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1016)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1018)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1019)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1026)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1030)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1031)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1032)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1034)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1035)), {C=0.0010226110669242132, S=0.0008754012255617158}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1050)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1051)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1052)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1053)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1057)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1058)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1060)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1061)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1063)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1064)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1065)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1068)), {C=0.0009089876150437451, S=0.0007781344227215252}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1080)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1081)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1085)), {C=0.0009089876150437451, S=0.0007781344227215252}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1113)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1114)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1120)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1123)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1129)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1134)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1136)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1137)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1138)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1142)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1144)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1145)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1146)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1147)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1148)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1149)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1154)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1156)), {C=0.0009089876150437451, S=0.0007781344227215252}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1158)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1161)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1162)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1163)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1164)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1167)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1169)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1171)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1174)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1175)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1177)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1179)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1181)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1183)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1184)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1185)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1187)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1188)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1198)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1200)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1202)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1204)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1205)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1206)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1209)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1213)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1214)), {C=0.0011362345188046814, S=0.0009726680284019065}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1222)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1223)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1227)), {C=0.0009089876150437451, S=0.0007781344227215252}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1229)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1230)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1231)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1233)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1234)), {C=0.0010226110669242132, S=0.0008754012255617158}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1236)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1239)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1246)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1251)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1266)), {C=0.0010226110669242132, S=0.0008754012255617158}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1267)), {C=0.0009089876150437451, S=0.0007781344227215252}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1270)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1271)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1273)), {C=0.0011362345188046814, S=0.0009726680284019065}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1275)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1276)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1277)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1281)), {C=0.0011362345188046814, S=0.0009726680284019065}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1283)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1285)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1286)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1287)), {C=0.0009089876150437451, S=0.0007781344227215252}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1288)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1295)), {C=0.0009089876150437451, S=0.0007781344227215252}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1296)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1298)), {C=0.0009089876150437451, S=0.0007781344227215252}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1302)), {C=0.0012498579706851495, S=0.001069934831242097}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1304)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1308)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1309)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1310)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1313)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1316)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1317)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1318)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(1320)), {C=0.0005681172594023407, S=0.00048633401420095323}
