(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(11)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(833)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(840)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(847)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(848)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(849)), {C=0.0010707911957168353, S=0.0008754012255617158}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(860)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(861)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(862)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(863)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(866)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(868)), {C=0.0010707911957168353, S=0.0008754012255617158}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(872)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(878)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(879)), {C=0.0009518143961927425, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(880)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(881)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(882)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(884)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(886)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(888)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(891)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(898)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(901)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(905)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(908)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(910)), {C=0.0010707911957168353, S=0.0008754012255617158}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(914)), {C=0.0009518143961927425, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(915)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(916)), {C=0.0009518143961927425, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(923)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(925)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(926)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(929)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(931)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(933)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(934)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(935)), {C=0.0009518143961927425, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(937)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(938)), {C=0.0010707911957168353, S=0.0008754012255617158}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(943)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(952)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(953)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(954)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(961)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(967)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(969)), {C=0.0009518143961927425, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(970)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(975)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(981)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(984)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(993)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1002)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1004)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1005)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1010)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1011)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1013)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1014)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1017)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1018)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1022)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1023)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1028)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1029)), {C=0.0009518143961927425, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1036)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1037)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1046)), {C=0.001189767995240928, S=0.0009726680284019065}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1056)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1061)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1063)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1067)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1073)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1076)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1077)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1079)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1080)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1085)), {C=0.0010707911957168353, S=0.0008754012255617158}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1088)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1093)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1101)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1111)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1115)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1122)), {C=0.0009518143961927425, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1124)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1126)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1127)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1134)), {C=0.0009518143961927425, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1136)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1144)), {C=0.0009518143961927425, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1152)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1153)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1156)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1164)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1167)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1172)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1174)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1177)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1182)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1190)), {C=0.0009518143961927425, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1196)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1207)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1211)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1216)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1217)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1226)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1240)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1242)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1243)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1254)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1260)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1265)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1267)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1276)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1279)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1280)), {C=0.0010707911957168353, S=0.0008754012255617158}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1283)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1296)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1297)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1298)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1300)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1302)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1304)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1309)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1310)), {C=0.0009518143961927425, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1311)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1316)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1320)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1321)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1330)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1335)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1337)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1343)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1344)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1353)), {C=0.0009518143961927425, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1356)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1358)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1360)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1361)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1363)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1365)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1366)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1370)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1371)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1374)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1378)), {C=0.0009518143961927425, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1380)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1382)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1387)), {C=0.0009518143961927425, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1392)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1394)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1400)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1402)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1403)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1406)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1408)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1412)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1413)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1418)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1421)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1422)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1423)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1425)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1429)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1431)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1433)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1436)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1438)), {C=0.0009518143961927425, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1440)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1441)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1443)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1444)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1445)), {C=0.0009518143961927425, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1446)), {C=0.0009518143961927425, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1447)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1452)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1453)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1461)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1464)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1476)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1482)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1485)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1488)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1491)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1492)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1495)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1499)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1501)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1504)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1506)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1522)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1523)), {C=0.0010707911957168353, S=0.0008754012255617158}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1525)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1526)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1527)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1528)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1529)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1532)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1533)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1534)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1536)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1538)), {C=0.0008328375966686495, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1539)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1540)), {C=0.0007138607971445567, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1545)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1547)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1549)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1554)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1555)), {C=0.000594883997620464, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1558)), {C=0.0007138607971445567, S=0.0005836008170411438}
