(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(2)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(550)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(551)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(554)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(560)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(562)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(567)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(568)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(571)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(576)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(577)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(579)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(580)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(581)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(582)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(584)), {C=0.0009713453132588637, S=0.0007781344227215252}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(589)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(591)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(592)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(593)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(594)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(595)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(596)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(603)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(604)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(606)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(608)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(611)), {C=0.0009713453132588637, S=0.0007781344227215252}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(613)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(614)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(615)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(617)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(619)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(620)), {C=0.0009713453132588637, S=0.0007781344227215252}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(621)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(623)), {C=0.0012141816415735796, S=0.0009726680284019065}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(624)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(627)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(629)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(631)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(634)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(635)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(641)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(642)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(644)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(645)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(647)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(648)), {C=0.0010927634774162216, S=0.0008754012255617158}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(649)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(652)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(653)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(656)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(661)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(664)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(669)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(671)), {C=0.0010927634774162216, S=0.0008754012255617158}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(674)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(677)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(679)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(683)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(686)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(690)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(696)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(698)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(702)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(708)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(710)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(712)), {C=0.0010927634774162216, S=0.0008754012255617158}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(719)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(720)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(721)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(722)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(723)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(733)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(736)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(738)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(746)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(747)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(751)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(756)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(758)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(763)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(765)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(768)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(772)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(775)), {C=0.0009713453132588637, S=0.0007781344227215252}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(779)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(782)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(791)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(793)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(794)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(800)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(802)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(808)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(813)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(816)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(818)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(820)), {C=0.0010927634774162216, S=0.0008754012255617158}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(836)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(837)), {C=0.0009713453132588637, S=0.0007781344227215252}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(839)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(841)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(844)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(845)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(847)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(848)), {C=0.0009713453132588637, S=0.0007781344227215252}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(849)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(854)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(855)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(857)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(860)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(863)), {C=0.0009713453132588637, S=0.0007781344227215252}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(865)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(868)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(869)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(872)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(876)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(877)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(878)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(879)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(882)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(883)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(884)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(885)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(887)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(891)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(897)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(900)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(904)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(905)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(906)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(909)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(914)), {C=0.0012141816415735796, S=0.0009726680284019065}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(915)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(917)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(920)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(923)), {C=0.0010927634774162216, S=0.0008754012255617158}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(924)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(927)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(928)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(929)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(930)), {C=0.0009713453132588637, S=0.0007781344227215252}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(931)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(933)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(936)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(937)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(938)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(939)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(942)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(945)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(946)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(947)), {C=0.0009713453132588637, S=0.0007781344227215252}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(948)), {C=0.0012141816415735796, S=0.0009726680284019065}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(949)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(953)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(956)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(958)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(960)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(962)), {C=0.0010927634774162216, S=0.0008754012255617158}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(964)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(966)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(967)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(969)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(970)), {C=0.0010927634774162216, S=0.0008754012255617158}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(972)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(975)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(976)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(979)), {C=0.0010927634774162216, S=0.0008754012255617158}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(981)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(982)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(983)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(984)), {C=0.0013355998057309375, S=0.001069934831242097}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(985)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(986)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(988)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(991)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(997)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1000)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1006)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1013)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1014)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1019)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1020)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1024)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1025)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1027)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1029)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1031)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1037)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1039)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1041)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1043)), {C=0.0009713453132588637, S=0.0007781344227215252}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1044)), {C=0.0014570179698882952, S=0.0011672016340822876}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1050)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1054)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1055)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1058)), {C=0.0009713453132588637, S=0.0007781344227215252}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1059)), {C=0.0007285089849441476, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1062)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1064)), {C=0.0006070908207867898, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1065)), {C=0.0008499271491015056, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1066)), {C=0.0007285089849441476, S=0.0005836008170411438}
