(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(2)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(708)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(709)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(711)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(722)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(742)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(747)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(751)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(758)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(763)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(773)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(778)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(779)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(786)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(791)), {C=0.0009503695881731785, S=0.0008754012255617158}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(793)), {C=0.0007391763463569166, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(795)), {C=0.0007391763463569166, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(796)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(800)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(803)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(808)), {C=0.0007391763463569166, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(813)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(814)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(816)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(819)), {C=0.0009503695881731785, S=0.0008754012255617158}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(820)), {C=0.0009503695881731785, S=0.0008754012255617158}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(823)), {C=0.0007391763463569166, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(825)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(827)), {C=0.0007391763463569166, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(830)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(832)), {C=0.0008447729672650476, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(833)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(837)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(839)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(840)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(841)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(842)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(843)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(844)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(845)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(847)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(854)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(860)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(863)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(865)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(868)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(869)), {C=0.0008447729672650476, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(871)), {C=0.0007391763463569166, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(873)), {C=0.0007391763463569166, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(875)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(878)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(882)), {C=0.0007391763463569166, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(885)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(886)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(893)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(897)), {C=0.0010559662090813095, S=0.0009726680284019065}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(902)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(905)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(906)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(908)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(910)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(930)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(933)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(937)), {C=0.0008447729672650476, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(938)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(942)), {C=0.0007391763463569166, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(948)), {C=0.0008447729672650476, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(949)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(952)), {C=0.0008447729672650476, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(956)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(958)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(960)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(962)), {C=0.0007391763463569166, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(970)), {C=0.0008447729672650476, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(971)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(975)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(980)), {C=0.0007391763463569166, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(984)), {C=0.0008447729672650476, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(985)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(993)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(998)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1003)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1006)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1012)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1016)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1017)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1019)), {C=0.0007391763463569166, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1020)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1027)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1033)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1036)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1042)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1043)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1044)), {C=0.0007391763463569166, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1046)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1047)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1048)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1050)), {C=0.0007391763463569166, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1053)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1056)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1058)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1059)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1069)), {C=0.0007391763463569166, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1070)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1073)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1074)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1075)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1079)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1086)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1091)), {C=0.0011615628299894403, S=0.001069934831242097}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1096)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1099)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1100)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1104)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1109)), {C=0.0008447729672650476, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1110)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1112)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1114)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1120)), {C=0.0009503695881731785, S=0.0008754012255617158}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1121)), {C=0.0007391763463569166, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1124)), {C=0.0007391763463569166, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1128)), {C=0.0009503695881731785, S=0.0008754012255617158}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1133)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1136)), {C=0.0008447729672650476, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1137)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1138)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1139)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1145)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1151)), {C=0.0007391763463569166, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1158)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1159)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1160)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1162)), {C=0.0007391763463569166, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1163)), {C=0.0007391763463569166, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1169)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1180)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1191)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1199)), {C=0.0007391763463569166, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1202)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1203)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1209)), {C=0.0009503695881731785, S=0.0008754012255617158}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1220)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1221)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1222)), {C=0.0008447729672650476, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1224)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1226)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1227)), {C=0.0007391763463569166, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1231)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1235)), {C=0.0007391763463569166, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1236)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1239)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1243)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1248)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1253)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1255)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1258)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1264)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1270)), {C=0.0007391763463569166, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1284)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1287)), {C=0.0010559662090813095, S=0.0009726680284019065}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1288)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1291)), {C=0.0007391763463569166, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1295)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1299)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1301)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1302)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1305)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1307)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1308)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1311)), {C=0.0007391763463569166, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1317)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1324)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1328)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1329)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1350)), {C=0.0011615628299894403, S=0.001069934831242097}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1351)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1353)), {C=0.0008447729672650476, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1355)), {C=0.0007391763463569166, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1357)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1360)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1362)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1363)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1368)), {C=0.0007391763463569166, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1369)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1372)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1378)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1379)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1382)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1383)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1384)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1387)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1389)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1392)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1393)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1396)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1397)), {C=0.0006335797254487857, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1400)), {C=0.0005279831045406548, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1401)), {C=0.0006335797254487857, S=0.0005836008170411438}
