(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(11)), {C=0.0013278609367455337, S=0.001069934831242097}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1463)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1464)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1467)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1469)), {C=0.0009657170449058427, S=0.0007781344227215252}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1473)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1474)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1483)), {C=0.0008450024142926122, S=0.0006808676198813345}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1491)), {C=0.0008450024142926122, S=0.0006808676198813345}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1494)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1499)), {C=0.0009657170449058427, S=0.0007781344227215252}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1506)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1516)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1518)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1520)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1541)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1549)), {C=0.0007242877836793819, S=0.0005836008170411438}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1554)), {C=0.0006035731530661517, S=0.00048633401420095323}
(gender(Female))(member card(Normal))(marital_status(M)) --> (buy(1556)), {C=0.0006035731530661517, S=0.00048633401420095323}
