(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(3)), {C=0.0009169638308711156, S=0.0008754012255617158}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1144)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1145)), {C=0.0007131940906775343, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1154)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1160)), {C=0.0009169638308711156, S=0.0008754012255617158}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1162)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1166)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1172)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1173)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1176)), {C=0.0007131940906775343, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1179)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1184)), {C=0.0007131940906775343, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1187)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1190)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1192)), {C=0.0007131940906775343, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1193)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1196)), {C=0.0007131940906775343, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1197)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1200)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1204)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1206)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1207)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1208)), {C=0.000815078960774325, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1211)), {C=0.0007131940906775343, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1212)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1213)), {C=0.0007131940906775343, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1215)), {C=0.0007131940906775343, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1218)), {C=0.0009169638308711156, S=0.0008754012255617158}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1223)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1226)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1227)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1229)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1232)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1234)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1235)), {C=0.0007131940906775343, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1237)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1239)), {C=0.0009169638308711156, S=0.0008754012255617158}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1242)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1249)), {C=0.0007131940906775343, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1250)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1259)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1261)), {C=0.0007131940906775343, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1265)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1266)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1268)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1270)), {C=0.0007131940906775343, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1275)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1280)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1281)), {C=0.0007131940906775343, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1282)), {C=0.0007131940906775343, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1283)), {C=0.0007131940906775343, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1284)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1305)), {C=0.0007131940906775343, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1312)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1317)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1320)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1328)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1329)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1330)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1340)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1341)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1342)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1343)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1344)), {C=0.0007131940906775343, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1345)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1347)), {C=0.0009169638308711156, S=0.0008754012255617158}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1349)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1350)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1353)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1354)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1356)), {C=0.0007131940906775343, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1358)), {C=0.0009169638308711156, S=0.0008754012255617158}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1360)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1362)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1363)), {C=0.000815078960774325, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1364)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1365)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1366)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1380)), {C=0.0007131940906775343, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1385)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1387)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1388)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1389)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1394)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1405)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1406)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1411)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1413)), {C=0.000815078960774325, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1415)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1416)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1419)), {C=0.0011207335710646969, S=0.001069934831242097}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1420)), {C=0.000815078960774325, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1421)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1426)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1427)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1429)), {C=0.0007131940906775343, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1433)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1435)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1438)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1439)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1440)), {C=0.0007131940906775343, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1445)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1446)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1449)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1450)), {C=0.0007131940906775343, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1452)), {C=0.0011207335710646969, S=0.001069934831242097}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1456)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1458)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1460)), {C=0.0007131940906775343, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1461)), {C=0.0007131940906775343, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1462)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1463)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1465)), {C=0.0010188487009679063, S=0.0009726680284019065}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1467)), {C=0.0009169638308711156, S=0.0008754012255617158}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1468)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1469)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1472)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1473)), {C=0.000815078960774325, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1474)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1479)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1480)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1483)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1485)), {C=0.000815078960774325, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1491)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1492)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1494)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1495)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1497)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1498)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1500)), {C=0.000815078960774325, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1502)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1505)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1506)), {C=0.0007131940906775343, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1507)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1509)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1511)), {C=0.0009169638308711156, S=0.0008754012255617158}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1516)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1520)), {C=0.0007131940906775343, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1521)), {C=0.0007131940906775343, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1523)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1525)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1529)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1532)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1535)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1537)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1538)), {C=0.0007131940906775343, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1539)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1544)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1546)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1550)), {C=0.0010188487009679063, S=0.0009726680284019065}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1554)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1555)), {C=0.0007131940906775343, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1556)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(3)), {C=0.0009169638308711156, S=0.0008754012255617158}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(5)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(7)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(8)), {C=0.000815078960774325, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(16)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(17)), {C=0.0009169638308711156, S=0.0008754012255617158}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(18)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(19)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(21)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(25)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(28)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(29)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(32)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(36)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(42)), {C=0.0007131940906775343, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(43)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(45)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(46)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(50)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(59)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(61)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(63)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(64)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(66)), {C=0.000815078960774325, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(67)), {C=0.0007131940906775343, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(72)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(73)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(75)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(79)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(82)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(85)), {C=0.0007131940906775343, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(86)), {C=0.0007131940906775343, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(90)), {C=0.000815078960774325, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(92)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(96)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(107)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(109)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(110)), {C=0.0005094243504839531, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(116)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(119)), {C=0.0006113092205807438, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(120)), {C=0.0007131940906775343, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(125)), {C=0.0005094243504839531, S=0.00048633401420095323}
