(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(13)), {C=0.0006056935190793458, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(982)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(993)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(996)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(997)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(998)), {C=0.0006056935190793458, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1000)), {C=0.0007066424389259035, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1009)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1019)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1044)), {C=0.0006056935190793458, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1047)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1055)), {C=0.0006056935190793458, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1068)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1084)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1088)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1104)), {C=0.0006056935190793458, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1117)), {C=0.0006056935190793458, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1119)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1129)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1133)), {C=0.0007066424389259035, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1144)), {C=0.0008075913587724613, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1145)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1150)), {C=0.0007066424389259035, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1151)), {C=0.0007066424389259035, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1152)), {C=0.0006056935190793458, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1160)), {C=0.0007066424389259035, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1170)), {C=0.0006056935190793458, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1171)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1177)), {C=0.0006056935190793458, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1179)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1188)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1193)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1211)), {C=0.0006056935190793458, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1217)), {C=0.0007066424389259035, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1229)), {C=0.0006056935190793458, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1230)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1231)), {C=0.0006056935190793458, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1238)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1243)), {C=0.0007066424389259035, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1246)), {C=0.0006056935190793458, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1254)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1276)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1281)), {C=0.0006056935190793458, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1288)), {C=0.0006056935190793458, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1289)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1295)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1297)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1311)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1313)), {C=0.0006056935190793458, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1326)), {C=0.0006056935190793458, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1327)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1336)), {C=0.0006056935190793458, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1349)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1351)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1353)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1357)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1358)), {C=0.0007066424389259035, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1365)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1376)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1378)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1381)), {C=0.0006056935190793458, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1385)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1389)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1392)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1393)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1396)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1403)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1411)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1422)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1423)), {C=0.0006056935190793458, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1429)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1436)), {C=0.0006056935190793458, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1439)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1444)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1447)), {C=0.0006056935190793458, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1452)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1458)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1460)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1464)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1471)), {C=0.0006056935190793458, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1477)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1487)), {C=0.0006056935190793458, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1513)), {C=0.0006056935190793458, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1523)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1526)), {C=0.0007066424389259035, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1527)), {C=0.0007066424389259035, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1528)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1529)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1554)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1555)), {C=0.0006056935190793458, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1556)), {C=0.0005047445992327883, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(1558)), {C=0.0006056935190793458, S=0.0005836008170411438}
