(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(2)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(563)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(566)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(569)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(575)), {C=0.0009312913907284769, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(576)), {C=0.0011382450331125827, S=0.001069934831242097}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(581)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(583)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(585)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(587)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(588)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(590)), {C=0.0010347682119205299, S=0.0009726680284019065}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(593)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(594)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(598)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(599)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(601)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(604)), {C=0.000827814569536424, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(606)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(608)), {C=0.000827814569536424, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(609)), {C=0.000827814569536424, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(611)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(614)), {C=0.000827814569536424, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(618)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(621)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(622)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(628)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(629)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(630)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(632)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(634)), {C=0.000827814569536424, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(639)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(647)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(648)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(651)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(652)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(656)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(665)), {C=0.000827814569536424, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(679)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(680)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(681)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(684)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(686)), {C=0.000827814569536424, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(692)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(694)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(696)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(698)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(705)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(707)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(710)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(711)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(718)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(722)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(724)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(725)), {C=0.0011382450331125827, S=0.001069934831242097}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(730)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(731)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(732)), {C=0.000827814569536424, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(733)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(738)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(741)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(743)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(748)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(749)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(752)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(756)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(761)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(768)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(776)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(786)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(788)), {C=0.000827814569536424, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(790)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(791)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(792)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(795)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(796)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(798)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(800)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(803)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(804)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(805)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(808)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(814)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(815)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(827)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(834)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(835)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(836)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(838)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(839)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(840)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(841)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(844)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(846)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(848)), {C=0.000827814569536424, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(849)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(850)), {C=0.0009312913907284769, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(854)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(855)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(862)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(865)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(867)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(869)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(871)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(881)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(883)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(885)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(886)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(887)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(888)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(891)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(894)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(896)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(898)), {C=0.0012417218543046356, S=0.0011672016340822876}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(899)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(900)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(901)), {C=0.0009312913907284769, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(903)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(904)), {C=0.0010347682119205299, S=0.0009726680284019065}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(906)), {C=0.0009312913907284769, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(908)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(909)), {C=0.000827814569536424, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(911)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(914)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(915)), {C=0.0009312913907284769, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(918)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(921)), {C=0.000827814569536424, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(925)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(927)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(928)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(929)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(930)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(934)), {C=0.0009312913907284769, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(938)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(939)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(940)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(941)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(943)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(944)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(948)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(949)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(950)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(954)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(955)), {C=0.000827814569536424, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(956)), {C=0.000827814569536424, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(957)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(960)), {C=0.0009312913907284769, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(964)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(965)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(967)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(970)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(971)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(972)), {C=0.000827814569536424, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(977)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(978)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(979)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(982)), {C=0.0009312913907284769, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(983)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(984)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(985)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(986)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(987)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(988)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(989)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(990)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(991)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(992)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(995)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(996)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(999)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1000)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1003)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1007)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1011)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1016)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1018)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1020)), {C=0.000827814569536424, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1022)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1025)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1031)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1034)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1036)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1037)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1041)), {C=0.0009312913907284769, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1042)), {C=0.0009312913907284769, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1043)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1044)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1045)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1047)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1053)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1055)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1057)), {C=0.000827814569536424, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1061)), {C=0.0009312913907284769, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1062)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1063)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1065)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(1068)), {C=0.0007243377483443708, S=0.0006808676198813345}
