(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(3)), {C=0.0007430209107313449, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(908)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(919)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(924)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(928)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(930)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(933)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(938)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(941)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(951)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(962)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(969)), {C=0.0007430209107313449, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(976)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(980)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(981)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(982)), {C=0.0009553125995117293, S=0.0008754012255617158}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(984)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(985)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(991)), {C=0.0008491667551215371, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(992)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(993)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(998)), {C=0.0009553125995117293, S=0.0008754012255617158}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1000)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1003)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1004)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1006)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1009)), {C=0.0007430209107313449, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1018)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1024)), {C=0.0009553125995117293, S=0.0008754012255617158}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1031)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1035)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1044)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1047)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1070)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1084)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1096)), {C=0.0007430209107313449, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1101)), {C=0.0007430209107313449, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1103)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1107)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1109)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1110)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1120)), {C=0.0007430209107313449, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1128)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1132)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1133)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1136)), {C=0.0009553125995117293, S=0.0008754012255617158}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1144)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1160)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1172)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1192)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1199)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1201)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1202)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1207)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1212)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1224)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1227)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1230)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1234)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1236)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1237)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1239)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1254)), {C=0.0007430209107313449, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1270)), {C=0.0007430209107313449, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1275)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1276)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1282)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1286)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1287)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1295)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1296)), {C=0.0007430209107313449, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1308)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1312)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1313)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1316)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1319)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1320)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1321)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1323)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1324)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1326)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1328)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1332)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1334)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1336)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1337)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1349)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1363)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1368)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1370)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1374)), {C=0.0007430209107313449, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1376)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1384)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1389)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1392)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1397)), {C=0.0008491667551215371, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1398)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1407)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1410)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1411)), {C=0.0009553125995117293, S=0.0008754012255617158}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1415)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1420)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1423)), {C=0.0007430209107313449, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1425)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1433)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1434)), {C=0.0007430209107313449, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1444)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1447)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1451)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1459)), {C=0.0007430209107313449, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1461)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1466)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1467)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1479)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1488)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1493)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1494)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1503)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1518)), {C=0.0008491667551215371, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1528)), {C=0.0008491667551215371, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1530)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1532)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1534)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1541)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1553)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(1558)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(3)), {C=0.0007430209107313449, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(4)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(9)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(10)), {C=0.0007430209107313449, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(12)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(26)), {C=0.0007430209107313449, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(27)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(28)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(30)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(31)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(35)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(36)), {C=0.0009553125995117293, S=0.0008754012255617158}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(41)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(42)), {C=0.0008491667551215371, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(44)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(48)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(50)), {C=0.0009553125995117293, S=0.0008754012255617158}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(52)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(59)), {C=0.0007430209107313449, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(65)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(67)), {C=0.0007430209107313449, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(70)), {C=0.0009553125995117293, S=0.0008754012255617158}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(74)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(76)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(90)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(95)), {C=0.0008491667551215371, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(107)), {C=0.0007430209107313449, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(108)), {C=0.0010614584439019212, S=0.0009726680284019065}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(113)), {C=0.0007430209107313449, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(115)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(121)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(126)), {C=0.0007430209107313449, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(133)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(140)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(145)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(162)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(164)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(170)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(174)), {C=0.0008491667551215371, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(175)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(180)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(185)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(189)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(194)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(199)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(203)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(220)), {C=0.0007430209107313449, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(253)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(256)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(259)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(260)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(269)), {C=0.0007430209107313449, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(271)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(274)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(293)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(294)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(296)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(299)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(304)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(309)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(320)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(326)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(329)), {C=0.0006368750663411527, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(333)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(337)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(343)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(347)), {C=0.0005307292219509606, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(351)), {C=0.0007430209107313449, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(358)), {C=0.0005307292219509606, S=0.00048633401420095323}
