(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(3)), {C=0.0009037959429604339, S=0.0008754012255617158}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1208)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1212)), {C=0.0007029524000803374, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1215)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1220)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1224)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1227)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1242)), {C=0.0007029524000803374, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1248)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1265)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1274)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1275)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1277)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1283)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1284)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1290)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1305)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1310)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1324)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1337)), {C=0.0007029524000803374, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1339)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1341)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1347)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1357)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1361)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1362)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1363)), {C=0.0008033741715203857, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1364)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1366)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1380)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1387)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1396)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1398)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1401)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1405)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1406)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1413)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1419)), {C=0.0007029524000803374, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1420)), {C=0.0007029524000803374, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1429)), {C=0.0007029524000803374, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1431)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1433)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1445)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1449)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1454)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1456)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1460)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1461)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1465)), {C=0.0007029524000803374, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1467)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1468)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1473)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1483)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1500)), {C=0.0007029524000803374, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1505)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1507)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1512)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1525)), {C=0.0007029524000803374, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1529)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1534)), {C=0.0008033741715203857, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1535)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1545)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1550)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1554)), {C=0.0008033741715203857, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1555)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1556)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(3)), {C=0.0009037959429604339, S=0.0008754012255617158}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(8)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(16)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(17)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(19)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(21)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(26)), {C=0.0007029524000803374, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(28)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(32)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(53)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(66)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(85)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(105)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(111)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(116)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(119)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(131)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(142)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(148)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(160)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(162)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(163)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(179)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(182)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(195)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(207)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(212)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(220)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(225)), {C=0.0008033741715203857, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(227)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(241)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(265)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(274)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(282)), {C=0.0008033741715203857, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(301)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(312)), {C=0.0008033741715203857, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(316)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(322)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(328)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(334)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(340)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(347)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(349)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(356)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(358)), {C=0.0008033741715203857, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(376)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(378)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(384)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(389)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(390)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(394)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(420)), {C=0.0007029524000803374, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(422)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(426)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(427)), {C=0.0007029524000803374, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(432)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(434)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(436)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(439)), {C=0.0007029524000803374, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(445)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(446)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(448)), {C=0.0008033741715203857, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(458)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(463)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(465)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(469)), {C=0.0007029524000803374, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(472)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(473)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(474)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(475)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(476)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(477)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(485)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(493)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(497)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(520)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(521)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(524)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(534)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(562)), {C=0.0007029524000803374, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(575)), {C=0.0007029524000803374, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(576)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(577)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(584)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(590)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(592)), {C=0.0008033741715203857, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(593)), {C=0.0007029524000803374, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(599)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(604)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(608)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(609)), {C=0.0008033741715203857, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(619)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(622)), {C=0.0007029524000803374, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(623)), {C=0.0008033741715203857, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(642)), {C=0.0008033741715203857, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(661)), {C=0.0007029524000803374, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(662)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(663)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(667)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(668)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(679)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(681)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(688)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(689)), {C=0.0007029524000803374, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(690)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(696)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(721)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(725)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(728)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(730)), {C=0.0007029524000803374, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(735)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(742)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(751)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(765)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(778)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(785)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(791)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(794)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(796)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(797)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(807)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(817)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(821)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(822)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(830)), {C=0.0006025306286402891, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(833)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(835)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(836)), {C=0.000502108857200241, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(837)), {C=0.000502108857200241, S=0.00048633401420095323}
