(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(41)), {C=0.0008194482381862878, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(696)), {C=0.0009560229445506692, S=0.0006808676198813345}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(795)), {C=0.0006828735318219066, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(808)), {C=0.0006828735318219066, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(830)), {C=0.0008194482381862878, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(879)), {C=0.0006828735318219066, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(892)), {C=0.0006828735318219066, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(897)), {C=0.0008194482381862878, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(900)), {C=0.0008194482381862878, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(930)), {C=0.0006828735318219066, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(933)), {C=0.0006828735318219066, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(940)), {C=0.0006828735318219066, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(962)), {C=0.0006828735318219066, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(964)), {C=0.0006828735318219066, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(972)), {C=0.0006828735318219066, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(991)), {C=0.0006828735318219066, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1012)), {C=0.0006828735318219066, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1018)), {C=0.0006828735318219066, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1044)), {C=0.0008194482381862878, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1050)), {C=0.0006828735318219066, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1092)), {C=0.0006828735318219066, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1116)), {C=0.0006828735318219066, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1124)), {C=0.0006828735318219066, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1162)), {C=0.0006828735318219066, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1251)), {C=0.0006828735318219066, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1261)), {C=0.0006828735318219066, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1270)), {C=0.0008194482381862878, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1275)), {C=0.0008194482381862878, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1277)), {C=0.0006828735318219066, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1344)), {C=0.0006828735318219066, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1347)), {C=0.0008194482381862878, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1352)), {C=0.0006828735318219066, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1362)), {C=0.0006828735318219066, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1368)), {C=0.0006828735318219066, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1397)), {C=0.0006828735318219066, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1411)), {C=0.0008194482381862878, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1435)), {C=0.0006828735318219066, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1446)), {C=0.0006828735318219066, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1487)), {C=0.0006828735318219066, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1503)), {C=0.0006828735318219066, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1509)), {C=0.0006828735318219066, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1532)), {C=0.0006828735318219066, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1558)), {C=0.0006828735318219066, S=0.00048633401420095323}
