(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(2)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1097)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1100)), {C=0.0006137479541734861, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1102)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1107)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1129)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1132)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1141)), {C=0.0006137479541734861, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1150)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1154)), {C=0.0006137479541734861, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1161)), {C=0.0006137479541734861, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1162)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1173)), {C=0.0007160392798690671, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1215)), {C=0.0006137479541734861, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1247)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1249)), {C=0.0007160392798690671, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1250)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1262)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1270)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1275)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1278)), {C=0.0006137479541734861, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1298)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1305)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1308)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1317)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1322)), {C=0.0006137479541734861, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1347)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1351)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1353)), {C=0.0008183306055646482, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1355)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1359)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1369)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1373)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1376)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1380)), {C=0.0007160392798690671, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1389)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1392)), {C=0.0006137479541734861, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1394)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1396)), {C=0.0006137479541734861, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1411)), {C=0.0007160392798690671, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1415)), {C=0.0008183306055646482, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1417)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1419)), {C=0.0006137479541734861, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1420)), {C=0.0006137479541734861, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1421)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1423)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1439)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1440)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1443)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1448)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1456)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1458)), {C=0.0006137479541734861, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1462)), {C=0.0007160392798690671, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1465)), {C=0.0007160392798690671, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1491)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1494)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1497)), {C=0.0006137479541734861, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1498)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1504)), {C=0.0007160392798690671, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1507)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1514)), {C=0.0009206219312602291, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1519)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1521)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1529)), {C=0.0005114566284779051, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1530)), {C=0.0006137479541734861, S=0.0005836008170411438}
