(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(1)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(343)), {C=0.0008256786046031583, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(344)), {C=0.0008256786046031583, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(345)), {C=0.001032098255753948, S=0.0009726680284019065}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(348)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(349)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(350)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(351)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(353)), {C=0.0008256786046031583, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(356)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(357)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(358)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(359)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(360)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(361)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(362)), {C=0.0008256786046031583, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(364)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(368)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(369)), {C=0.0008256786046031583, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(370)), {C=0.0011353080813293426, S=0.001069934831242097}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(371)), {C=0.000928888430178553, S=0.0008754012255617158}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(373)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(376)), {C=0.0008256786046031583, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(378)), {C=0.000928888430178553, S=0.0008754012255617158}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(380)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(381)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(382)), {C=0.001032098255753948, S=0.0009726680284019065}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(383)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(384)), {C=0.0011353080813293426, S=0.001069934831242097}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(385)), {C=0.001032098255753948, S=0.0009726680284019065}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(386)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(388)), {C=0.000928888430178553, S=0.0008754012255617158}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(390)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(391)), {C=0.0008256786046031583, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(392)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(393)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(394)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(395)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(396)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(398)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(399)), {C=0.0008256786046031583, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(400)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(401)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(402)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(403)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(404)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(406)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(408)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(409)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(410)), {C=0.000928888430178553, S=0.0008754012255617158}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(412)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(413)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(415)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(416)), {C=0.0008256786046031583, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(417)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(418)), {C=0.0008256786046031583, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(419)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(420)), {C=0.000928888430178553, S=0.0008754012255617158}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(421)), {C=0.000928888430178553, S=0.0008754012255617158}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(423)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(424)), {C=0.0008256786046031583, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(425)), {C=0.000928888430178553, S=0.0008754012255617158}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(426)), {C=0.0008256786046031583, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(427)), {C=0.0012385179069047372, S=0.0011672016340822876}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(428)), {C=0.000928888430178553, S=0.0008754012255617158}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(429)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(432)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(433)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(434)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(435)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(436)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(437)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(438)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(439)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(440)), {C=0.0011353080813293426, S=0.001069934831242097}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(441)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(443)), {C=0.000928888430178553, S=0.0008754012255617158}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(445)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(446)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(447)), {C=0.0008256786046031583, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(448)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(451)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(452)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(453)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(454)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(455)), {C=0.000928888430178553, S=0.0008754012255617158}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(456)), {C=0.0008256786046031583, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(458)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(459)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(460)), {C=0.0008256786046031583, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(461)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(463)), {C=0.0008256786046031583, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(464)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(466)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(467)), {C=0.000928888430178553, S=0.0008754012255617158}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(468)), {C=0.0012385179069047372, S=0.0011672016340822876}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(470)), {C=0.0008256786046031583, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(472)), {C=0.001032098255753948, S=0.0009726680284019065}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(473)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(475)), {C=0.001032098255753948, S=0.0009726680284019065}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(476)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(477)), {C=0.000928888430178553, S=0.0008754012255617158}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(478)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(480)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(481)), {C=0.0008256786046031583, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(482)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(484)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(485)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(486)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(489)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(492)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(493)), {C=0.0008256786046031583, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(494)), {C=0.0008256786046031583, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(495)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(497)), {C=0.0008256786046031583, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(498)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(500)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(501)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(502)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(503)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(505)), {C=0.0008256786046031583, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(506)), {C=0.000928888430178553, S=0.0008754012255617158}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(507)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(508)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(510)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(511)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(512)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(513)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(514)), {C=0.000928888430178553, S=0.0008754012255617158}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(518)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(519)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(520)), {C=0.001032098255753948, S=0.0009726680284019065}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(521)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(522)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(523)), {C=0.0008256786046031583, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(524)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(525)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(527)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(528)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(530)), {C=0.000928888430178553, S=0.0008754012255617158}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(535)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(536)), {C=0.0008256786046031583, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(537)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(538)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(539)), {C=0.0008256786046031583, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(541)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(542)), {C=0.001032098255753948, S=0.0009726680284019065}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(544)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(545)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(547)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(548)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(549)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(550)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(551)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(552)), {C=0.001032098255753948, S=0.0009726680284019065}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(553)), {C=0.000928888430178553, S=0.0008754012255617158}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(554)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(556)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(560)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(561)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(562)), {C=0.000928888430178553, S=0.0008754012255617158}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(563)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(565)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(566)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(567)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(568)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(569)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(570)), {C=0.0008256786046031583, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(571)), {C=0.0008256786046031583, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(574)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(576)), {C=0.001032098255753948, S=0.0009726680284019065}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(577)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(578)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(579)), {C=0.001032098255753948, S=0.0009726680284019065}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(580)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(581)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(583)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(584)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(586)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(587)), {C=0.000928888430178553, S=0.0008754012255617158}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(588)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(589)), {C=0.000928888430178553, S=0.0008754012255617158}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(590)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(592)), {C=0.001032098255753948, S=0.0009726680284019065}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(593)), {C=0.0011353080813293426, S=0.001069934831242097}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(594)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(598)), {C=0.0007224687790277634, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(599)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(602)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(603)), {C=0.0012385179069047372, S=0.0011672016340822876}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(605)), {C=0.0008256786046031583, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(606)), {C=0.0011353080813293426, S=0.001069934831242097}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(608)), {C=0.0006192589534523686, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(609)), {C=0.000928888430178553, S=0.0008754012255617158}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(611)), {C=0.0008256786046031583, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(612)), {C=0.000516049127876974, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(613)), {C=0.0008256786046031583, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(marital_status(S)) --> (buy(614)), {C=0.0007224687790277634, S=0.0006808676198813345}
