(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(2)), {C=0.0008130907612562253, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(525)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(527)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(529)), {C=0.001422908832198394, S=0.001361735239762669}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(533)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(534)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(535)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(537)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(539)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(540)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(541)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(544)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(547)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(549)), {C=0.0011179997967273097, S=0.001069934831242097}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(550)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(552)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(557)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(564)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(566)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(569)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(570)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(573)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(576)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(577)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(580)), {C=0.0008130907612562253, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(583)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(584)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(585)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(589)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(593)), {C=0.0008130907612562253, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(594)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(597)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(599)), {C=0.0009147271064132534, S=0.0008754012255617158}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(602)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(604)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(607)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(610)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(612)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(614)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(617)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(622)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(623)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(624)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(627)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(628)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(629)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(630)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(631)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(635)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(636)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(640)), {C=0.0008130907612562253, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(642)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(643)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(645)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(646)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(647)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(648)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(649)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(655)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(656)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(659)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(660)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(662)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(666)), {C=0.0008130907612562253, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(668)), {C=0.0008130907612562253, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(671)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(673)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(674)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(676)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(677)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(679)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(684)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(685)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(686)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(691)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(692)), {C=0.0008130907612562253, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(693)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(695)), {C=0.0008130907612562253, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(696)), {C=0.0009147271064132534, S=0.0008754012255617158}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(697)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(699)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(706)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(709)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(715)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(718)), {C=0.0008130907612562253, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(721)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(724)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(725)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(726)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(730)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(732)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(733)), {C=0.0009147271064132534, S=0.0008754012255617158}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(737)), {C=0.0008130907612562253, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(738)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(739)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(750)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(751)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(755)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(757)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(759)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(760)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(762)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(764)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(766)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(768)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(770)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(771)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(772)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(774)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(776)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(777)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(779)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(781)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(784)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(791)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(792)), {C=0.0008130907612562253, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(794)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(796)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(797)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(799)), {C=0.0009147271064132534, S=0.0008754012255617158}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(801)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(803)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(804)), {C=0.0009147271064132534, S=0.0008754012255617158}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(806)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(808)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(810)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(812)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(814)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(821)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(822)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(823)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(828)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(830)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(831)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(832)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(834)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(836)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(838)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(839)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(840)), {C=0.0010163634515702815, S=0.0009726680284019065}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(843)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(844)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(845)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(846)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(849)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(852)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(858)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(860)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(861)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(862)), {C=0.0008130907612562253, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(864)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(865)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(867)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(870)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(871)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(873)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(877)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(878)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(880)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(882)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(883)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(884)), {C=0.0008130907612562253, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(891)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(892)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(894)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(896)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(897)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(898)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(901)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(903)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(905)), {C=0.0009147271064132534, S=0.0008754012255617158}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(908)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(911)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(912)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(913)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(917)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(918)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(920)), {C=0.0008130907612562253, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(921)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(922)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(926)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(928)), {C=0.0009147271064132534, S=0.0008754012255617158}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(931)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(944)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(948)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(957)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(958)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(959)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(960)), {C=0.0008130907612562253, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(966)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(967)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(968)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(969)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(972)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(976)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(978)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(982)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(983)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(984)), {C=0.0006098180709421688, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(987)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(988)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(989)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(990)), {C=0.0010163634515702815, S=0.0009726680284019065}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(992)), {C=0.0005081817257851408, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(994)), {C=0.000711454416099197, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(M)) --> (buy(996)), {C=0.0005081817257851408, S=0.00048633401420095323}
