(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(10)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1350)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1353)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1355)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1365)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1368)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1372)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1377)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1383)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1384)), {C=0.0007451564828614008, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1389)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1398)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1401)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1405)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1407)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1409)), {C=0.0008516074089844582, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1411)), {C=0.0008516074089844582, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1412)), {C=0.0007451564828614008, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1413)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1424)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1425)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1433)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1434)), {C=0.00117096018735363, S=0.001069934831242097}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1438)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1440)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1447)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1448)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1454)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1457)), {C=0.0007451564828614008, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1461)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1467)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1479)), {C=0.0007451564828614008, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1491)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1493)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1495)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1503)), {C=0.0008516074089844582, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1511)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1518)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1528)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1529)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1532)), {C=0.0006387055567383436, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1547)), {C=0.0005322546306152864, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N))(marital_status(S)) --> (buy(1553)), {C=0.0005322546306152864, S=0.00048633401420095323}
