(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(11)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(598)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(599)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(609)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(614)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(621)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(623)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(626)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(627)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(628)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(635)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(636)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(641)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(644)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(645)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(649)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(651)), {C=0.0009290802105915144, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(653)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(666)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(668)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(670)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(673)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(674)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(689)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(692)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(695)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(696)), {C=0.0007226179415711777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(704)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(706)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(708)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(712)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(718)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(721)), {C=0.0008258490760813461, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(723)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(725)), {C=0.001135542479611851, S=0.001069934831242097}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(728)), {C=0.0007226179415711777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(745)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(746)), {C=0.0007226179415711777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(749)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(753)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(756)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(758)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(760)), {C=0.0008258490760813461, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(768)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(770)), {C=0.0007226179415711777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(772)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(773)), {C=0.0007226179415711777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(784)), {C=0.0007226179415711777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(786)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(787)), {C=0.0008258490760813461, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(788)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(796)), {C=0.0007226179415711777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(805)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(806)), {C=0.0007226179415711777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(809)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(812)), {C=0.0009290802105915144, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(813)), {C=0.0007226179415711777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(814)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(821)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(822)), {C=0.0007226179415711777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(825)), {C=0.0010323113451016826, S=0.0009726680284019065}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(826)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(827)), {C=0.0007226179415711777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(830)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(838)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(843)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(847)), {C=0.0007226179415711777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(849)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(855)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(858)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(859)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(861)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(862)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(864)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(868)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(872)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(873)), {C=0.0008258490760813461, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(876)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(882)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(883)), {C=0.0010323113451016826, S=0.0009726680284019065}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(885)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(889)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(892)), {C=0.0007226179415711777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(894)), {C=0.0007226179415711777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(901)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(902)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(903)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(908)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(909)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(912)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(916)), {C=0.0009290802105915144, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(918)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(924)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(926)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(928)), {C=0.0007226179415711777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(933)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(934)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(935)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(937)), {C=0.0007226179415711777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(938)), {C=0.0007226179415711777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(943)), {C=0.0008258490760813461, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(951)), {C=0.0008258490760813461, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(952)), {C=0.0007226179415711777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(953)), {C=0.0007226179415711777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(959)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(963)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(964)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(965)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(967)), {C=0.0007226179415711777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(968)), {C=0.0007226179415711777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(969)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(971)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(972)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(976)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(980)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(981)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(983)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(985)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(986)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(998)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1002)), {C=0.0009290802105915144, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1003)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1009)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1012)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1013)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1014)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1017)), {C=0.0008258490760813461, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1019)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1022)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1023)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1024)), {C=0.0007226179415711777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1029)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1036)), {C=0.001135542479611851, S=0.001069934831242097}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1038)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1041)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1046)), {C=0.0008258490760813461, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1048)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1049)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1055)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1057)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1058)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1059)), {C=0.0009290802105915144, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1060)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1061)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1067)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1070)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1071)), {C=0.0007226179415711777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1074)), {C=0.0008258490760813461, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1080)), {C=0.0008258490760813461, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1086)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1087)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1089)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1091)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1095)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1101)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1103)), {C=0.0008258490760813461, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1105)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1109)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1119)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1120)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1123)), {C=0.0010323113451016826, S=0.0009726680284019065}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1126)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1133)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1135)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1148)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1152)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1153)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1159)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1160)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1161)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1162)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1163)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1165)), {C=0.0007226179415711777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1167)), {C=0.0007226179415711777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1172)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1173)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1175)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1179)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1185)), {C=0.0008258490760813461, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1186)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1190)), {C=0.0009290802105915144, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1191)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1192)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1196)), {C=0.0007226179415711777, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1198)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1200)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1203)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1204)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1213)), {C=0.0006193868070610096, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1217)), {C=0.0008258490760813461, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1218)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1219)), {C=0.0005161556725508413, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1221)), {C=0.0005161556725508413, S=0.00048633401420095323}
