(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(2)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(365)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(367)), {C=0.0008087343307723413, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(369)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(370)), {C=0.000909826122118884, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(371)), {C=0.0010109179134654266, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(372)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(373)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(374)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(375)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(376)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(377)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(378)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(380)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(381)), {C=0.0010109179134654266, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(382)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(383)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(384)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(388)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(389)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(390)), {C=0.000909826122118884, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(391)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(392)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(393)), {C=0.0008087343307723413, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(394)), {C=0.0011120097048119692, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(395)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(397)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(399)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(400)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(402)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(403)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(404)), {C=0.0008087343307723413, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(406)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(407)), {C=0.0008087343307723413, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(409)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(410)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(412)), {C=0.0008087343307723413, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(413)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(414)), {C=0.0008087343307723413, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(415)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(416)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(417)), {C=0.0008087343307723413, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(418)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(419)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(423)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(424)), {C=0.0008087343307723413, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(425)), {C=0.0008087343307723413, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(426)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(427)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(428)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(430)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(431)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(432)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(434)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(436)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(437)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(438)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(439)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(441)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(442)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(443)), {C=0.000909826122118884, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(445)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(446)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(447)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(448)), {C=0.000909826122118884, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(449)), {C=0.0008087343307723413, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(451)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(454)), {C=0.0008087343307723413, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(455)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(456)), {C=0.0008087343307723413, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(457)), {C=0.0010109179134654266, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(458)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(459)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(460)), {C=0.000909826122118884, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(461)), {C=0.0008087343307723413, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(462)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(463)), {C=0.000909826122118884, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(464)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(465)), {C=0.0010109179134654266, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(466)), {C=0.0008087343307723413, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(469)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(471)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(472)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(473)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(475)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(476)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(477)), {C=0.0011120097048119692, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(478)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(479)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(480)), {C=0.0008087343307723413, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(481)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(482)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(483)), {C=0.0011120097048119692, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(484)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(485)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(487)), {C=0.0008087343307723413, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(489)), {C=0.000909826122118884, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(490)), {C=0.0011120097048119692, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(491)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(493)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(494)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(496)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(497)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(498)), {C=0.0011120097048119692, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(499)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(500)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(501)), {C=0.000909826122118884, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(502)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(504)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(505)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(510)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(511)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(514)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(516)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(517)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(518)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(521)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(522)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(523)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(524)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(526)), {C=0.000909826122118884, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(527)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(529)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(530)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(534)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(535)), {C=0.0010109179134654266, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(536)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(537)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(538)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(539)), {C=0.0008087343307723413, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(540)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(541)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(543)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(544)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(545)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(546)), {C=0.0008087343307723413, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(547)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(549)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(550)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(551)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(552)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(553)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(555)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(557)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(558)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(559)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(561)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(562)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(563)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(565)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(566)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(567)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(568)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(569)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(571)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(572)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(574)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(575)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(576)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(580)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(581)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(584)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(585)), {C=0.0008087343307723413, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(590)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(593)), {C=0.0008087343307723413, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(594)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(597)), {C=0.000909826122118884, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(599)), {C=0.0007076425394257985, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(600)), {C=0.0008087343307723413, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(604)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(605)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(606)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(607)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(608)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(609)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(610)), {C=0.000909826122118884, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(612)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(615)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(617)), {C=0.000909826122118884, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(618)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(621)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(622)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(623)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(624)), {C=0.000909826122118884, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(627)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(632)), {C=0.0008087343307723413, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(633)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(634)), {C=0.0010109179134654266, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(635)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(636)), {C=0.0005054589567327133, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(638)), {C=0.0006065507480792558, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(639)), {C=0.0006065507480792558, S=0.0005836008170411438}
