(gender(Female)) --> (buy(1)), {C=0.00274671375318815, S=0.001361735239762669}
(gender(Female)) --> (buy(333)), {C=0.0041200706297822255, S=0.0020426028596440037}
(gender(Female)) --> (buy(334)), {C=0.0054934275063763, S=0.002723470479525338}
(gender(Female)) --> (buy(335)), {C=0.00529723366686286, S=0.0026262036766851473}
(gender(Female)) --> (buy(336)), {C=0.006474396703943497, S=0.0032098044937262913}
(gender(Female)) --> (buy(337)), {C=0.0070629782224838145, S=0.0035016049022468633}
(gender(Female)) --> (buy(338)), {C=0.00529723366686286, S=0.0026262036766851473}
(gender(Female)) --> (buy(339)), {C=0.00529723366686286, S=0.0026262036766851473}
(gender(Female)) --> (buy(340)), {C=0.006082009024916618, S=0.00301527088804591}
(gender(Female)) --> (buy(341)), {C=0.0054934275063763, S=0.002723470479525338}
(gender(Female)) --> (buy(342)), {C=0.004512458308809104, S=0.0022371364653243847}
(gender(Female)) --> (buy(343)), {C=0.004316264469295664, S=0.002139869662484194}
(gender(Female)) --> (buy(344)), {C=0.006670590543456935, S=0.003307071296566482}
(gender(Female)) --> (buy(345)), {C=0.006474396703943497, S=0.0032098044937262913}
(gender(Female)) --> (buy(346)), {C=0.0031391014322150286, S=0.0015562688454430504}
(gender(Female)) --> (buy(347)), {C=0.004512458308809104, S=0.0022371364653243847}
(gender(Female)) --> (buy(348)), {C=0.004316264469295664, S=0.002139869662484194}
(gender(Female)) --> (buy(349)), {C=0.0070629782224838145, S=0.0035016049022468633}
(gender(Female)) --> (buy(350)), {C=0.007455365901510693, S=0.0036961385079272444}
(gender(Female)) --> (buy(351)), {C=0.0035314891112419072, S=0.0017508024511234317}
(gender(Female)) --> (buy(352)), {C=0.004316264469295664, S=0.002139869662484194}
(gender(Female)) --> (buy(353)), {C=0.0054934275063763, S=0.002723470479525338}
(gender(Female)) --> (buy(354)), {C=0.00529723366686286, S=0.0026262036766851473}
(gender(Female)) --> (buy(355)), {C=0.0035314891112419072, S=0.0017508024511234317}
(gender(Female)) --> (buy(356)), {C=0.004904845987835982, S=0.0024316700710047662}
(gender(Female)) --> (buy(357)), {C=0.0051010398273494215, S=0.0025289368738449568}
(gender(Female)) --> (buy(358)), {C=0.007455365901510693, S=0.0036961385079272444}
(gender(Female)) --> (buy(359)), {C=0.0054934275063763, S=0.002723470479525338}
(gender(Female)) --> (buy(360)), {C=0.006278202864430057, S=0.003112537690886101}
(gender(Female)) --> (buy(361)), {C=0.0037276829507553464, S=0.0018480692539636222}
(gender(Female)) --> (buy(362)), {C=0.006670590543456935, S=0.003307071296566482}
(gender(Female)) --> (buy(363)), {C=0.004708652148322542, S=0.0023344032681645753}
(gender(Female)) --> (buy(364)), {C=0.007259172061997254, S=0.003598871705087054}
(gender(Female)) --> (buy(365)), {C=0.004904845987835982, S=0.0024316700710047662}
(gender(Female)) --> (buy(366)), {C=0.0054934275063763, S=0.002723470479525338}
(gender(Female)) --> (buy(367)), {C=0.003923876790268786, S=0.001945336056803813}
(gender(Female)) --> (buy(368)), {C=0.005689621345889739, S=0.0028207372823655288}
(gender(Female)) --> (buy(369)), {C=0.004904845987835982, S=0.0024316700710047662}
(gender(Female)) --> (buy(370)), {C=0.004708652148322542, S=0.0023344032681645753}
(gender(Female)) --> (buy(371)), {C=0.006278202864430057, S=0.003112537690886101}
(gender(Female)) --> (buy(372)), {C=0.005689621345889739, S=0.0028207372823655288}
(gender(Female)) --> (buy(373)), {C=0.006082009024916618, S=0.00301527088804591}
(gender(Female)) --> (buy(374)), {C=0.006082009024916618, S=0.00301527088804591}
(gender(Female)) --> (buy(375)), {C=0.0054934275063763, S=0.002723470479525338}
(gender(Female)) --> (buy(376)), {C=0.006278202864430057, S=0.003112537690886101}
(gender(Female)) --> (buy(377)), {C=0.0051010398273494215, S=0.0025289368738449568}
(gender(Female)) --> (buy(378)), {C=0.006670590543456935, S=0.003307071296566482}
(gender(Female)) --> (buy(379)), {C=0.006474396703943497, S=0.0032098044937262913}
(gender(Female)) --> (buy(380)), {C=0.0054934275063763, S=0.002723470479525338}
(gender(Female)) --> (buy(381)), {C=0.0051010398273494215, S=0.0025289368738449568}
(gender(Female)) --> (buy(382)), {C=0.007847753580537572, S=0.003890672113607626}
(gender(Female)) --> (buy(383)), {C=0.006278202864430057, S=0.003112537690886101}
(gender(Female)) --> (buy(384)), {C=0.006082009024916618, S=0.00301527088804591}
(gender(Female)) --> (buy(385)), {C=0.006474396703943497, S=0.0032098044937262913}
(gender(Female)) --> (buy(386)), {C=0.004708652148322542, S=0.0023344032681645753}
(gender(Female)) --> (buy(387)), {C=0.006082009024916618, S=0.00301527088804591}
(gender(Female)) --> (buy(388)), {C=0.005689621345889739, S=0.0028207372823655288}
(gender(Female)) --> (buy(389)), {C=0.005689621345889739, S=0.0028207372823655288}
(gender(Female)) --> (buy(390)), {C=0.006866784382970375, S=0.0034043380994066724}
(gender(Female)) --> (buy(391)), {C=0.0051010398273494215, S=0.0025289368738449568}
(gender(Female)) --> (buy(392)), {C=0.0051010398273494215, S=0.0025289368738449568}
(gender(Female)) --> (buy(393)), {C=0.005885815185403179, S=0.0029180040852057193}
(gender(Female)) --> (buy(394)), {C=0.0054934275063763, S=0.002723470479525338}
(gender(Female)) --> (buy(395)), {C=0.0051010398273494215, S=0.0025289368738449568}
(gender(Female)) --> (buy(396)), {C=0.0051010398273494215, S=0.0025289368738449568}
(gender(Female)) --> (buy(397)), {C=0.006474396703943497, S=0.0032098044937262913}
(gender(Female)) --> (buy(398)), {C=0.005689621345889739, S=0.0028207372823655288}
(gender(Female)) --> (buy(399)), {C=0.00529723366686286, S=0.0026262036766851473}
(gender(Female)) --> (buy(400)), {C=0.006082009024916618, S=0.00301527088804591}
(gender(Female)) --> (buy(401)), {C=0.003923876790268786, S=0.001945336056803813}
(gender(Female)) --> (buy(402)), {C=0.005885815185403179, S=0.0029180040852057193}
(gender(Female)) --> (buy(403)), {C=0.0070629782224838145, S=0.0035016049022468633}
(gender(Female)) --> (buy(404)), {C=0.006474396703943497, S=0.0032098044937262913}
(gender(Female)) --> (buy(405)), {C=0.004512458308809104, S=0.0022371364653243847}
(gender(Female)) --> (buy(406)), {C=0.007259172061997254, S=0.003598871705087054}
(gender(Female)) --> (buy(407)), {C=0.007847753580537572, S=0.003890672113607626}
(gender(Female)) --> (buy(408)), {C=0.006474396703943497, S=0.0032098044937262913}
(gender(Female)) --> (buy(409)), {C=0.006278202864430057, S=0.003112537690886101}
(gender(Female)) --> (buy(410)), {C=0.005689621345889739, S=0.0028207372823655288}
(gender(Female)) --> (buy(411)), {C=0.0070629782224838145, S=0.0035016049022468633}
(gender(Female)) --> (buy(412)), {C=0.006670590543456935, S=0.003307071296566482}
(gender(Female)) --> (buy(413)), {C=0.006278202864430057, S=0.003112537690886101}
(gender(Female)) --> (buy(414)), {C=0.008828722778104767, S=0.004377006127808579}
(gender(Female)) --> (buy(415)), {C=0.00804394742005101, S=0.003987938916447816}
(gender(Female)) --> (buy(416)), {C=0.006670590543456935, S=0.003307071296566482}
(gender(Female)) --> (buy(417)), {C=0.008240141259564451, S=0.004085205719288007}
(gender(Female)) --> (buy(418)), {C=0.00529723366686286, S=0.0026262036766851473}
(gender(Female)) --> (buy(419)), {C=0.006082009024916618, S=0.00301527088804591}
(gender(Female)) --> (buy(420)), {C=0.0070629782224838145, S=0.0035016049022468633}
(gender(Female)) --> (buy(421)), {C=0.006278202864430057, S=0.003112537690886101}
(gender(Female)) --> (buy(422)), {C=0.007455365901510693, S=0.0036961385079272444}
(gender(Female)) --> (buy(423)), {C=0.0054934275063763, S=0.002723470479525338}
(gender(Female)) --> (buy(424)), {C=0.004904845987835982, S=0.0024316700710047662}
(gender(Female)) --> (buy(425)), {C=0.004708652148322542, S=0.0023344032681645753}
(gender(Female)) --> (buy(426)), {C=0.006866784382970375, S=0.0034043380994066724}
(gender(Female)) --> (buy(427)), {C=0.006474396703943497, S=0.0032098044937262913}
(gender(Female)) --> (buy(428)), {C=0.006670590543456935, S=0.003307071296566482}
(gender(Female)) --> (buy(429)), {C=0.00529723366686286, S=0.0026262036766851473}
(gender(Female)) --> (buy(430)), {C=0.00529723366686286, S=0.0026262036766851473}
(gender(Female)) --> (buy(431)), {C=0.004316264469295664, S=0.002139869662484194}
(gender(Female)) --> (buy(432)), {C=0.006082009024916618, S=0.00301527088804591}
(gender(Female)) --> (buy(433)), {C=0.004512458308809104, S=0.0022371364653243847}
(gender(Female)) --> (buy(434)), {C=0.0070629782224838145, S=0.0035016049022468633}
(gender(Female)) --> (buy(435)), {C=0.005689621345889739, S=0.0028207372823655288}
(gender(Female)) --> (buy(436)), {C=0.006866784382970375, S=0.0034043380994066724}
(gender(Female)) --> (buy(437)), {C=0.0070629782224838145, S=0.0035016049022468633}
(gender(Female)) --> (buy(438)), {C=0.005885815185403179, S=0.0029180040852057193}
(gender(Female)) --> (buy(439)), {C=0.004904845987835982, S=0.0024316700710047662}
(gender(Female)) --> (buy(440)), {C=0.0054934275063763, S=0.002723470479525338}
(gender(Female)) --> (buy(441)), {C=0.006670590543456935, S=0.003307071296566482}
(gender(Female)) --> (buy(442)), {C=0.005885815185403179, S=0.0029180040852057193}
(gender(Female)) --> (buy(443)), {C=0.006866784382970375, S=0.0034043380994066724}
(gender(Female)) --> (buy(444)), {C=0.005689621345889739, S=0.0028207372823655288}
(gender(Female)) --> (buy(445)), {C=0.00529723366686286, S=0.0026262036766851473}
(gender(Female)) --> (buy(446)), {C=0.006474396703943497, S=0.0032098044937262913}
(gender(Female)) --> (buy(447)), {C=0.008632528938591328, S=0.004279739324968388}
(gender(Female)) --> (buy(448)), {C=0.005885815185403179, S=0.0029180040852057193}
(gender(Female)) --> (buy(449)), {C=0.003923876790268786, S=0.001945336056803813}
(gender(Female)) --> (buy(450)), {C=0.004512458308809104, S=0.0022371364653243847}
(gender(Female)) --> (buy(451)), {C=0.005885815185403179, S=0.0029180040852057193}
(gender(Female)) --> (buy(452)), {C=0.0054934275063763, S=0.002723470479525338}
(gender(Female)) --> (buy(453)), {C=0.005885815185403179, S=0.0029180040852057193}
(gender(Female)) --> (buy(454)), {C=0.006474396703943497, S=0.0032098044937262913}
(gender(Female)) --> (buy(455)), {C=0.007651559741024131, S=0.003793405310767435}
(gender(Female)) --> (buy(456)), {C=0.006082009024916618, S=0.00301527088804591}
(gender(Female)) --> (buy(457)), {C=0.0051010398273494215, S=0.0025289368738449568}
(gender(Female)) --> (buy(458)), {C=0.0051010398273494215, S=0.0025289368738449568}
(gender(Female)) --> (buy(459)), {C=0.0033352952717284677, S=0.001653535648283241}
(gender(Female)) --> (buy(460)), {C=0.005885815185403179, S=0.0029180040852057193}
(gender(Female)) --> (buy(461)), {C=0.006278202864430057, S=0.003112537690886101}
(gender(Female)) --> (buy(462)), {C=0.006278202864430057, S=0.003112537690886101}
(gender(Female)) --> (buy(463)), {C=0.005885815185403179, S=0.0029180040852057193}
(gender(Female)) --> (buy(464)), {C=0.0051010398273494215, S=0.0025289368738449568}
(gender(Female)) --> (buy(465)), {C=0.005689621345889739, S=0.0028207372823655288}
(gender(Female)) --> (buy(466)), {C=0.006082009024916618, S=0.00301527088804591}
(gender(Female)) --> (buy(467)), {C=0.006670590543456935, S=0.003307071296566482}
(gender(Female)) --> (buy(468)), {C=0.006670590543456935, S=0.003307071296566482}
(gender(Female)) --> (buy(469)), {C=0.0054934275063763, S=0.002723470479525338}
(gender(Female)) --> (buy(470)), {C=0.005689621345889739, S=0.0028207372823655288}
(gender(Female)) --> (buy(471)), {C=0.0051010398273494215, S=0.0025289368738449568}
(gender(Female)) --> (buy(472)), {C=0.0054934275063763, S=0.002723470479525338}
(gender(Female)) --> (buy(473)), {C=0.004316264469295664, S=0.002139869662484194}
(gender(Female)) --> (buy(474)), {C=0.0051010398273494215, S=0.0025289368738449568}
(gender(Female)) --> (buy(475)), {C=0.005689621345889739, S=0.0028207372823655288}
(gender(Female)) --> (buy(476)), {C=0.0054934275063763, S=0.002723470479525338}
(gender(Female)) --> (buy(477)), {C=0.007847753580537572, S=0.003890672113607626}
(gender(Female)) --> (buy(478)), {C=0.006082009024916618, S=0.00301527088804591}
(gender(Female)) --> (buy(479)), {C=0.00529723366686286, S=0.0026262036766851473}
(gender(Female)) --> (buy(480)), {C=0.006278202864430057, S=0.003112537690886101}
(gender(Female)) --> (buy(481)), {C=0.006670590543456935, S=0.003307071296566482}
(gender(Female)) --> (buy(482)), {C=0.007455365901510693, S=0.0036961385079272444}
(gender(Female)) --> (buy(483)), {C=0.004512458308809104, S=0.0022371364653243847}
(gender(Female)) --> (buy(484)), {C=0.006866784382970375, S=0.0034043380994066724}
(gender(Female)) --> (buy(485)), {C=0.006082009024916618, S=0.00301527088804591}
(gender(Female)) --> (buy(486)), {C=0.005885815185403179, S=0.0029180040852057193}
(gender(Female)) --> (buy(487)), {C=0.005689621345889739, S=0.0028207372823655288}
(gender(Female)) --> (buy(488)), {C=0.006082009024916618, S=0.00301527088804591}
(gender(Female)) --> (buy(489)), {C=0.0051010398273494215, S=0.0025289368738449568}
(gender(Female)) --> (buy(490)), {C=0.0054934275063763, S=0.002723470479525338}
(gender(Female)) --> (buy(491)), {C=0.004708652148322542, S=0.0023344032681645753}
(gender(Female)) --> (buy(492)), {C=0.0054934275063763, S=0.002723470479525338}
(gender(Female)) --> (buy(493)), {C=0.006278202864430057, S=0.003112537690886101}
(gender(Female)) --> (buy(494)), {C=0.004708652148322542, S=0.0023344032681645753}
(gender(Female)) --> (buy(495)), {C=0.0054934275063763, S=0.002723470479525338}
(gender(Female)) --> (buy(496)), {C=0.004316264469295664, S=0.002139869662484194}
(gender(Female)) --> (buy(497)), {C=0.005689621345889739, S=0.0028207372823655288}
(gender(Female)) --> (buy(498)), {C=0.006278202864430057, S=0.003112537690886101}
(gender(Female)) --> (buy(499)), {C=0.00529723366686286, S=0.0026262036766851473}
(gender(Female)) --> (buy(500)), {C=0.004512458308809104, S=0.0022371364653243847}
(gender(Female)) --> (buy(501)), {C=0.0054934275063763, S=0.002723470479525338}
(gender(Female)) --> (buy(502)), {C=0.007455365901510693, S=0.0036961385079272444}
(gender(Female)) --> (buy(503)), {C=0.005689621345889739, S=0.0028207372823655288}
(gender(Female)) --> (buy(504)), {C=0.005689621345889739, S=0.0028207372823655288}
(gender(Female)) --> (buy(505)), {C=0.006866784382970375, S=0.0034043380994066724}
(gender(Female)) --> (buy(506)), {C=0.0054934275063763, S=0.002723470479525338}
(gender(Female)) --> (buy(507)), {C=0.006278202864430057, S=0.003112537690886101}
(gender(Female)) --> (buy(508)), {C=0.006278202864430057, S=0.003112537690886101}
(gender(Female)) --> (buy(509)), {C=0.0033352952717284677, S=0.001653535648283241}
(gender(Female)) --> (buy(510)), {C=0.0051010398273494215, S=0.0025289368738449568}
(gender(Female)) --> (buy(511)), {C=0.005885815185403179, S=0.0029180040852057193}
(gender(Female)) --> (buy(512)), {C=0.005689621345889739, S=0.0028207372823655288}
(gender(Female)) --> (buy(513)), {C=0.00529723366686286, S=0.0026262036766851473}
(gender(Female)) --> (buy(514)), {C=0.006082009024916618, S=0.00301527088804591}
(gender(Female)) --> (buy(515)), {C=0.005885815185403179, S=0.0029180040852057193}
(gender(Female)) --> (buy(516)), {C=0.004316264469295664, S=0.002139869662484194}
(gender(Female)) --> (buy(517)), {C=0.004904845987835982, S=0.0024316700710047662}
(gender(Female)) --> (buy(518)), {C=0.006278202864430057, S=0.003112537690886101}
(gender(Female)) --> (buy(519)), {C=0.008240141259564451, S=0.004085205719288007}
(gender(Female)) --> (buy(520)), {C=0.005689621345889739, S=0.0028207372823655288}
(gender(Female)) --> (buy(521)), {C=0.006474396703943497, S=0.0032098044937262913}
(gender(Female)) --> (buy(522)), {C=0.005885815185403179, S=0.0029180040852057193}
(gender(Female)) --> (buy(523)), {C=0.006082009024916618, S=0.00301527088804591}
(gender(Female)) --> (buy(524)), {C=0.006278202864430057, S=0.003112537690886101}
(gender(Female)) --> (buy(525)), {C=0.005689621345889739, S=0.0028207372823655288}
(gender(Female)) --> (buy(526)), {C=0.00529723366686286, S=0.0026262036766851473}
(gender(Female)) --> (buy(527)), {C=0.006866784382970375, S=0.0034043380994066724}
(gender(Female)) --> (buy(528)), {C=0.005689621345889739, S=0.0028207372823655288}
(gender(Female)) --> (buy(529)), {C=0.007651559741024131, S=0.003793405310767435}
(gender(Female)) --> (buy(530)), {C=0.004904845987835982, S=0.0024316700710047662}
(gender(Female)) --> (buy(531)), {C=0.003923876790268786, S=0.001945336056803813}
(gender(Female)) --> (buy(532)), {C=0.004512458308809104, S=0.0022371364653243847}
(gender(Female)) --> (buy(533)), {C=0.0051010398273494215, S=0.0025289368738449568}
(gender(Female)) --> (buy(534)), {C=0.004316264469295664, S=0.002139869662484194}
(gender(Female)) --> (buy(535)), {C=0.0054934275063763, S=0.002723470479525338}
(gender(Female)) --> (buy(536)), {C=0.006082009024916618, S=0.00301527088804591}
(gender(Female)) --> (buy(537)), {C=0.006866784382970375, S=0.0034043380994066724}
(gender(Female)) --> (buy(538)), {C=0.0054934275063763, S=0.002723470479525338}
(gender(Female)) --> (buy(539)), {C=0.0054934275063763, S=0.002723470479525338}
(gender(Female)) --> (buy(540)), {C=0.0041200706297822255, S=0.0020426028596440037}
(gender(Female)) --> (buy(541)), {C=0.006474396703943497, S=0.0032098044937262913}
(gender(Female)) --> (buy(542)), {C=0.005885815185403179, S=0.0029180040852057193}
(gender(Female)) --> (buy(543)), {C=0.006082009024916618, S=0.00301527088804591}
(gender(Female)) --> (buy(544)), {C=0.006866784382970375, S=0.0034043380994066724}
(gender(Female)) --> (buy(545)), {C=0.0035314891112419072, S=0.0017508024511234317}
(gender(Female)) --> (buy(546)), {C=0.005689621345889739, S=0.0028207372823655288}
(gender(Female)) --> (buy(547)), {C=0.005689621345889739, S=0.0028207372823655288}
(gender(Female)) --> (buy(548)), {C=0.004904845987835982, S=0.0024316700710047662}
(gender(Female)) --> (buy(549)), {C=0.008632528938591328, S=0.004279739324968388}
(gender(Female)) --> (buy(550)), {C=0.0051010398273494215, S=0.0025289368738449568}
(gender(Female)) --> (buy(551)), {C=0.004708652148322542, S=0.0023344032681645753}
(gender(Female)) --> (buy(552)), {C=0.004512458308809104, S=0.0022371364653243847}
(gender(Female)) --> (buy(553)), {C=0.0054934275063763, S=0.002723470479525338}
(gender(Female)) --> (buy(554)), {C=0.00529723366686286, S=0.0026262036766851473}
(gender(Female)) --> (buy(555)), {C=0.0037276829507553464, S=0.0018480692539636222}
(gender(Female)) --> (buy(556)), {C=0.0051010398273494215, S=0.0025289368738449568}
(gender(Female)) --> (buy(557)), {C=0.005689621345889739, S=0.0028207372823655288}
(gender(Female)) --> (buy(558)), {C=0.006082009024916618, S=0.00301527088804591}
(gender(Female)) --> (buy(559)), {C=0.005689621345889739, S=0.0028207372823655288}
(gender(Female)) --> (buy(560)), {C=0.004512458308809104, S=0.0022371364653243847}
(gender(Female)) --> (buy(561)), {C=0.004904845987835982, S=0.0024316700710047662}
(gender(Female)) --> (buy(562)), {C=0.004708652148322542, S=0.0023344032681645753}
(gender(Female)) --> (buy(563)), {C=0.0051010398273494215, S=0.0025289368738449568}
(gender(Female)) --> (buy(564)), {C=0.005885815185403179, S=0.0029180040852057193}
(gender(Female)) --> (buy(565)), {C=0.005885815185403179, S=0.0029180040852057193}
(gender(Female)) --> (buy(566)), {C=0.005689621345889739, S=0.0028207372823655288}
(gender(Female)) --> (buy(567)), {C=0.005885815185403179, S=0.0029180040852057193}
(gender(Female)) --> (buy(568)), {C=0.006670590543456935, S=0.003307071296566482}
(gender(Female)) --> (buy(569)), {C=0.004316264469295664, S=0.002139869662484194}
(gender(Female)) --> (buy(570)), {C=0.007259172061997254, S=0.003598871705087054}
(gender(Female)) --> (buy(571)), {C=0.004316264469295664, S=0.002139869662484194}
(gender(Female)) --> (buy(572)), {C=0.006082009024916618, S=0.00301527088804591}
(gender(Female)) --> (buy(573)), {C=0.006670590543456935, S=0.003307071296566482}
(gender(Female)) --> (buy(574)), {C=0.006474396703943497, S=0.0032098044937262913}
(gender(Female)) --> (buy(575)), {C=0.005885815185403179, S=0.0029180040852057193}
(gender(Female)) --> (buy(576)), {C=0.006670590543456935, S=0.003307071296566482}
(gender(Female)) --> (buy(577)), {C=0.006082009024916618, S=0.00301527088804591}
(gender(Female)) --> (buy(578)), {C=0.0051010398273494215, S=0.0025289368738449568}
(gender(Female)) --> (buy(579)), {C=0.006670590543456935, S=0.003307071296566482}
(gender(Female)) --> (buy(580)), {C=0.006474396703943497, S=0.0032098044937262913}
(gender(Female)) --> (buy(581)), {C=0.0051010398273494215, S=0.0025289368738449568}
(gender(Female)) --> (buy(582)), {C=0.004904845987835982, S=0.0024316700710047662}
(gender(Female)) --> (buy(583)), {C=0.005689621345889739, S=0.0028207372823655288}
(gender(Female)) --> (buy(584)), {C=0.005689621345889739, S=0.0028207372823655288}
(gender(Female)) --> (buy(585)), {C=0.0051010398273494215, S=0.0025289368738449568}
(gender(Female)) --> (buy(586)), {C=0.0051010398273494215, S=0.0025289368738449568}
(gender(Female)) --> (buy(587)), {C=0.006670590543456935, S=0.003307071296566482}
(gender(Female)) --> (buy(588)), {C=0.0041200706297822255, S=0.0020426028596440037}
(gender(Female)) --> (buy(589)), {C=0.0051010398273494215, S=0.0025289368738449568}
(gender(Female)) --> (buy(590)), {C=0.006082009024916618, S=0.00301527088804591}
(gender(Female)) --> (buy(591)), {C=0.006082009024916618, S=0.00301527088804591}
(gender(Female)) --> (buy(592)), {C=0.004904845987835982, S=0.0024316700710047662}
(gender(Female)) --> (buy(593)), {C=0.005885815185403179, S=0.0029180040852057193}
(gender(Female)) --> (buy(594)), {C=0.004904845987835982, S=0.0024316700710047662}
(gender(Female)) --> (buy(595)), {C=0.0054934275063763, S=0.002723470479525338}
(gender(Female)) --> (buy(596)), {C=0.0041200706297822255, S=0.0020426028596440037}
(gender(Female)) --> (buy(597)), {C=0.00529723366686286, S=0.0026262036766851473}
(gender(Female)) --> (buy(598)), {C=0.006082009024916618, S=0.00301527088804591}
(gender(Female)) --> (buy(599)), {C=0.00529723366686286, S=0.0026262036766851473}
(gender(Female)) --> (buy(600)), {C=0.006082009024916618, S=0.00301527088804591}
(gender(Female)) --> (buy(601)), {C=0.005689621345889739, S=0.0028207372823655288}
(gender(Female)) --> (buy(602)), {C=0.0033352952717284677, S=0.001653535648283241}
(gender(Female)) --> (buy(603)), {C=0.00804394742005101, S=0.003987938916447816}
(gender(Female)) --> (buy(604)), {C=0.005689621345889739, S=0.0028207372823655288}
(gender(Female)) --> (buy(605)), {C=0.006278202864430057, S=0.003112537690886101}
(gender(Female)) --> (buy(606)), {C=0.004512458308809104, S=0.0022371364653243847}
(gender(Female)) --> (buy(607)), {C=0.006082009024916618, S=0.00301527088804591}
(gender(Female)) --> (buy(608)), {C=0.00529723366686286, S=0.0026262036766851473}
(gender(Female)) --> (buy(609)), {C=0.006866784382970375, S=0.0034043380994066724}
(gender(Female)) --> (buy(610)), {C=0.006474396703943497, S=0.0032098044937262913}
(gender(Female)) --> (buy(611)), {C=0.006866784382970375, S=0.0034043380994066724}
(gender(Female)) --> (buy(612)), {C=0.004512458308809104, S=0.0022371364653243847}
(gender(Female)) --> (buy(613)), {C=0.005689621345889739, S=0.0028207372823655288}
(gender(Female)) --> (buy(614)), {C=0.007455365901510693, S=0.0036961385079272444}
(gender(Female)) --> (buy(615)), {C=0.0054934275063763, S=0.002723470479525338}
(gender(Female)) --> (buy(616)), {C=0.004708652148322542, S=0.0023344032681645753}
(gender(Female)) --> (buy(617)), {C=0.006670590543456935, S=0.003307071296566482}
(gender(Female)) --> (buy(618)), {C=0.0051010398273494215, S=0.0025289368738449568}
(gender(Female)) --> (buy(619)), {C=0.0041200706297822255, S=0.0020426028596440037}
(gender(Female)) --> (buy(620)), {C=0.004904845987835982, S=0.0024316700710047662}
(gender(Female)) --> (buy(621)), {C=0.004708652148322542, S=0.0023344032681645753}
(gender(Female)) --> (buy(622)), {C=0.005689621345889739, S=0.0028207372823655288}
(gender(Female)) --> (buy(623)), {C=0.006866784382970375, S=0.0034043380994066724}
(gender(Female)) --> (buy(624)), {C=0.0037276829507553464, S=0.0018480692539636222}
(gender(Female)) --> (buy(625)), {C=0.004708652148322542, S=0.0023344032681645753}
(gender(Female)) --> (buy(626)), {C=0.00529723366686286, S=0.0026262036766851473}
(gender(Female)) --> (buy(627)), {C=0.005885815185403179, S=0.0029180040852057193}
(gender(Female)) --> (buy(628)), {C=0.004708652148322542, S=0.0023344032681645753}
(gender(Female)) --> (buy(629)), {C=0.0070629782224838145, S=0.0035016049022468633}
(gender(Female)) --> (buy(630)), {C=0.00529723366686286, S=0.0026262036766851473}
(gender(Female)) --> (buy(631)), {C=0.004708652148322542, S=0.0023344032681645753}
(gender(Female)) --> (buy(632)), {C=0.0041200706297822255, S=0.0020426028596440037}
(gender(Female)) --> (buy(633)), {C=0.004512458308809104, S=0.0022371364653243847}
(gender(Female)) --> (buy(634)), {C=0.005885815185403179, S=0.0029180040852057193}
(gender(Female)) --> (buy(635)), {C=0.004512458308809104, S=0.0022371364653243847}
(gender(Female)) --> (buy(636)), {C=0.005885815185403179, S=0.0029180040852057193}
(gender(Female)) --> (buy(637)), {C=0.0041200706297822255, S=0.0020426028596440037}
(gender(Female)) --> (buy(638)), {C=0.004904845987835982, S=0.0024316700710047662}
(gender(Female)) --> (buy(639)), {C=0.0054934275063763, S=0.002723470479525338}
(gender(Female)) --> (buy(640)), {C=0.0070629782224838145, S=0.0035016049022468633}
(gender(Female)) --> (buy(641)), {C=0.0051010398273494215, S=0.0025289368738449568}
(gender(Female)) --> (buy(642)), {C=0.005689621345889739, S=0.0028207372823655288}
(gender(Female)) --> (buy(643)), {C=0.004512458308809104, S=0.0022371364653243847}
(gender(Female)) --> (buy(644)), {C=0.006474396703943497, S=0.0032098044937262913}
(gender(Female)) --> (buy(645)), {C=0.006866784382970375, S=0.0034043380994066724}
(gender(Female)) --> (buy(646)), {C=0.0035314891112419072, S=0.0017508024511234317}
(gender(Female)) --> (buy(647)), {C=0.0041200706297822255, S=0.0020426028596440037}
(gender(Female)) --> (buy(648)), {C=0.00804394742005101, S=0.003987938916447816}
(gender(Female)) --> (buy(649)), {C=0.0041200706297822255, S=0.0020426028596440037}
(gender(Female)) --> (buy(650)), {C=0.005689621345889739, S=0.0028207372823655288}
(gender(Female)) --> (buy(651)), {C=0.0054934275063763, S=0.002723470479525338}
(gender(Female)) --> (buy(652)), {C=0.0054934275063763, S=0.002723470479525338}
(gender(Female)) --> (buy(653)), {C=0.004708652148322542, S=0.0023344032681645753}
(gender(Female)) --> (buy(654)), {C=0.004316264469295664, S=0.002139869662484194}
(gender(Female)) --> (buy(655)), {C=0.004708652148322542, S=0.0023344032681645753}
(gender(Female)) --> (buy(656)), {C=0.006278202864430057, S=0.003112537690886101}
(gender(Female)) --> (buy(657)), {C=0.0035314891112419072, S=0.0017508024511234317}
(gender(Female)) --> (buy(658)), {C=0.0037276829507553464, S=0.0018480692539636222}
(gender(Female)) --> (buy(659)), {C=0.00529723366686286, S=0.0026262036766851473}
(gender(Female)) --> (buy(660)), {C=0.006474396703943497, S=0.0032098044937262913}
(gender(Female)) --> (buy(661)), {C=0.0033352952717284677, S=0.001653535648283241}
(gender(Female)) --> (buy(662)), {C=0.006670590543456935, S=0.003307071296566482}
(gender(Female)) --> (buy(663)), {C=0.00529723366686286, S=0.0026262036766851473}
(gender(Female)) --> (buy(664)), {C=0.006082009024916618, S=0.00301527088804591}
(gender(Female)) --> (buy(665)), {C=0.004512458308809104, S=0.0022371364653243847}
