(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(7)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(958)), {C=0.0009677029152050321, S=0.0007781344227215252}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(964)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(965)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(966)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(970)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(971)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(980)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(987)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(988)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(992)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(994)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(995)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(996)), {C=0.0009677029152050321, S=0.0007781344227215252}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1005)), {C=0.000846740050804403, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1012)), {C=0.0009677029152050321, S=0.0007781344227215252}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1015)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1016)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1019)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1028)), {C=0.000846740050804403, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1032)), {C=0.000846740050804403, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1036)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1044)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1046)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1053)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1055)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1058)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1063)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1069)), {C=0.001088665779605661, S=0.0008754012255617158}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1078)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1085)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1086)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1091)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1096)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1099)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1103)), {C=0.000846740050804403, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1113)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1120)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1124)), {C=0.001088665779605661, S=0.0008754012255617158}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1125)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1128)), {C=0.001088665779605661, S=0.0008754012255617158}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1137)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1141)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1145)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1148)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1153)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1162)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1164)), {C=0.000846740050804403, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1171)), {C=0.0009677029152050321, S=0.0007781344227215252}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1182)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1188)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1194)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1195)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1198)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1204)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1208)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1209)), {C=0.000846740050804403, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1210)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1213)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1216)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1219)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1220)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1227)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1237)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1241)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1243)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1246)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1255)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1259)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1263)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1266)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1268)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1270)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1271)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1276)), {C=0.0009677029152050321, S=0.0007781344227215252}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1282)), {C=0.000846740050804403, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1287)), {C=0.000846740050804403, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1297)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1298)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1302)), {C=0.000846740050804403, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1311)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1315)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1349)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1362)), {C=0.000846740050804403, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1363)), {C=0.000846740050804403, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1366)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1368)), {C=0.0009677029152050321, S=0.0007781344227215252}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1372)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1373)), {C=0.000846740050804403, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1380)), {C=0.000846740050804403, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1390)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1393)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1401)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1405)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1411)), {C=0.0009677029152050321, S=0.0007781344227215252}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1412)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1413)), {C=0.000846740050804403, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1414)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1416)), {C=0.000846740050804403, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1417)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1423)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1425)), {C=0.000846740050804403, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1426)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1433)), {C=0.000846740050804403, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1434)), {C=0.000846740050804403, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1435)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1436)), {C=0.000846740050804403, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1441)), {C=0.00120962864400629, S=0.0009726680284019065}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1447)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1456)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1461)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1468)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1470)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1471)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1473)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1476)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1477)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1479)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1489)), {C=0.000846740050804403, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1504)), {C=0.001088665779605661, S=0.0008754012255617158}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1505)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1507)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1510)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1525)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1526)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1536)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1538)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1540)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1547)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1553)), {C=0.000846740050804403, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(1557)), {C=0.000604814322003145, S=0.00048633401420095323}
