(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(3)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(925)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(926)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(930)), {C=0.0007002100630189056, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(934)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(936)), {C=0.0007002100630189056, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(937)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(939)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(940)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(952)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(954)), {C=0.0007002100630189056, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(956)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(957)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(965)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(968)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(970)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(975)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(990)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(991)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(995)), {C=0.0009002700810243074, S=0.0008754012255617158}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(996)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(998)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1000)), {C=0.0007002100630189056, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1001)), {C=0.0007002100630189056, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1004)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1009)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1010)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1021)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1026)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1027)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1031)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1038)), {C=0.0008002400720216066, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1040)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1041)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1043)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1044)), {C=0.0008002400720216066, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1056)), {C=0.0007002100630189056, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1072)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1077)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1084)), {C=0.0007002100630189056, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1104)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1113)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1115)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1117)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1128)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1129)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1136)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1137)), {C=0.0007002100630189056, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1140)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1146)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1148)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1150)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1152)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1155)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1159)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1160)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1171)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1177)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1181)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1182)), {C=0.0007002100630189056, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1188)), {C=0.0007002100630189056, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1189)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1193)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1198)), {C=0.0008002400720216066, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1199)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1204)), {C=0.0007002100630189056, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1206)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1211)), {C=0.0007002100630189056, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1224)), {C=0.0007002100630189056, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1229)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1230)), {C=0.0009002700810243074, S=0.0008754012255617158}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1243)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1251)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1254)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1257)), {C=0.0007002100630189056, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1260)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1274)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1276)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1281)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1288)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1300)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1305)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1311)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1323)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1326)), {C=0.0008002400720216066, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1327)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1336)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1339)), {C=0.0008002400720216066, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1344)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1349)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1354)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1357)), {C=0.0007002100630189056, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1358)), {C=0.0007002100630189056, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1360)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1362)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1363)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1366)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1376)), {C=0.0007002100630189056, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1379)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1383)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1389)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1390)), {C=0.0008002400720216066, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1393)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1394)), {C=0.0007002100630189056, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1395)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1398)), {C=0.0007002100630189056, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1403)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1405)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1410)), {C=0.0009002700810243074, S=0.0008754012255617158}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1411)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1416)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1426)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1429)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1430)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1438)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1444)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1445)), {C=0.0007002100630189056, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1446)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1447)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1466)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1469)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1471)), {C=0.0007002100630189056, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1484)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1487)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1489)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1500)), {C=0.0007002100630189056, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1503)), {C=0.0007002100630189056, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1505)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1506)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1510)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1513)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1526)), {C=0.0009002700810243074, S=0.0008754012255617158}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1527)), {C=0.0008002400720216066, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1533)), {C=0.0005001500450135041, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1538)), {C=0.0006001800540162048, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1555)), {C=0.0007002100630189056, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(education(High School Degree))(marital_status(S)) --> (buy(1557)), {C=0.0005001500450135041, S=0.00048633401420095323}
