(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(4)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1275)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1277)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1283)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1291)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1328)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1331)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1332)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1336)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1337)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1339)), {C=0.0008169934640522876, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1345)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1348)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1351)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1364)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1369)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1388)), {C=0.0007148692810457516, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1399)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1401)), {C=0.0008169934640522876, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1402)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1406)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1408)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1422)), {C=0.0007148692810457516, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1425)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1434)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1449)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1453)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1455)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1456)), {C=0.0008169934640522876, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1457)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1460)), {C=0.0007148692810457516, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1476)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1477)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1485)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1490)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1493)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1515)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1518)), {C=0.0007148692810457516, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1522)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1537)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1542)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1543)), {C=0.0005106209150326798, S=0.00048633401420095323}
