(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(7)), {C=0.0007746790615316511, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(987)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1006)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1008)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1012)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1019)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1020)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1032)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1042)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1046)), {C=0.0007746790615316511, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1053)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1054)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1058)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1069)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1073)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1075)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1078)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1100)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1104)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1120)), {C=0.0008853474988933156, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1121)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1124)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1128)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1130)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1136)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1139)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1145)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1153)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1161)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1166)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1171)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1174)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1175)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1205)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1209)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1220)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1240)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1241)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1251)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1258)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1270)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1273)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1287)), {C=0.0007746790615316511, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1288)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1291)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1292)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1295)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1299)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1302)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1303)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1311)), {C=0.0007746790615316511, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1328)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1339)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1350)), {C=0.0007746790615316511, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1353)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1355)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1366)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1368)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1372)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1377)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1380)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1383)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1384)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1389)), {C=0.0007746790615316511, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1390)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1401)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1403)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1407)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1409)), {C=0.0008853474988933156, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1411)), {C=0.00099601593625498, S=0.0008754012255617158}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1413)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1414)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1424)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1433)), {C=0.0007746790615316511, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1434)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1436)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1438)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1441)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1442)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1446)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1447)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1448)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1453)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1454)), {C=0.0007746790615316511, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1456)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1461)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1473)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1474)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1476)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1479)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1482)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1485)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1491)), {C=0.00099601593625498, S=0.0008754012255617158}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1503)), {C=0.001217352810978309, S=0.001069934831242097}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1504)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1532)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1540)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1547)), {C=0.0006640106241699867, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1553)), {C=0.0005533421868083222, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N)) --> (buy(1557)), {C=0.0006640106241699867, S=0.0005836008170411438}
