(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(7)), {C=0.0008154112730608501, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(929)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(931)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(933)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(934)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(935)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(939)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(948)), {C=0.0007134848639282437, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(950)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(951)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(952)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(955)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(956)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(959)), {C=0.0007134848639282437, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(960)), {C=0.0007134848639282437, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(965)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(966)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(972)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(975)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(976)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(979)), {C=0.0007134848639282437, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(996)), {C=0.0007134848639282437, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1000)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1002)), {C=0.0007134848639282437, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1013)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1017)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1021)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1022)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1024)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1028)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1047)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1057)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1061)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1066)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1067)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1068)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1075)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1080)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1092)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1095)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1120)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1121)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1123)), {C=0.0008154112730608501, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1126)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1148)), {C=0.0007134848639282437, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1153)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1154)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1160)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1161)), {C=0.0007134848639282437, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1164)), {C=0.0007134848639282437, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1165)), {C=0.0007134848639282437, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1166)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1182)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1183)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1184)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1186)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1192)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1195)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1196)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1198)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1200)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1204)), {C=0.0007134848639282437, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1214)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1228)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1230)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1231)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1243)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1250)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1260)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1262)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1267)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1271)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1273)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1287)), {C=0.0007134848639282437, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1291)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1293)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1295)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1296)), {C=0.0007134848639282437, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1300)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1301)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1304)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1308)), {C=0.0007134848639282437, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1322)), {C=0.0007134848639282437, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1329)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1331)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1332)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1334)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1335)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1336)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1341)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1342)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1346)), {C=0.0007134848639282437, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1348)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1353)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1354)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1360)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1361)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1377)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1378)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1380)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1382)), {C=0.0007134848639282437, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1388)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1392)), {C=0.0009173376821934564, S=0.0008754012255617158}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1394)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1398)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1399)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1402)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1403)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1404)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1408)), {C=0.0007134848639282437, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1412)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1414)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1422)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1429)), {C=0.0008154112730608501, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1430)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1433)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1436)), {C=0.0008154112730608501, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1441)), {C=0.0008154112730608501, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1448)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1451)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1453)), {C=0.0008154112730608501, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1454)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1456)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1460)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1463)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1464)), {C=0.0007134848639282437, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1467)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1468)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1471)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1472)), {C=0.0007134848639282437, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1473)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1475)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1480)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1481)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1491)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1495)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1496)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1503)), {C=0.0010192640913260626, S=0.0009726680284019065}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1505)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1506)), {C=0.0007134848639282437, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1515)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1533)), {C=0.0006115584547956375, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1536)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1542)), {C=0.0005096320456630313, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze)) --> (buy(1557)), {C=0.0006115584547956375, S=0.0005836008170411438}
