(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(6)), {C=0.0007822977201609297, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(921)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(922)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(926)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(927)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(928)), {C=0.0007822977201609297, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(931)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(941)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(944)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(946)), {C=0.0007822977201609297, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(947)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(948)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(950)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(952)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(961)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(965)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(966)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(967)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(969)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(971)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(973)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(974)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(976)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(977)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(983)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(988)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(994)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(996)), {C=0.0010058113544926242, S=0.0008754012255617158}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1008)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1010)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1011)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1019)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1026)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1030)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1035)), {C=0.000894054537326777, S=0.0007781344227215252}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1036)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1057)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1058)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1065)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1068)), {C=0.0007822977201609297, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1081)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1085)), {C=0.0010058113544926242, S=0.0008754012255617158}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1113)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1114)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1123)), {C=0.0007822977201609297, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1136)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1145)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1146)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1147)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1149)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1154)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1156)), {C=0.0007822977201609297, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1158)), {C=0.0007822977201609297, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1162)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1164)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1176)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1181)), {C=0.0007822977201609297, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1184)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1186)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1187)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1196)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1198)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1200)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1205)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1206)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1213)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1214)), {C=0.0010058113544926242, S=0.0008754012255617158}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1220)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1222)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1227)), {C=0.0007822977201609297, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1231)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1234)), {C=0.000894054537326777, S=0.0007781344227215252}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1236)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1239)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1242)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1246)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1267)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1270)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1273)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1275)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1281)), {C=0.0010058113544926242, S=0.0008754012255617158}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1283)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1285)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1287)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1291)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1295)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1298)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1302)), {C=0.000894054537326777, S=0.0007781344227215252}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1308)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1310)), {C=0.0007822977201609297, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1313)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1324)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1329)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1332)), {C=0.0010058113544926242, S=0.0008754012255617158}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1337)), {C=0.0007822977201609297, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1346)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1358)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1359)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1366)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1368)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1376)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1377)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1381)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1383)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1386)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1388)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1390)), {C=0.0007822977201609297, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1396)), {C=0.0007822977201609297, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1400)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1405)), {C=0.000894054537326777, S=0.0007781344227215252}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1406)), {C=0.0007822977201609297, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1408)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1416)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1417)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1422)), {C=0.0007822977201609297, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1424)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1427)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1428)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1431)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1432)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1434)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1437)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1439)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1442)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1446)), {C=0.0007822977201609297, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1447)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1449)), {C=0.0007822977201609297, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1452)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1455)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1456)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1458)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1460)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1462)), {C=0.0007822977201609297, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1470)), {C=0.0007822977201609297, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1478)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1488)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1491)), {C=0.000894054537326777, S=0.0007781344227215252}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1493)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1494)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1506)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1507)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1508)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1510)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1519)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1520)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1521)), {C=0.0007822977201609297, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1522)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1531)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1537)), {C=0.0007822977201609297, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1543)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1546)), {C=0.0005587840858292356, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1547)), {C=0.0006705409029950826, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y)) --> (buy(1549)), {C=0.0006705409029950826, S=0.0005836008170411438}
