(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(2)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(433)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(434)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(438)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(439)), {C=0.0011764705882352942, S=0.0009726680284019065}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(440)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(441)), {C=0.0011764705882352942, S=0.0009726680284019065}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(443)), {C=0.0014117647058823528, S=0.0011672016340822876}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(444)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(445)), {C=0.0009411764705882354, S=0.0007781344227215252}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(447)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(448)), {C=0.0010588235294117648, S=0.0008754012255617158}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(449)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(455)), {C=0.0009411764705882354, S=0.0007781344227215252}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(456)), {C=0.0014117647058823528, S=0.0011672016340822876}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(457)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(458)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(459)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(460)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(461)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(463)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(464)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(465)), {C=0.0015294117647058824, S=0.0012644684369224784}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(466)), {C=0.0010588235294117648, S=0.0008754012255617158}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(467)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(471)), {C=0.0009411764705882354, S=0.0007781344227215252}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(472)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(473)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(475)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(476)), {C=0.0009411764705882354, S=0.0007781344227215252}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(477)), {C=0.0009411764705882354, S=0.0007781344227215252}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(479)), {C=0.0009411764705882354, S=0.0007781344227215252}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(480)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(482)), {C=0.0009411764705882354, S=0.0007781344227215252}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(483)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(484)), {C=0.0009411764705882354, S=0.0007781344227215252}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(488)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(489)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(490)), {C=0.0010588235294117648, S=0.0008754012255617158}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(493)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(495)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(496)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(497)), {C=0.0009411764705882354, S=0.0007781344227215252}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(498)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(499)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(500)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(501)), {C=0.0010588235294117648, S=0.0008754012255617158}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(502)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(503)), {C=0.0011764705882352942, S=0.0009726680284019065}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(504)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(505)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(509)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(511)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(512)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(517)), {C=0.0009411764705882354, S=0.0007781344227215252}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(521)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(522)), {C=0.0011764705882352942, S=0.0009726680284019065}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(523)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(524)), {C=0.0009411764705882354, S=0.0007781344227215252}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(526)), {C=0.0010588235294117648, S=0.0008754012255617158}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(527)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(528)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(529)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(530)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(532)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(533)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(534)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(535)), {C=0.0011764705882352942, S=0.0009726680284019065}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(536)), {C=0.0009411764705882354, S=0.0007781344227215252}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(538)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(539)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(543)), {C=0.0009411764705882354, S=0.0007781344227215252}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(545)), {C=0.0009411764705882354, S=0.0007781344227215252}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(549)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(550)), {C=0.0009411764705882354, S=0.0007781344227215252}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(553)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(554)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(555)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(557)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(561)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(562)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(563)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(566)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(567)), {C=0.0009411764705882354, S=0.0007781344227215252}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(569)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(571)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(572)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(574)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(576)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(581)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(585)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(588)), {C=0.0011764705882352942, S=0.0009726680284019065}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(589)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(590)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(593)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(595)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(596)), {C=0.0010588235294117648, S=0.0008754012255617158}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(597)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(601)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(602)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(603)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(605)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(607)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(608)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(609)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(613)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(615)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(616)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(618)), {C=0.0010588235294117648, S=0.0008754012255617158}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(621)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(623)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(624)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(625)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(628)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(629)), {C=0.0010588235294117648, S=0.0008754012255617158}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(630)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(631)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(632)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(634)), {C=0.0011764705882352942, S=0.0009726680284019065}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(636)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(637)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(639)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(641)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(642)), {C=0.0009411764705882354, S=0.0007781344227215252}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(643)), {C=0.0009411764705882354, S=0.0007781344227215252}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(644)), {C=0.0009411764705882354, S=0.0007781344227215252}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(646)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(654)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(657)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(658)), {C=0.0009411764705882354, S=0.0007781344227215252}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(659)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(663)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(664)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(666)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(667)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(668)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(669)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(674)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(683)), {C=0.0009411764705882354, S=0.0007781344227215252}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(689)), {C=0.0009411764705882354, S=0.0007781344227215252}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(691)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(692)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(697)), {C=0.0009411764705882354, S=0.0007781344227215252}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(703)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(705)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(707)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(710)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(711)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(712)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(716)), {C=0.0010588235294117648, S=0.0008754012255617158}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(717)), {C=0.0010588235294117648, S=0.0008754012255617158}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(720)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(721)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(723)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(724)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(730)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(733)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(735)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(740)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(744)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(747)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(751)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(752)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(759)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(760)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(768)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(771)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(772)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(773)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(777)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(778)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(780)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(782)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(783)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(785)), {C=0.0009411764705882354, S=0.0007781344227215252}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(788)), {C=0.0010588235294117648, S=0.0008754012255617158}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(793)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(794)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(796)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(797)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(800)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(807)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(810)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(811)), {C=0.0009411764705882354, S=0.0007781344227215252}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(812)), {C=0.0009411764705882354, S=0.0007781344227215252}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(813)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(814)), {C=0.0009411764705882354, S=0.0007781344227215252}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(820)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(821)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(822)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(825)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(826)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(827)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(828)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(829)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(830)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(831)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(834)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(837)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(839)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(840)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(841)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(844)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(848)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(849)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(850)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(853)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(854)), {C=0.0010588235294117648, S=0.0008754012255617158}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(855)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(856)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(860)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(861)), {C=0.0005882352941176471, S=0.00048633401420095323}
