(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(11)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(964)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(975)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(979)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(987)), {C=0.0009166953133952103, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(991)), {C=0.0008021083992208089, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(997)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(999)), {C=0.0008021083992208089, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1004)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1012)), {C=0.0008021083992208089, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1015)), {C=0.0008021083992208089, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1016)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1018)), {C=0.0008021083992208089, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1023)), {C=0.0010312822275696115, S=0.0008754012255617158}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1031)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1038)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1046)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1053)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1055)), {C=0.0008021083992208089, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1058)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1060)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1061)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1066)), {C=0.0008021083992208089, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1069)), {C=0.0008021083992208089, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1073)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1075)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1077)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1078)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1086)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1087)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1090)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1092)), {C=0.0008021083992208089, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1099)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1100)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1102)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1106)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1123)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1127)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1132)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1134)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1149)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1150)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1153)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1161)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1162)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1163)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1165)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1166)), {C=0.0008021083992208089, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1168)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1169)), {C=0.0010312822275696115, S=0.0008754012255617158}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1173)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1196)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1198)), {C=0.0008021083992208089, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1215)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1218)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1219)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1227)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1238)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1247)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1248)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1249)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1251)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1254)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1261)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1262)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1265)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1270)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1274)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1276)), {C=0.0009166953133952103, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1278)), {C=0.0008021083992208089, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1280)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1281)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1283)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1291)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1298)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1300)), {C=0.0008021083992208089, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1324)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1329)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1338)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1343)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1353)), {C=0.0008021083992208089, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1356)), {C=0.0008021083992208089, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1367)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1369)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1377)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1387)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1389)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1394)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1395)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1398)), {C=0.0008021083992208089, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1405)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1411)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1413)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1419)), {C=0.0008021083992208089, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1420)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1421)), {C=0.0009166953133952103, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1423)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1428)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1437)), {C=0.0008021083992208089, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1447)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1452)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1459)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1460)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1462)), {C=0.0009166953133952103, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1465)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1469)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1473)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1474)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1483)), {C=0.0008021083992208089, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1491)), {C=0.0009166953133952103, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1495)), {C=0.0008021083992208089, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1498)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1499)), {C=0.0008021083992208089, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1506)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1507)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1511)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1514)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1518)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1549)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1558)), {C=0.0005729345708720064, S=0.00048633401420095323}
