(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(4)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1246)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1262)), {C=0.0009078529278256923, S=0.0007781344227215252}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1263)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1275)), {C=0.0007943713118474807, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1277)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1278)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1284)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1289)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1293)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1295)), {C=0.0007943713118474807, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1296)), {C=0.0007943713118474807, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1309)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1312)), {C=0.0006808896958692692, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1315)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1316)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1317)), {C=0.0007943713118474807, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1339)), {C=0.0007943713118474807, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1343)), {C=0.0006808896958692692, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1346)), {C=0.0007943713118474807, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1350)), {C=0.0006808896958692692, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1366)), {C=0.0007943713118474807, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1388)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1394)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1407)), {C=0.0009078529278256923, S=0.0007781344227215252}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1417)), {C=0.0009078529278256923, S=0.0007781344227215252}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1420)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1423)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1424)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1428)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1432)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1442)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1444)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1453)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1454)), {C=0.0006808896958692692, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1463)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1467)), {C=0.0006808896958692692, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1468)), {C=0.0010213345438039039, S=0.0008754012255617158}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1469)), {C=0.0007943713118474807, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1472)), {C=0.0006808896958692692, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1476)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1477)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1481)), {C=0.0007943713118474807, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1494)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1495)), {C=0.0006808896958692692, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1500)), {C=0.0006808896958692692, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1501)), {C=0.0006808896958692692, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1502)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1503)), {C=0.0007943713118474807, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1506)), {C=0.0006808896958692692, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1521)), {C=0.0006808896958692692, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1525)), {C=0.0010213345438039039, S=0.0008754012255617158}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1527)), {C=0.0006808896958692692, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1533)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1535)), {C=0.0006808896958692692, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1537)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1548)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1552)), {C=0.0005674080798910577, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(1554)), {C=0.0007943713118474807, S=0.0006808676198813345}
