(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(4)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1079)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1085)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1129)), {C=0.0008208255159474671, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1142)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1145)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1146)), {C=0.0010553470919324578, S=0.0008754012255617158}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1154)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1158)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1162)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1163)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1169)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1182)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1193)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1199)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1200)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1205)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1206)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1212)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1213)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1223)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1227)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1228)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1232)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1236)), {C=0.0008208255159474671, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1239)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1256)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1257)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1275)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1277)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1283)), {C=0.0008208255159474671, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1291)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1328)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1331)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1332)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1336)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1337)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1339)), {C=0.0010553470919324578, S=0.0008754012255617158}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1344)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1345)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1348)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1351)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1364)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1369)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1372)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1376)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1388)), {C=0.0008208255159474671, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1392)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1393)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1399)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1401)), {C=0.0009380863039399626, S=0.0007781344227215252}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1405)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1406)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1408)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1411)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1412)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1422)), {C=0.0009380863039399626, S=0.0007781344227215252}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1425)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1428)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1434)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1449)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1453)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1455)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1456)), {C=0.0010553470919324578, S=0.0008754012255617158}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1457)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1460)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1472)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1476)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1477)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1479)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1485)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1490)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1493)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1497)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1515)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1518)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1522)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1537)), {C=0.0007035647279549719, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1543)), {C=0.0005863039399624766, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(S)) --> (buy(1549)), {C=0.0005863039399624766, S=0.00048633401420095323}
