(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(4)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(509)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(510)), {C=0.000840071406069516, S=0.0007781344227215252}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(511)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(514)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(515)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(517)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(519)), {C=0.0009450803318282055, S=0.0008754012255617158}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(521)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(522)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(526)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(527)), {C=0.000840071406069516, S=0.0007781344227215252}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(531)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(533)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(537)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(540)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(541)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(543)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(546)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(547)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(549)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(550)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(551)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(553)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(557)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(558)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(560)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(561)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(563)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(565)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(566)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(567)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(569)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(571)), {C=0.0009450803318282055, S=0.0008754012255617158}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(575)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(577)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(579)), {C=0.000840071406069516, S=0.0007781344227215252}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(580)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(581)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(584)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(585)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(589)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(590)), {C=0.0009450803318282055, S=0.0008754012255617158}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(592)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(597)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(600)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(604)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(605)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(606)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(607)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(608)), {C=0.000840071406069516, S=0.0007781344227215252}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(609)), {C=0.000840071406069516, S=0.0007781344227215252}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(610)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(611)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(612)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(613)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(614)), {C=0.000840071406069516, S=0.0007781344227215252}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(615)), {C=0.000840071406069516, S=0.0007781344227215252}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(617)), {C=0.000840071406069516, S=0.0007781344227215252}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(620)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(621)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(622)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(625)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(627)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(628)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(630)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(632)), {C=0.000840071406069516, S=0.0007781344227215252}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(635)), {C=0.000840071406069516, S=0.0007781344227215252}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(639)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(640)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(641)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(642)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(643)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(644)), {C=0.000840071406069516, S=0.0007781344227215252}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(645)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(648)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(652)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(656)), {C=0.000840071406069516, S=0.0007781344227215252}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(657)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(661)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(662)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(665)), {C=0.000840071406069516, S=0.0007781344227215252}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(668)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(670)), {C=0.0009450803318282055, S=0.0008754012255617158}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(676)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(680)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(681)), {C=0.0011550981833455844, S=0.001069934831242097}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(684)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(686)), {C=0.000840071406069516, S=0.0007781344227215252}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(689)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(690)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(691)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(692)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(694)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(695)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(698)), {C=0.000840071406069516, S=0.0007781344227215252}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(702)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(706)), {C=0.000840071406069516, S=0.0007781344227215252}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(708)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(718)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(720)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(724)), {C=0.0009450803318282055, S=0.0008754012255617158}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(730)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(731)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(732)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(735)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(737)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(738)), {C=0.000840071406069516, S=0.0007781344227215252}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(741)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(743)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(749)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(750)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(758)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(760)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(763)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(764)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(766)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(767)), {C=0.000840071406069516, S=0.0007781344227215252}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(769)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(775)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(777)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(778)), {C=0.0009450803318282055, S=0.0008754012255617158}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(786)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(792)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(800)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(802)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(803)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(804)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(805)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(809)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(813)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(815)), {C=0.0010500892575868949, S=0.0009726680284019065}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(836)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(837)), {C=0.000840071406069516, S=0.0007781344227215252}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(838)), {C=0.0010500892575868949, S=0.0009726680284019065}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(839)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(840)), {C=0.000840071406069516, S=0.0007781344227215252}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(843)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(847)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(849)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(850)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(851)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(854)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(855)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(856)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(858)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(862)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(868)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(869)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(871)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(872)), {C=0.0010500892575868949, S=0.0009726680284019065}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(873)), {C=0.0011550981833455844, S=0.001069934831242097}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(875)), {C=0.000840071406069516, S=0.0007781344227215252}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(877)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(879)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(881)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(882)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(884)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(885)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(886)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(887)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(888)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(890)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(892)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(896)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(897)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(900)), {C=0.0010500892575868949, S=0.0009726680284019065}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(901)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(903)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(904)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(905)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(906)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(909)), {C=0.0010500892575868949, S=0.0009726680284019065}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(910)), {C=0.000840071406069516, S=0.0007781344227215252}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(911)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(914)), {C=0.0010500892575868949, S=0.0009726680284019065}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(915)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(917)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(918)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(919)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(920)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(921)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(923)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(925)), {C=0.000840071406069516, S=0.0007781344227215252}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(926)), {C=0.000840071406069516, S=0.0007781344227215252}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(928)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(929)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(934)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(937)), {C=0.000840071406069516, S=0.0007781344227215252}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(938)), {C=0.000840071406069516, S=0.0007781344227215252}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(939)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(940)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(941)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(942)), {C=0.0009450803318282055, S=0.0008754012255617158}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(945)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(946)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(947)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(948)), {C=0.0009450803318282055, S=0.0008754012255617158}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(951)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(952)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(953)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(954)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(958)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(959)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(960)), {C=0.0009450803318282055, S=0.0008754012255617158}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(962)), {C=0.0005250446287934474, S=0.00048633401420095323}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(963)), {C=0.000630053554552137, S=0.0005836008170411438}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(964)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(965)), {C=0.0007350624803108264, S=0.0006808676198813345}
(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(966)), {C=0.000630053554552137, S=0.0005836008170411438}
