(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(3)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1124)), {C=0.0007319878699152986, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1126)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1138)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1139)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1145)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1147)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1153)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1161)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1164)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1166)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1171)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1172)), {C=0.0009411272613196696, S=0.0008754012255617158}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1176)), {C=0.0007319878699152986, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1182)), {C=0.0009411272613196696, S=0.0008754012255617158}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1183)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1185)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1192)), {C=0.0007319878699152986, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1195)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1228)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1230)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1232)), {C=0.0007319878699152986, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1265)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1272)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1284)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1301)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1304)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1311)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1320)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1322)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1328)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1351)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1352)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1354)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1359)), {C=0.0007319878699152986, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1362)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1363)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1368)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1372)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1377)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1378)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1379)), {C=0.0007319878699152986, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1383)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1386)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1393)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1402)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1408)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1417)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1418)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1420)), {C=0.0007319878699152986, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1421)), {C=0.0007319878699152986, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1435)), {C=0.0008365575656174842, S=0.0007781344227215252}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1436)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1441)), {C=0.0007319878699152986, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1446)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1450)), {C=0.0007319878699152986, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1453)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1458)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1471)), {C=0.0007319878699152986, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1472)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1475)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1479)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1480)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1484)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1487)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1493)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1496)), {C=0.0009411272613196696, S=0.0008754012255617158}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1503)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1508)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1509)), {C=0.0007319878699152986, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1511)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1513)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1517)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1520)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1523)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1526)), {C=0.0005228484785109276, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1527)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1534)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1536)), {C=0.000627418174213113, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1555)), {C=0.000627418174213113, S=0.0005836008170411438}
