(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(6)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(488)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(489)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(490)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(492)), {C=0.0010095344924284913, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(493)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(495)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(498)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(499)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(500)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(501)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(503)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(505)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(506)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(507)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(514)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(515)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(516)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(517)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(518)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(522)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(524)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(525)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(526)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(530)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(532)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(535)), {C=0.0011217049915872126, S=0.0009726680284019065}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(538)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(544)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(546)), {C=0.0010095344924284913, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(549)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(550)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(551)), {C=0.0011217049915872126, S=0.0009726680284019065}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(552)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(553)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(555)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(556)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(558)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(559)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(566)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(568)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(572)), {C=0.001682557487380819, S=0.0014590020426028597}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(573)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(576)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(577)), {C=0.0010095344924284913, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(582)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(583)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(586)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(587)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(588)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(590)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(591)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(593)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(596)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(598)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(599)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(603)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(608)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(609)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(610)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(617)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(622)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(625)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(626)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(627)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(628)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(630)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(633)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(634)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(636)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(637)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(638)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(639)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(640)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(641)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(644)), {C=0.0010095344924284913, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(645)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(649)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(650)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(651)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(656)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(657)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(659)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(662)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(663)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(666)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(671)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(675)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(676)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(678)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(681)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(685)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(686)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(689)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(691)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(692)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(695)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(703)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(706)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(708)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(710)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(725)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(728)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(729)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(734)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(740)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(742)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(745)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(746)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(748)), {C=0.0011217049915872126, S=0.0009726680284019065}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(749)), {C=0.0010095344924284913, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(751)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(753)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(755)), {C=0.0010095344924284913, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(757)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(759)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(760)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(761)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(764)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(768)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(769)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(772)), {C=0.0012338754907459339, S=0.001069934831242097}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(773)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(775)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(776)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(777)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(778)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(779)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(780)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(782)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(784)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(786)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(787)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(788)), {C=0.0012338754907459339, S=0.001069934831242097}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(789)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(791)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(793)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(794)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(797)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(798)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(799)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(801)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(807)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(808)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(812)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(813)), {C=0.001346045989904655, S=0.0011672016340822876}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(814)), {C=0.0011217049915872126, S=0.0009726680284019065}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(816)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(818)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(819)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(820)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(821)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(822)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(824)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(827)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(829)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(830)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(831)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(834)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(836)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(839)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(840)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(841)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(842)), {C=0.0010095344924284913, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(843)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(844)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(845)), {C=0.0010095344924284913, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(849)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(850)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(852)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(855)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(857)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(860)), {C=0.0010095344924284913, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(861)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(862)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(863)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(866)), {C=0.0010095344924284913, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(867)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(868)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(869)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(872)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(875)), {C=0.0011217049915872126, S=0.0009726680284019065}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(876)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(878)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(881)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(883)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(884)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(885)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(888)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(891)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(892)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(893)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(894)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(895)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(896)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(897)), {C=0.0011217049915872126, S=0.0009726680284019065}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(898)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(899)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(900)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(902)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(903)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(904)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(905)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(907)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(909)), {C=0.0012338754907459339, S=0.001069934831242097}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(910)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(911)), {C=0.0010095344924284913, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(914)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(916)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(918)), {C=0.0008973639932697701, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(919)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(922)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(923)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(925)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(926)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(927)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(930)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(931)), {C=0.0007851934941110487, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(933)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(935)), {C=0.0012338754907459339, S=0.001069934831242097}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(936)), {C=0.0011217049915872126, S=0.0009726680284019065}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(937)), {C=0.0010095344924284913, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(938)), {C=0.0006730229949523275, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(939)), {C=0.0005608524957936063, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(house_owner(N)) --> (buy(941)), {C=0.0006730229949523275, S=0.0005836008170411438}
