(gender(Female))(country(USA)) --> (buy(1)), {C=0.0015851449275362318, S=0.001361735239762669}
(gender(Female))(country(USA)) --> (buy(290)), {C=0.002830615942028986, S=0.0024316700710047662}
(gender(Female))(country(USA)) --> (buy(291)), {C=0.0024909420289855075, S=0.002139869662484194}
(gender(Female))(country(USA)) --> (buy(292)), {C=0.0032835144927536235, S=0.0028207372823655288}
(gender(Female))(country(USA)) --> (buy(293)), {C=0.002377717391304348, S=0.0020426028596440037}
(gender(Female))(country(USA)) --> (buy(294)), {C=0.0026041666666666665, S=0.0022371364653243847}
(gender(Female))(country(USA)) --> (buy(295)), {C=0.002717391304347826, S=0.0023344032681645753}
(gender(Female))(country(USA)) --> (buy(296)), {C=0.0022644927536231885, S=0.001945336056803813}
(gender(Female))(country(USA)) --> (buy(297)), {C=0.00396286231884058, S=0.0034043380994066724}
(gender(Female))(country(USA)) --> (buy(298)), {C=0.002717391304347826, S=0.0023344032681645753}
(gender(Female))(country(USA)) --> (buy(299)), {C=0.0030570652173913045, S=0.0026262036766851473}
(gender(Female))(country(USA)) --> (buy(300)), {C=0.002377717391304348, S=0.0020426028596440037}
(gender(Female))(country(USA)) --> (buy(301)), {C=0.0030570652173913045, S=0.0026262036766851473}
(gender(Female))(country(USA)) --> (buy(302)), {C=0.0030570652173913045, S=0.0026262036766851473}
(gender(Female))(country(USA)) --> (buy(303)), {C=0.0024909420289855075, S=0.002139869662484194}
(gender(Female))(country(USA)) --> (buy(304)), {C=0.004528985507246377, S=0.003890672113607626}
(gender(Female))(country(USA)) --> (buy(305)), {C=0.003509963768115942, S=0.00301527088804591}
(gender(Female))(country(USA)) --> (buy(306)), {C=0.001811594202898551, S=0.0015562688454430504}
(gender(Female))(country(USA)) --> (buy(307)), {C=0.0032835144927536235, S=0.0028207372823655288}
(gender(Female))(country(USA)) --> (buy(308)), {C=0.002151268115942029, S=0.0018480692539636222}
(gender(Female))(country(USA)) --> (buy(309)), {C=0.0033967391304347825, S=0.0029180040852057193}
(gender(Female))(country(USA)) --> (buy(310)), {C=0.002151268115942029, S=0.0018480692539636222}
(gender(Female))(country(USA)) --> (buy(311)), {C=0.002830615942028986, S=0.0024316700710047662}
(gender(Female))(country(USA)) --> (buy(312)), {C=0.003509963768115942, S=0.00301527088804591}
(gender(Female))(country(USA)) --> (buy(313)), {C=0.0031702898550724635, S=0.002723470479525338}
(gender(Female))(country(USA)) --> (buy(314)), {C=0.002151268115942029, S=0.0018480692539636222}
(gender(Female))(country(USA)) --> (buy(315)), {C=0.003736413043478261, S=0.0032098044937262913}
(gender(Female))(country(USA)) --> (buy(316)), {C=0.0033967391304347825, S=0.0029180040852057193}
(gender(Female))(country(USA)) --> (buy(317)), {C=0.00396286231884058, S=0.0034043380994066724}
(gender(Female))(country(USA)) --> (buy(318)), {C=0.0031702898550724635, S=0.002723470479525338}
(gender(Female))(country(USA)) --> (buy(319)), {C=0.0024909420289855075, S=0.002139869662484194}
(gender(Female))(country(USA)) --> (buy(320)), {C=0.002943840579710145, S=0.0025289368738449568}
(gender(Female))(country(USA)) --> (buy(321)), {C=0.003509963768115942, S=0.00301527088804591}
(gender(Female))(country(USA)) --> (buy(322)), {C=0.0024909420289855075, S=0.002139869662484194}
(gender(Female))(country(USA)) --> (buy(323)), {C=0.003623188405797102, S=0.003112537690886101}
(gender(Female))(country(USA)) --> (buy(324)), {C=0.0022644927536231885, S=0.001945336056803813}
(gender(Female))(country(USA)) --> (buy(325)), {C=0.002830615942028986, S=0.0024316700710047662}
(gender(Female))(country(USA)) --> (buy(326)), {C=0.0038496376811594205, S=0.003307071296566482}
(gender(Female))(country(USA)) --> (buy(327)), {C=0.002717391304347826, S=0.0023344032681645753}
(gender(Female))(country(USA)) --> (buy(328)), {C=0.0033967391304347825, S=0.0029180040852057193}
(gender(Female))(country(USA)) --> (buy(329)), {C=0.002151268115942029, S=0.0018480692539636222}
(gender(Female))(country(USA)) --> (buy(330)), {C=0.002943840579710145, S=0.0025289368738449568}
(gender(Female))(country(USA)) --> (buy(331)), {C=0.0033967391304347825, S=0.0029180040852057193}
(gender(Female))(country(USA)) --> (buy(332)), {C=0.002943840579710145, S=0.0025289368738449568}
(gender(Female))(country(USA)) --> (buy(333)), {C=0.002377717391304348, S=0.0020426028596440037}
(gender(Female))(country(USA)) --> (buy(334)), {C=0.0031702898550724635, S=0.002723470479525338}
(gender(Female))(country(USA)) --> (buy(335)), {C=0.0030570652173913045, S=0.0026262036766851473}
(gender(Female))(country(USA)) --> (buy(336)), {C=0.003736413043478261, S=0.0032098044937262913}
(gender(Female))(country(USA)) --> (buy(337)), {C=0.004076086956521739, S=0.0035016049022468633}
(gender(Female))(country(USA)) --> (buy(338)), {C=0.0030570652173913045, S=0.0026262036766851473}
(gender(Female))(country(USA)) --> (buy(339)), {C=0.0030570652173913045, S=0.0026262036766851473}
(gender(Female))(country(USA)) --> (buy(340)), {C=0.003509963768115942, S=0.00301527088804591}
(gender(Female))(country(USA)) --> (buy(341)), {C=0.0031702898550724635, S=0.002723470479525338}
(gender(Female))(country(USA)) --> (buy(342)), {C=0.0026041666666666665, S=0.0022371364653243847}
(gender(Female))(country(USA)) --> (buy(343)), {C=0.0024909420289855075, S=0.002139869662484194}
(gender(Female))(country(USA)) --> (buy(344)), {C=0.0038496376811594205, S=0.003307071296566482}
(gender(Female))(country(USA)) --> (buy(345)), {C=0.003736413043478261, S=0.0032098044937262913}
(gender(Female))(country(USA)) --> (buy(346)), {C=0.001811594202898551, S=0.0015562688454430504}
(gender(Female))(country(USA)) --> (buy(347)), {C=0.0026041666666666665, S=0.0022371364653243847}
(gender(Female))(country(USA)) --> (buy(348)), {C=0.0024909420289855075, S=0.002139869662484194}
(gender(Female))(country(USA)) --> (buy(349)), {C=0.004076086956521739, S=0.0035016049022468633}
(gender(Female))(country(USA)) --> (buy(350)), {C=0.004302536231884058, S=0.0036961385079272444}
(gender(Female))(country(USA)) --> (buy(351)), {C=0.0020380434782608695, S=0.0017508024511234317}
(gender(Female))(country(USA)) --> (buy(352)), {C=0.0024909420289855075, S=0.002139869662484194}
(gender(Female))(country(USA)) --> (buy(353)), {C=0.0031702898550724635, S=0.002723470479525338}
(gender(Female))(country(USA)) --> (buy(354)), {C=0.0030570652173913045, S=0.0026262036766851473}
(gender(Female))(country(USA)) --> (buy(355)), {C=0.0020380434782608695, S=0.0017508024511234317}
(gender(Female))(country(USA)) --> (buy(356)), {C=0.002830615942028986, S=0.0024316700710047662}
(gender(Female))(country(USA)) --> (buy(357)), {C=0.002943840579710145, S=0.0025289368738449568}
(gender(Female))(country(USA)) --> (buy(358)), {C=0.004302536231884058, S=0.0036961385079272444}
(gender(Female))(country(USA)) --> (buy(359)), {C=0.0031702898550724635, S=0.002723470479525338}
(gender(Female))(country(USA)) --> (buy(360)), {C=0.003623188405797102, S=0.003112537690886101}
(gender(Female))(country(USA)) --> (buy(361)), {C=0.002151268115942029, S=0.0018480692539636222}
(gender(Female))(country(USA)) --> (buy(362)), {C=0.0038496376811594205, S=0.003307071296566482}
(gender(Female))(country(USA)) --> (buy(363)), {C=0.002717391304347826, S=0.0023344032681645753}
(gender(Female))(country(USA)) --> (buy(364)), {C=0.004189311594202899, S=0.003598871705087054}
(gender(Female))(country(USA)) --> (buy(365)), {C=0.002830615942028986, S=0.0024316700710047662}
(gender(Female))(country(USA)) --> (buy(366)), {C=0.0031702898550724635, S=0.002723470479525338}
(gender(Female))(country(USA)) --> (buy(367)), {C=0.0022644927536231885, S=0.001945336056803813}
(gender(Female))(country(USA)) --> (buy(368)), {C=0.0032835144927536235, S=0.0028207372823655288}
(gender(Female))(country(USA)) --> (buy(369)), {C=0.002830615942028986, S=0.0024316700710047662}
(gender(Female))(country(USA)) --> (buy(370)), {C=0.002717391304347826, S=0.0023344032681645753}
(gender(Female))(country(USA)) --> (buy(371)), {C=0.003623188405797102, S=0.003112537690886101}
(gender(Female))(country(USA)) --> (buy(372)), {C=0.0032835144927536235, S=0.0028207372823655288}
(gender(Female))(country(USA)) --> (buy(373)), {C=0.003509963768115942, S=0.00301527088804591}
(gender(Female))(country(USA)) --> (buy(374)), {C=0.003509963768115942, S=0.00301527088804591}
(gender(Female))(country(USA)) --> (buy(375)), {C=0.0031702898550724635, S=0.002723470479525338}
(gender(Female))(country(USA)) --> (buy(376)), {C=0.003623188405797102, S=0.003112537690886101}
(gender(Female))(country(USA)) --> (buy(377)), {C=0.002943840579710145, S=0.0025289368738449568}
(gender(Female))(country(USA)) --> (buy(378)), {C=0.0038496376811594205, S=0.003307071296566482}
(gender(Female))(country(USA)) --> (buy(379)), {C=0.003736413043478261, S=0.0032098044937262913}
(gender(Female))(country(USA)) --> (buy(380)), {C=0.0031702898550724635, S=0.002723470479525338}
(gender(Female))(country(USA)) --> (buy(381)), {C=0.002943840579710145, S=0.0025289368738449568}
(gender(Female))(country(USA)) --> (buy(382)), {C=0.004528985507246377, S=0.003890672113607626}
(gender(Female))(country(USA)) --> (buy(383)), {C=0.003623188405797102, S=0.003112537690886101}
(gender(Female))(country(USA)) --> (buy(384)), {C=0.003509963768115942, S=0.00301527088804591}
(gender(Female))(country(USA)) --> (buy(385)), {C=0.003736413043478261, S=0.0032098044937262913}
(gender(Female))(country(USA)) --> (buy(386)), {C=0.002717391304347826, S=0.0023344032681645753}
(gender(Female))(country(USA)) --> (buy(387)), {C=0.003509963768115942, S=0.00301527088804591}
(gender(Female))(country(USA)) --> (buy(388)), {C=0.0032835144927536235, S=0.0028207372823655288}
(gender(Female))(country(USA)) --> (buy(389)), {C=0.0032835144927536235, S=0.0028207372823655288}
(gender(Female))(country(USA)) --> (buy(390)), {C=0.00396286231884058, S=0.0034043380994066724}
(gender(Female))(country(USA)) --> (buy(391)), {C=0.002943840579710145, S=0.0025289368738449568}
(gender(Female))(country(USA)) --> (buy(392)), {C=0.002943840579710145, S=0.0025289368738449568}
(gender(Female))(country(USA)) --> (buy(393)), {C=0.0033967391304347825, S=0.0029180040852057193}
(gender(Female))(country(USA)) --> (buy(394)), {C=0.0031702898550724635, S=0.002723470479525338}
(gender(Female))(country(USA)) --> (buy(395)), {C=0.002943840579710145, S=0.0025289368738449568}
(gender(Female))(country(USA)) --> (buy(396)), {C=0.002943840579710145, S=0.0025289368738449568}
(gender(Female))(country(USA)) --> (buy(397)), {C=0.003736413043478261, S=0.0032098044937262913}
(gender(Female))(country(USA)) --> (buy(398)), {C=0.0032835144927536235, S=0.0028207372823655288}
(gender(Female))(country(USA)) --> (buy(399)), {C=0.0030570652173913045, S=0.0026262036766851473}
(gender(Female))(country(USA)) --> (buy(400)), {C=0.003509963768115942, S=0.00301527088804591}
(gender(Female))(country(USA)) --> (buy(401)), {C=0.0022644927536231885, S=0.001945336056803813}
(gender(Female))(country(USA)) --> (buy(402)), {C=0.0033967391304347825, S=0.0029180040852057193}
(gender(Female))(country(USA)) --> (buy(403)), {C=0.004076086956521739, S=0.0035016049022468633}
(gender(Female))(country(USA)) --> (buy(404)), {C=0.003736413043478261, S=0.0032098044937262913}
(gender(Female))(country(USA)) --> (buy(405)), {C=0.0026041666666666665, S=0.0022371364653243847}
(gender(Female))(country(USA)) --> (buy(406)), {C=0.004189311594202899, S=0.003598871705087054}
(gender(Female))(country(USA)) --> (buy(407)), {C=0.004528985507246377, S=0.003890672113607626}
(gender(Female))(country(USA)) --> (buy(408)), {C=0.003736413043478261, S=0.0032098044937262913}
(gender(Female))(country(USA)) --> (buy(409)), {C=0.003623188405797102, S=0.003112537690886101}
(gender(Female))(country(USA)) --> (buy(410)), {C=0.0032835144927536235, S=0.0028207372823655288}
(gender(Female))(country(USA)) --> (buy(411)), {C=0.004076086956521739, S=0.0035016049022468633}
(gender(Female))(country(USA)) --> (buy(412)), {C=0.0038496376811594205, S=0.003307071296566482}
(gender(Female))(country(USA)) --> (buy(413)), {C=0.003623188405797102, S=0.003112537690886101}
(gender(Female))(country(USA)) --> (buy(414)), {C=0.005095108695652174, S=0.004377006127808579}
(gender(Female))(country(USA)) --> (buy(415)), {C=0.004642210144927536, S=0.003987938916447816}
(gender(Female))(country(USA)) --> (buy(416)), {C=0.0038496376811594205, S=0.003307071296566482}
(gender(Female))(country(USA)) --> (buy(417)), {C=0.004755434782608696, S=0.004085205719288007}
(gender(Female))(country(USA)) --> (buy(418)), {C=0.0030570652173913045, S=0.0026262036766851473}
(gender(Female))(country(USA)) --> (buy(419)), {C=0.003509963768115942, S=0.00301527088804591}
(gender(Female))(country(USA)) --> (buy(420)), {C=0.004076086956521739, S=0.0035016049022468633}
(gender(Female))(country(USA)) --> (buy(421)), {C=0.003623188405797102, S=0.003112537690886101}
(gender(Female))(country(USA)) --> (buy(422)), {C=0.004302536231884058, S=0.0036961385079272444}
(gender(Female))(country(USA)) --> (buy(423)), {C=0.0031702898550724635, S=0.002723470479525338}
(gender(Female))(country(USA)) --> (buy(424)), {C=0.002830615942028986, S=0.0024316700710047662}
(gender(Female))(country(USA)) --> (buy(425)), {C=0.002717391304347826, S=0.0023344032681645753}
(gender(Female))(country(USA)) --> (buy(426)), {C=0.00396286231884058, S=0.0034043380994066724}
(gender(Female))(country(USA)) --> (buy(427)), {C=0.003736413043478261, S=0.0032098044937262913}
(gender(Female))(country(USA)) --> (buy(428)), {C=0.0038496376811594205, S=0.003307071296566482}
(gender(Female))(country(USA)) --> (buy(429)), {C=0.0030570652173913045, S=0.0026262036766851473}
(gender(Female))(country(USA)) --> (buy(430)), {C=0.0030570652173913045, S=0.0026262036766851473}
(gender(Female))(country(USA)) --> (buy(431)), {C=0.0024909420289855075, S=0.002139869662484194}
(gender(Female))(country(USA)) --> (buy(432)), {C=0.003509963768115942, S=0.00301527088804591}
(gender(Female))(country(USA)) --> (buy(433)), {C=0.0026041666666666665, S=0.0022371364653243847}
(gender(Female))(country(USA)) --> (buy(434)), {C=0.004076086956521739, S=0.0035016049022468633}
(gender(Female))(country(USA)) --> (buy(435)), {C=0.0032835144927536235, S=0.0028207372823655288}
(gender(Female))(country(USA)) --> (buy(436)), {C=0.00396286231884058, S=0.0034043380994066724}
(gender(Female))(country(USA)) --> (buy(437)), {C=0.004076086956521739, S=0.0035016049022468633}
(gender(Female))(country(USA)) --> (buy(438)), {C=0.0033967391304347825, S=0.0029180040852057193}
(gender(Female))(country(USA)) --> (buy(439)), {C=0.002830615942028986, S=0.0024316700710047662}
(gender(Female))(country(USA)) --> (buy(440)), {C=0.0031702898550724635, S=0.002723470479525338}
(gender(Female))(country(USA)) --> (buy(441)), {C=0.0038496376811594205, S=0.003307071296566482}
(gender(Female))(country(USA)) --> (buy(442)), {C=0.0033967391304347825, S=0.0029180040852057193}
(gender(Female))(country(USA)) --> (buy(443)), {C=0.00396286231884058, S=0.0034043380994066724}
(gender(Female))(country(USA)) --> (buy(444)), {C=0.0032835144927536235, S=0.0028207372823655288}
(gender(Female))(country(USA)) --> (buy(445)), {C=0.0030570652173913045, S=0.0026262036766851473}
(gender(Female))(country(USA)) --> (buy(446)), {C=0.003736413043478261, S=0.0032098044937262913}
(gender(Female))(country(USA)) --> (buy(447)), {C=0.004981884057971015, S=0.004279739324968388}
(gender(Female))(country(USA)) --> (buy(448)), {C=0.0033967391304347825, S=0.0029180040852057193}
(gender(Female))(country(USA)) --> (buy(449)), {C=0.0022644927536231885, S=0.001945336056803813}
(gender(Female))(country(USA)) --> (buy(450)), {C=0.0026041666666666665, S=0.0022371364653243847}
(gender(Female))(country(USA)) --> (buy(451)), {C=0.0033967391304347825, S=0.0029180040852057193}
(gender(Female))(country(USA)) --> (buy(452)), {C=0.0031702898550724635, S=0.002723470479525338}
(gender(Female))(country(USA)) --> (buy(453)), {C=0.0033967391304347825, S=0.0029180040852057193}
(gender(Female))(country(USA)) --> (buy(454)), {C=0.003736413043478261, S=0.0032098044937262913}
(gender(Female))(country(USA)) --> (buy(455)), {C=0.004415760869565217, S=0.003793405310767435}
(gender(Female))(country(USA)) --> (buy(456)), {C=0.003509963768115942, S=0.00301527088804591}
(gender(Female))(country(USA)) --> (buy(457)), {C=0.002943840579710145, S=0.0025289368738449568}
(gender(Female))(country(USA)) --> (buy(458)), {C=0.002943840579710145, S=0.0025289368738449568}
(gender(Female))(country(USA)) --> (buy(459)), {C=0.0019248188405797102, S=0.001653535648283241}
(gender(Female))(country(USA)) --> (buy(460)), {C=0.0033967391304347825, S=0.0029180040852057193}
(gender(Female))(country(USA)) --> (buy(461)), {C=0.003623188405797102, S=0.003112537690886101}
(gender(Female))(country(USA)) --> (buy(462)), {C=0.003623188405797102, S=0.003112537690886101}
(gender(Female))(country(USA)) --> (buy(463)), {C=0.0033967391304347825, S=0.0029180040852057193}
(gender(Female))(country(USA)) --> (buy(464)), {C=0.002943840579710145, S=0.0025289368738449568}
(gender(Female))(country(USA)) --> (buy(465)), {C=0.0032835144927536235, S=0.0028207372823655288}
(gender(Female))(country(USA)) --> (buy(466)), {C=0.003509963768115942, S=0.00301527088804591}
(gender(Female))(country(USA)) --> (buy(467)), {C=0.0038496376811594205, S=0.003307071296566482}
(gender(Female))(country(USA)) --> (buy(468)), {C=0.0038496376811594205, S=0.003307071296566482}
(gender(Female))(country(USA)) --> (buy(469)), {C=0.0031702898550724635, S=0.002723470479525338}
(gender(Female))(country(USA)) --> (buy(470)), {C=0.0032835144927536235, S=0.0028207372823655288}
(gender(Female))(country(USA)) --> (buy(471)), {C=0.002943840579710145, S=0.0025289368738449568}
(gender(Female))(country(USA)) --> (buy(472)), {C=0.0031702898550724635, S=0.002723470479525338}
(gender(Female))(country(USA)) --> (buy(473)), {C=0.0024909420289855075, S=0.002139869662484194}
(gender(Female))(country(USA)) --> (buy(474)), {C=0.002943840579710145, S=0.0025289368738449568}
(gender(Female))(country(USA)) --> (buy(475)), {C=0.0032835144927536235, S=0.0028207372823655288}
(gender(Female))(country(USA)) --> (buy(476)), {C=0.0031702898550724635, S=0.002723470479525338}
(gender(Female))(country(USA)) --> (buy(477)), {C=0.004528985507246377, S=0.003890672113607626}
(gender(Female))(country(USA)) --> (buy(478)), {C=0.003509963768115942, S=0.00301527088804591}
(gender(Female))(country(USA)) --> (buy(479)), {C=0.0030570652173913045, S=0.0026262036766851473}
(gender(Female))(country(USA)) --> (buy(480)), {C=0.003623188405797102, S=0.003112537690886101}
(gender(Female))(country(USA)) --> (buy(481)), {C=0.0038496376811594205, S=0.003307071296566482}
(gender(Female))(country(USA)) --> (buy(482)), {C=0.004302536231884058, S=0.0036961385079272444}
(gender(Female))(country(USA)) --> (buy(483)), {C=0.0026041666666666665, S=0.0022371364653243847}
(gender(Female))(country(USA)) --> (buy(484)), {C=0.00396286231884058, S=0.0034043380994066724}
(gender(Female))(country(USA)) --> (buy(485)), {C=0.003509963768115942, S=0.00301527088804591}
(gender(Female))(country(USA)) --> (buy(486)), {C=0.0033967391304347825, S=0.0029180040852057193}
(gender(Female))(country(USA)) --> (buy(487)), {C=0.0032835144927536235, S=0.0028207372823655288}
(gender(Female))(country(USA)) --> (buy(488)), {C=0.003509963768115942, S=0.00301527088804591}
(gender(Female))(country(USA)) --> (buy(489)), {C=0.002943840579710145, S=0.0025289368738449568}
(gender(Female))(country(USA)) --> (buy(490)), {C=0.0031702898550724635, S=0.002723470479525338}
(gender(Female))(country(USA)) --> (buy(491)), {C=0.002717391304347826, S=0.0023344032681645753}
(gender(Female))(country(USA)) --> (buy(492)), {C=0.0031702898550724635, S=0.002723470479525338}
(gender(Female))(country(USA)) --> (buy(493)), {C=0.003623188405797102, S=0.003112537690886101}
(gender(Female))(country(USA)) --> (buy(494)), {C=0.002717391304347826, S=0.0023344032681645753}
(gender(Female))(country(USA)) --> (buy(495)), {C=0.0031702898550724635, S=0.002723470479525338}
(gender(Female))(country(USA)) --> (buy(496)), {C=0.0024909420289855075, S=0.002139869662484194}
(gender(Female))(country(USA)) --> (buy(497)), {C=0.0032835144927536235, S=0.0028207372823655288}
(gender(Female))(country(USA)) --> (buy(498)), {C=0.003623188405797102, S=0.003112537690886101}
(gender(Female))(country(USA)) --> (buy(499)), {C=0.0030570652173913045, S=0.0026262036766851473}
(gender(Female))(country(USA)) --> (buy(500)), {C=0.0026041666666666665, S=0.0022371364653243847}
(gender(Female))(country(USA)) --> (buy(501)), {C=0.0031702898550724635, S=0.002723470479525338}
(gender(Female))(country(USA)) --> (buy(502)), {C=0.004302536231884058, S=0.0036961385079272444}
(gender(Female))(country(USA)) --> (buy(503)), {C=0.0032835144927536235, S=0.0028207372823655288}
(gender(Female))(country(USA)) --> (buy(504)), {C=0.0032835144927536235, S=0.0028207372823655288}
(gender(Female))(country(USA)) --> (buy(505)), {C=0.00396286231884058, S=0.0034043380994066724}
(gender(Female))(country(USA)) --> (buy(506)), {C=0.0031702898550724635, S=0.002723470479525338}
(gender(Female))(country(USA)) --> (buy(507)), {C=0.003623188405797102, S=0.003112537690886101}
(gender(Female))(country(USA)) --> (buy(508)), {C=0.003623188405797102, S=0.003112537690886101}
(gender(Female))(country(USA)) --> (buy(509)), {C=0.0019248188405797102, S=0.001653535648283241}
(gender(Female))(country(USA)) --> (buy(510)), {C=0.002943840579710145, S=0.0025289368738449568}
(gender(Female))(country(USA)) --> (buy(511)), {C=0.0033967391304347825, S=0.0029180040852057193}
(gender(Female))(country(USA)) --> (buy(512)), {C=0.0032835144927536235, S=0.0028207372823655288}
(gender(Female))(country(USA)) --> (buy(513)), {C=0.0030570652173913045, S=0.0026262036766851473}
(gender(Female))(country(USA)) --> (buy(514)), {C=0.003509963768115942, S=0.00301527088804591}
(gender(Female))(country(USA)) --> (buy(515)), {C=0.0033967391304347825, S=0.0029180040852057193}
(gender(Female))(country(USA)) --> (buy(516)), {C=0.0024909420289855075, S=0.002139869662484194}
(gender(Female))(country(USA)) --> (buy(517)), {C=0.002830615942028986, S=0.0024316700710047662}
(gender(Female))(country(USA)) --> (buy(518)), {C=0.003623188405797102, S=0.003112537690886101}
(gender(Female))(country(USA)) --> (buy(519)), {C=0.004755434782608696, S=0.004085205719288007}
(gender(Female))(country(USA)) --> (buy(520)), {C=0.0032835144927536235, S=0.0028207372823655288}
(gender(Female))(country(USA)) --> (buy(521)), {C=0.003736413043478261, S=0.0032098044937262913}
(gender(Female))(country(USA)) --> (buy(522)), {C=0.0033967391304347825, S=0.0029180040852057193}
(gender(Female))(country(USA)) --> (buy(523)), {C=0.003509963768115942, S=0.00301527088804591}
(gender(Female))(country(USA)) --> (buy(524)), {C=0.003623188405797102, S=0.003112537690886101}
(gender(Female))(country(USA)) --> (buy(525)), {C=0.0032835144927536235, S=0.0028207372823655288}
(gender(Female))(country(USA)) --> (buy(526)), {C=0.0030570652173913045, S=0.0026262036766851473}
(gender(Female))(country(USA)) --> (buy(527)), {C=0.00396286231884058, S=0.0034043380994066724}
(gender(Female))(country(USA)) --> (buy(528)), {C=0.0032835144927536235, S=0.0028207372823655288}
(gender(Female))(country(USA)) --> (buy(529)), {C=0.004415760869565217, S=0.003793405310767435}
(gender(Female))(country(USA)) --> (buy(530)), {C=0.002830615942028986, S=0.0024316700710047662}
(gender(Female))(country(USA)) --> (buy(531)), {C=0.0022644927536231885, S=0.001945336056803813}
(gender(Female))(country(USA)) --> (buy(532)), {C=0.0026041666666666665, S=0.0022371364653243847}
(gender(Female))(country(USA)) --> (buy(533)), {C=0.002943840579710145, S=0.0025289368738449568}
(gender(Female))(country(USA)) --> (buy(534)), {C=0.0024909420289855075, S=0.002139869662484194}
(gender(Female))(country(USA)) --> (buy(535)), {C=0.0031702898550724635, S=0.002723470479525338}
(gender(Female))(country(USA)) --> (buy(536)), {C=0.003509963768115942, S=0.00301527088804591}
(gender(Female))(country(USA)) --> (buy(537)), {C=0.00396286231884058, S=0.0034043380994066724}
(gender(Female))(country(USA)) --> (buy(538)), {C=0.0031702898550724635, S=0.002723470479525338}
(gender(Female))(country(USA)) --> (buy(539)), {C=0.0031702898550724635, S=0.002723470479525338}
(gender(Female))(country(USA)) --> (buy(540)), {C=0.002377717391304348, S=0.0020426028596440037}
(gender(Female))(country(USA)) --> (buy(541)), {C=0.003736413043478261, S=0.0032098044937262913}
(gender(Female))(country(USA)) --> (buy(542)), {C=0.0033967391304347825, S=0.0029180040852057193}
(gender(Female))(country(USA)) --> (buy(543)), {C=0.003509963768115942, S=0.00301527088804591}
(gender(Female))(country(USA)) --> (buy(544)), {C=0.00396286231884058, S=0.0034043380994066724}
(gender(Female))(country(USA)) --> (buy(545)), {C=0.0020380434782608695, S=0.0017508024511234317}
(gender(Female))(country(USA)) --> (buy(546)), {C=0.0032835144927536235, S=0.0028207372823655288}
(gender(Female))(country(USA)) --> (buy(547)), {C=0.0032835144927536235, S=0.0028207372823655288}
(gender(Female))(country(USA)) --> (buy(548)), {C=0.002830615942028986, S=0.0024316700710047662}
(gender(Female))(country(USA)) --> (buy(549)), {C=0.004981884057971015, S=0.004279739324968388}
(gender(Female))(country(USA)) --> (buy(550)), {C=0.002943840579710145, S=0.0025289368738449568}
(gender(Female))(country(USA)) --> (buy(551)), {C=0.002717391304347826, S=0.0023344032681645753}
(gender(Female))(country(USA)) --> (buy(552)), {C=0.0026041666666666665, S=0.0022371364653243847}
(gender(Female))(country(USA)) --> (buy(553)), {C=0.0031702898550724635, S=0.002723470479525338}
(gender(Female))(country(USA)) --> (buy(554)), {C=0.0030570652173913045, S=0.0026262036766851473}
(gender(Female))(country(USA)) --> (buy(555)), {C=0.002151268115942029, S=0.0018480692539636222}
(gender(Female))(country(USA)) --> (buy(556)), {C=0.002943840579710145, S=0.0025289368738449568}
(gender(Female))(country(USA)) --> (buy(557)), {C=0.0032835144927536235, S=0.0028207372823655288}
(gender(Female))(country(USA)) --> (buy(558)), {C=0.003509963768115942, S=0.00301527088804591}
(gender(Female))(country(USA)) --> (buy(559)), {C=0.0032835144927536235, S=0.0028207372823655288}
(gender(Female))(country(USA)) --> (buy(560)), {C=0.0026041666666666665, S=0.0022371364653243847}
(gender(Female))(country(USA)) --> (buy(561)), {C=0.002830615942028986, S=0.0024316700710047662}
(gender(Female))(country(USA)) --> (buy(562)), {C=0.002717391304347826, S=0.0023344032681645753}
(gender(Female))(country(USA)) --> (buy(563)), {C=0.002943840579710145, S=0.0025289368738449568}
(gender(Female))(country(USA)) --> (buy(564)), {C=0.0033967391304347825, S=0.0029180040852057193}
(gender(Female))(country(USA)) --> (buy(565)), {C=0.0033967391304347825, S=0.0029180040852057193}
(gender(Female))(country(USA)) --> (buy(566)), {C=0.0032835144927536235, S=0.0028207372823655288}
(gender(Female))(country(USA)) --> (buy(567)), {C=0.0033967391304347825, S=0.0029180040852057193}
(gender(Female))(country(USA)) --> (buy(568)), {C=0.0038496376811594205, S=0.003307071296566482}
(gender(Female))(country(USA)) --> (buy(569)), {C=0.0024909420289855075, S=0.002139869662484194}
(gender(Female))(country(USA)) --> (buy(570)), {C=0.004189311594202899, S=0.003598871705087054}
(gender(Female))(country(USA)) --> (buy(571)), {C=0.0024909420289855075, S=0.002139869662484194}
(gender(Female))(country(USA)) --> (buy(572)), {C=0.003509963768115942, S=0.00301527088804591}
(gender(Female))(country(USA)) --> (buy(573)), {C=0.0038496376811594205, S=0.003307071296566482}
(gender(Female))(country(USA)) --> (buy(574)), {C=0.003736413043478261, S=0.0032098044937262913}
(gender(Female))(country(USA)) --> (buy(575)), {C=0.0033967391304347825, S=0.0029180040852057193}
(gender(Female))(country(USA)) --> (buy(576)), {C=0.0038496376811594205, S=0.003307071296566482}
(gender(Female))(country(USA)) --> (buy(577)), {C=0.003509963768115942, S=0.00301527088804591}
(gender(Female))(country(USA)) --> (buy(578)), {C=0.002943840579710145, S=0.0025289368738449568}
(gender(Female))(country(USA)) --> (buy(579)), {C=0.0038496376811594205, S=0.003307071296566482}
