(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(28)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(727)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(748)), {C=0.000633245382585752, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(783)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(804)), {C=0.0007387862796833773, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(805)), {C=0.0007387862796833773, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(839)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(887)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(889)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(952)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(957)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(963)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(987)), {C=0.000633245382585752, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(992)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(993)), {C=0.000633245382585752, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(998)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1018)), {C=0.000633245382585752, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1083)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1086)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1100)), {C=0.000633245382585752, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1132)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1136)), {C=0.0007387862796833773, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1140)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1173)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1208)), {C=0.0007387862796833773, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1226)), {C=0.000633245382585752, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1239)), {C=0.000633245382585752, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1309)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1324)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1340)), {C=0.000633245382585752, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1341)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1347)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1356)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1380)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1411)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1413)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1419)), {C=0.000633245382585752, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1447)), {C=0.000633245382585752, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1452)), {C=0.000633245382585752, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1479)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1483)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(1497)), {C=0.0005277044854881267, S=0.00048633401420095323}
