(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(2)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(784)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(790)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(791)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(792)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(796)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(802)), {C=0.0009170105456212747, S=0.0007781344227215252}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(807)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(808)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(813)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(820)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(826)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(831)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(834)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(835)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(836)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(837)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(841)), {C=0.0009170105456212747, S=0.0007781344227215252}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(850)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(855)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(862)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(871)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(872)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(881)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(884)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(887)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(889)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(891)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(893)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(894)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(896)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(900)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(901)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(903)), {C=0.0009170105456212747, S=0.0007781344227215252}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(904)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(905)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(906)), {C=0.0009170105456212747, S=0.0007781344227215252}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(907)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(909)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(912)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(914)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(918)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(919)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(921)), {C=0.001031636863823934, S=0.0008754012255617158}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(923)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(925)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(927)), {C=0.0009170105456212747, S=0.0007781344227215252}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(934)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(936)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(944)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(947)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(948)), {C=0.0009170105456212747, S=0.0007781344227215252}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(955)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(956)), {C=0.0009170105456212747, S=0.0007781344227215252}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(957)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(958)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(960)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(961)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(964)), {C=0.0009170105456212747, S=0.0007781344227215252}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(965)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(968)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(971)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(972)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(975)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(977)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(978)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(979)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(982)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(983)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(984)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(988)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(989)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(995)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(998)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1001)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1002)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1003)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1005)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1006)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1016)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1018)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1020)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1025)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1034)), {C=0.001031636863823934, S=0.0008754012255617158}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1036)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1037)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1039)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1041)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1042)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1044)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1045)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1047)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1055)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1056)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1057)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1061)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1062)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1063)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1072)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1073)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1078)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1079)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1080)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1084)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1085)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1088)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1095)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1097)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1111)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1112)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1122)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1124)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1125)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1127)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1131)), {C=0.001031636863823934, S=0.0008754012255617158}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1139)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1143)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1145)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1146)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1149)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1156)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1163)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1170)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1171)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1175)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1176)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1183)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1184)), {C=0.0009170105456212747, S=0.0007781344227215252}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1185)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1188)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1196)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1198)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1200)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1203)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1205)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1210)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1213)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1216)), {C=0.0009170105456212747, S=0.0007781344227215252}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1219)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1220)), {C=0.0009170105456212747, S=0.0007781344227215252}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1222)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1227)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1230)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1233)), {C=0.0009170105456212747, S=0.0007781344227215252}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1234)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1235)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1236)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1243)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1245)), {C=0.0009170105456212747, S=0.0007781344227215252}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1246)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1249)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1250)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1254)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1257)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1262)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1267)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1273)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1275)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1276)), {C=0.001031636863823934, S=0.0008754012255617158}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1278)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1288)), {C=0.0009170105456212747, S=0.0007781344227215252}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1289)), {C=0.0009170105456212747, S=0.0007781344227215252}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1294)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1296)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1297)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1298)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1299)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1300)), {C=0.0011462631820265935, S=0.0009726680284019065}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1301)), {C=0.0009170105456212747, S=0.0007781344227215252}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1307)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1311)), {C=0.0009170105456212747, S=0.0007781344227215252}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1319)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1324)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1326)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1338)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1339)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1340)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1359)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1360)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1362)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1365)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1366)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1368)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1370)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1371)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1373)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1377)), {C=0.0009170105456212747, S=0.0007781344227215252}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1383)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1386)), {C=0.0009170105456212747, S=0.0007781344227215252}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1387)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1394)), {C=0.001031636863823934, S=0.0008754012255617158}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1398)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1401)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1405)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1407)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1411)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1415)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1416)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1422)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1426)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1428)), {C=0.0009170105456212747, S=0.0007781344227215252}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1435)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1436)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1438)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1440)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1441)), {C=0.0009170105456212747, S=0.0007781344227215252}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1443)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1445)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1447)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1448)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1452)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1455)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1456)), {C=0.0008023842274186153, S=0.0006808676198813345}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1459)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1460)), {C=0.000687757909215956, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1462)), {C=0.0005731315910132967, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1463)), {C=0.0005731315910132967, S=0.00048633401420095323}
