(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(7)), {C=0.0009271062695561479, S=0.0007781344227215252}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(943)), {C=0.0008112179858616293, S=0.0006808676198813345}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(948)), {C=0.0008112179858616293, S=0.0006808676198813345}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(950)), {C=0.0009271062695561479, S=0.0007781344227215252}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(951)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(954)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(955)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(960)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(965)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(969)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(972)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(975)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(979)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(982)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(985)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(990)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(991)), {C=0.0008112179858616293, S=0.0006808676198813345}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(996)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1000)), {C=0.0009271062695561479, S=0.0007781344227215252}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1003)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1007)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1009)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1013)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1014)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1018)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1022)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1025)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1028)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1031)), {C=0.0010429945532506664, S=0.0008754012255617158}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1040)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1042)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1043)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1061)), {C=0.0009271062695561479, S=0.0007781344227215252}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1065)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1075)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1091)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1105)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1123)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1126)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1132)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1149)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1162)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1164)), {C=0.0008112179858616293, S=0.0006808676198813345}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1165)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1166)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1169)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1171)), {C=0.0008112179858616293, S=0.0006808676198813345}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1172)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1177)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1179)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1182)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1183)), {C=0.0008112179858616293, S=0.0006808676198813345}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1185)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1189)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1191)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1192)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1195)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1196)), {C=0.0008112179858616293, S=0.0006808676198813345}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1198)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1204)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1206)), {C=0.0008112179858616293, S=0.0006808676198813345}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1212)), {C=0.0010429945532506664, S=0.0008754012255617158}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1214)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1218)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1228)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1243)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1247)), {C=0.0008112179858616293, S=0.0006808676198813345}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1250)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1254)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1256)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1260)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1262)), {C=0.0010429945532506664, S=0.0008754012255617158}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1267)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1269)), {C=0.0008112179858616293, S=0.0006808676198813345}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1270)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1276)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1278)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1283)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1287)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1293)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1298)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1299)), {C=0.0009271062695561479, S=0.0007781344227215252}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1301)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1308)), {C=0.0008112179858616293, S=0.0006808676198813345}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1313)), {C=0.0008112179858616293, S=0.0006808676198813345}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1319)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1320)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1322)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1331)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1333)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1336)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1341)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1342)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1346)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1354)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1361)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1362)), {C=0.0009271062695561479, S=0.0007781344227215252}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1371)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1376)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1377)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1378)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1382)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1386)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1388)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1398)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1399)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1411)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1412)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1414)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1421)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1422)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1424)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1426)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1429)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1432)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1435)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1436)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1441)), {C=0.0010429945532506664, S=0.0008754012255617158}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1446)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1452)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1453)), {C=0.0009271062695561479, S=0.0007781344227215252}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1457)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1459)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1464)), {C=0.0008112179858616293, S=0.0006808676198813345}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1472)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1475)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1484)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1486)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1487)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1491)), {C=0.0008112179858616293, S=0.0006808676198813345}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1496)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1499)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1504)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1505)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1506)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1512)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1515)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1516)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1519)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1520)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1530)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1548)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1549)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1551)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1552)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1555)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1556)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(1557)), {C=0.0005794414184725924, S=0.00048633401420095323}
