(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(4)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(849)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(854)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(855)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(858)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(860)), {C=0.000803305026394308, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(862)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(863)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(865)), {C=0.000803305026394308, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(873)), {C=0.0011475786091347257, S=0.0009726680284019065}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(879)), {C=0.0009180628873077806, S=0.0007781344227215252}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(893)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(897)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(902)), {C=0.0009180628873077806, S=0.0007781344227215252}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(910)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(913)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(914)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(915)), {C=0.0009180628873077806, S=0.0007781344227215252}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(928)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(930)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(931)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(938)), {C=0.0009180628873077806, S=0.0007781344227215252}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(946)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(948)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(949)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(950)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(954)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(955)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(956)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(958)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(964)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(983)), {C=0.000803305026394308, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(984)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(986)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(989)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(991)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(994)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(996)), {C=0.0009180628873077806, S=0.0007781344227215252}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(997)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1005)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1006)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1008)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1012)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1014)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1019)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1021)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1022)), {C=0.000803305026394308, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1026)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1031)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1032)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1034)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1041)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1042)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1044)), {C=0.0009180628873077806, S=0.0007781344227215252}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1045)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1046)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1048)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1049)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1053)), {C=0.0011475786091347257, S=0.0009726680284019065}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1054)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1058)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1059)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1063)), {C=0.0009180628873077806, S=0.0007781344227215252}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1070)), {C=0.000803305026394308, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1076)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1079)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1084)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1089)), {C=0.000803305026394308, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1092)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1093)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1105)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1106)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1111)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1113)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1114)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1123)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1124)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1132)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1133)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1138)), {C=0.000803305026394308, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1146)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1149)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1154)), {C=0.000803305026394308, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1163)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1165)), {C=0.000803305026394308, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1167)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1174)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1175)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1176)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1177)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1181)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1187)), {C=0.000803305026394308, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1190)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1192)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1193)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1198)), {C=0.000803305026394308, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1200)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1203)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1204)), {C=0.000803305026394308, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1206)), {C=0.000803305026394308, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1208)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1209)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1212)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1220)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1224)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1227)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1232)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1235)), {C=0.000803305026394308, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1236)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1239)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1242)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1249)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1261)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1263)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1265)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1266)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1267)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1271)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1274)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1277)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1279)), {C=0.000803305026394308, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1280)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1285)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1287)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1288)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1290)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1297)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1300)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1302)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1305)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1309)), {C=0.0010328207482212532, S=0.0008754012255617158}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1310)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1314)), {C=0.000803305026394308, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1320)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1324)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1325)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1327)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1332)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1337)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1339)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1341)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1343)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1352)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1357)), {C=0.0010328207482212532, S=0.0008754012255617158}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1358)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1363)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1368)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1369)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1371)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1374)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1381)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1382)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1390)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1391)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1396)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1397)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1398)), {C=0.000803305026394308, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1400)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1404)), {C=0.0009180628873077806, S=0.0007781344227215252}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1406)), {C=0.000803305026394308, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1409)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1416)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1417)), {C=0.000803305026394308, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1419)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1421)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1429)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1431)), {C=0.0009180628873077806, S=0.0007781344227215252}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1432)), {C=0.0010328207482212532, S=0.0008754012255617158}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1437)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1441)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1442)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1446)), {C=0.0009180628873077806, S=0.0007781344227215252}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1447)), {C=0.0009180628873077806, S=0.0007781344227215252}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1449)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1452)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1456)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1458)), {C=0.000803305026394308, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1459)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1464)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1468)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1470)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1483)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1485)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1486)), {C=0.000803305026394308, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1487)), {C=0.000803305026394308, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1488)), {C=0.000803305026394308, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1491)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1498)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1501)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1508)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1514)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1520)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1522)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1525)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1530)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1533)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1534)), {C=0.0009180628873077806, S=0.0007781344227215252}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1536)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1547)), {C=0.0006885471654808354, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1554)), {C=0.000803305026394308, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1555)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(1558)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(4)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(6)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(12)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(16)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(17)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(23)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(26)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(29)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(33)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(34)), {C=0.0005737893045673629, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y)) --> (buy(39)), {C=0.0005737893045673629, S=0.00048633401420095323}
