(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(4)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(737)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(739)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(742)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(748)), {C=0.0009473060982830078, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(752)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(753)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(759)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(760)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(762)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(765)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(774)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(775)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(778)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(780)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(783)), {C=0.0009473060982830078, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(786)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(787)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(788)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(789)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(797)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(798)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(803)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(804)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(805)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(809)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(812)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(814)), {C=0.0009473060982830078, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(818)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(819)), {C=0.0009473060982830078, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(820)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(822)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(825)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(827)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(830)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(831)), {C=0.0009473060982830078, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(833)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(839)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(840)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(842)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(844)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(848)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(850)), {C=0.0010657193605683837, S=0.0008754012255617158}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(851)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(853)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(854)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(858)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(859)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(860)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(864)), {C=0.0009473060982830078, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(868)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(871)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(873)), {C=0.0009473060982830078, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(875)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(879)), {C=0.0010657193605683837, S=0.0008754012255617158}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(880)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(881)), {C=0.0010657193605683837, S=0.0008754012255617158}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(883)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(884)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(887)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(888)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(889)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(896)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(897)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(898)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(901)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(907)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(908)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(909)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(911)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(912)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(913)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(914)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(915)), {C=0.0010657193605683837, S=0.0008754012255617158}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(916)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(917)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(919)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(924)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(925)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(928)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(929)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(934)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(938)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(940)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(947)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(951)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(952)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(953)), {C=0.0010657193605683837, S=0.0008754012255617158}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(956)), {C=0.0009473060982830078, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(957)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(960)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(963)), {C=0.0010657193605683837, S=0.0008754012255617158}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(967)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(969)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(972)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(973)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(974)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(975)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(977)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(979)), {C=0.0009473060982830078, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(980)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(987)), {C=0.0011841326228537597, S=0.0009726680284019065}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(990)), {C=0.0009473060982830078, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(991)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(992)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(993)), {C=0.0011841326228537597, S=0.0009726680284019065}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(997)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(998)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(999)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1003)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1004)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1007)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1008)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1015)), {C=0.0010657193605683837, S=0.0008754012255617158}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1016)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1018)), {C=0.0013025458851391356, S=0.001069934831242097}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1019)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1020)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1022)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1023)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1030)), {C=0.0009473060982830078, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1034)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1036)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1042)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1043)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1046)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1048)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1052)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1053)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1058)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1059)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1060)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1061)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1062)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1063)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1069)), {C=0.0010657193605683837, S=0.0008754012255617158}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1072)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1073)), {C=0.0010657193605683837, S=0.0008754012255617158}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1075)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1077)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1078)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1086)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1088)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1089)), {C=0.0009473060982830078, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1090)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1092)), {C=0.0009473060982830078, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1097)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1100)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1102)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1106)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1116)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1121)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1123)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1128)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1136)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1138)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1149)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1150)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1153)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1160)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1161)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1165)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1166)), {C=0.0009473060982830078, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1169)), {C=0.0009473060982830078, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1170)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1172)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1173)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1177)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1179)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1180)), {C=0.0009473060982830078, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1183)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1185)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1190)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1192)), {C=0.0011841326228537597, S=0.0009726680284019065}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1196)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1198)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1202)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1206)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1208)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1209)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1212)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1218)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1219)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1221)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1223)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1225)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1227)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1228)), {C=0.0009473060982830078, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1229)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1233)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1234)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1235)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1239)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1245)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1248)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1251)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1254)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1255)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1259)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1261)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1262)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1264)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1266)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1268)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1273)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1274)), {C=0.0009473060982830078, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1276)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1278)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1280)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1281)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1282)), {C=0.0009473060982830078, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1292)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1294)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1298)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1300)), {C=0.0009473060982830078, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1307)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1308)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1309)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1312)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1313)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1314)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1319)), {C=0.0008288928359976317, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1322)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1323)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1324)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1325)), {C=0.0007104795737122557, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1340)), {C=0.0010657193605683837, S=0.0008754012255617158}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1341)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1342)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1346)), {C=0.0005920663114268799, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(M)) --> (buy(1349)), {C=0.0008288928359976317, S=0.0006808676198813345}
