(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(2)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(579)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(584)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(589)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(590)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(595)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(598)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(601)), {C=0.0009432849899775969, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(603)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(607)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(610)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(617)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(623)), {C=0.0009432849899775969, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(627)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(629)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(634)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(639)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(642)), {C=0.0009432849899775969, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(643)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(644)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(648)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(650)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(651)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(656)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(662)), {C=0.0009432849899775969, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(663)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(664)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(674)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(676)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(677)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(681)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(683)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(684)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(685)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(689)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(691)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(694)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(695)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(706)), {C=0.0009432849899775969, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(712)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(714)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(718)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(725)), {C=0.0009432849899775969, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(727)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(728)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(729)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(730)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(733)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(734)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(739)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(745)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(746)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(749)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(751)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(752)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(755)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(761)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(762)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(764)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(765)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(770)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(777)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(780)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(784)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(787)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(791)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(794)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(795)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(797)), {C=0.0009432849899775969, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(801)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(803)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(804)), {C=0.0009432849899775969, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(805)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(806)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(807)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(811)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(813)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(815)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(817)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(820)), {C=0.0009432849899775969, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(824)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(826)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(827)), {C=0.0009432849899775969, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(829)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(830)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(831)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(832)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(833)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(835)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(838)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(840)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(844)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(845)), {C=0.0010611956137247967, S=0.0008754012255617158}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(847)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(849)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(851)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(853)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(855)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(856)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(857)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(859)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(860)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(862)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(863)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(866)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(872)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(873)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(874)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(875)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(878)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(880)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(881)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(883)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(884)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(887)), {C=0.0010611956137247967, S=0.0008754012255617158}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(889)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(894)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(895)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(896)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(897)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(898)), {C=0.0009432849899775969, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(899)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(900)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(901)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(902)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(910)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(912)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(916)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(918)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(921)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(925)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(926)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(928)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(930)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(931)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(936)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(938)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(939)), {C=0.0009432849899775969, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(940)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(942)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(945)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(946)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(952)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(963)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(964)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(965)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(966)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(967)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(968)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(972)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(973)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(975)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(982)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(985)), {C=0.0009432849899775969, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(987)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(988)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(991)), {C=0.0010611956137247967, S=0.0008754012255617158}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(993)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(995)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1002)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1004)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1005)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1006)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1007)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1008)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1009)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1010)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1011)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1012)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1014)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1016)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1018)), {C=0.0009432849899775969, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1019)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1020)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1021)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1026)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1028)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1029)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1031)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1033)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1039)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1042)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1045)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1047)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1051)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1054)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1055)), {C=0.0010611956137247967, S=0.0008754012255617158}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1057)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1059)), {C=0.0010611956137247967, S=0.0008754012255617158}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1060)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1061)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1062)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1064)), {C=0.0009432849899775969, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1065)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1066)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1067)), {C=0.0009432849899775969, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1072)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1076)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1080)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1083)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1086)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1087)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1090)), {C=0.0009432849899775969, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1091)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1097)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1100)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1102)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1103)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1105)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1107)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1111)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1117)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1120)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1123)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1126)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1129)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1130)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1132)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1136)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1140)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1141)), {C=0.0009432849899775969, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1143)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1147)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1148)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1150)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1152)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1153)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1154)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1156)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1158)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1159)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(1161)), {C=0.0010611956137247967, S=0.0008754012255617158}
