(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(2)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(475)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(476)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(478)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(479)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(480)), {C=0.0012514220705346984, S=0.001069934831242097}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(481)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(484)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(485)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(488)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(493)), {C=0.0010238907849829352, S=0.0008754012255617158}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(496)), {C=0.0009101251422070534, S=0.0007781344227215252}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(501)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(502)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(504)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(505)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(507)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(513)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(515)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(517)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(518)), {C=0.0009101251422070534, S=0.0007781344227215252}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(519)), {C=0.0010238907849829352, S=0.0008754012255617158}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(521)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(524)), {C=0.0009101251422070534, S=0.0007781344227215252}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(527)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(529)), {C=0.0018202502844141069, S=0.0015562688454430504}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(533)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(541)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(544)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(547)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(551)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(554)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(555)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(559)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(561)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(562)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(564)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(565)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(567)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(568)), {C=0.0009101251422070534, S=0.0007781344227215252}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(573)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(574)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(575)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(577)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(579)), {C=0.0009101251422070534, S=0.0007781344227215252}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(580)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(583)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(584)), {C=0.0009101251422070534, S=0.0007781344227215252}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(589)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(591)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(595)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(596)), {C=0.0009101251422070534, S=0.0007781344227215252}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(597)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(599)), {C=0.0012514220705346984, S=0.001069934831242097}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(600)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(601)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(603)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(604)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(605)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(609)), {C=0.0009101251422070534, S=0.0007781344227215252}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(610)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(612)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(614)), {C=0.0009101251422070534, S=0.0007781344227215252}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(616)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(617)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(618)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(620)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(622)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(623)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(625)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(628)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(629)), {C=0.0010238907849829352, S=0.0008754012255617158}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(630)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(636)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(637)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(638)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(640)), {C=0.00136518771331058, S=0.0011672016340822876}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(642)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(643)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(644)), {C=0.0009101251422070534, S=0.0007781344227215252}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(645)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(646)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(647)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(648)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(649)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(652)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(656)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(658)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(660)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(665)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(666)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(667)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(668)), {C=0.0009101251422070534, S=0.0007781344227215252}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(669)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(670)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(671)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(673)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(674)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(676)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(678)), {C=0.0010238907849829352, S=0.0008754012255617158}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(679)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(680)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(682)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(683)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(684)), {C=0.0010238907849829352, S=0.0008754012255617158}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(685)), {C=0.0011376564277588168, S=0.0009726680284019065}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(688)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(690)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(692)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(693)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(695)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(696)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(699)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(700)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(701)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(706)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(715)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(717)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(718)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(721)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(724)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(726)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(727)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(731)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(733)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(735)), {C=0.0010238907849829352, S=0.0008754012255617158}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(737)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(738)), {C=0.0009101251422070534, S=0.0007781344227215252}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(739)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(744)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(750)), {C=0.0012514220705346984, S=0.001069934831242097}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(751)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(754)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(757)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(761)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(762)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(763)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(765)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(772)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(774)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(777)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(778)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(779)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(784)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(788)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(790)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(791)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(792)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(797)), {C=0.0011376564277588168, S=0.0009726680284019065}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(800)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(801)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(804)), {C=0.0009101251422070534, S=0.0007781344227215252}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(806)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(807)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(810)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(811)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(814)), {C=0.0009101251422070534, S=0.0007781344227215252}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(822)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(823)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(825)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(828)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(830)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(831)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(834)), {C=0.0009101251422070534, S=0.0007781344227215252}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(836)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(838)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(839)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(840)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(842)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(844)), {C=0.0009101251422070534, S=0.0007781344227215252}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(848)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(849)), {C=0.0011376564277588168, S=0.0009726680284019065}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(850)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(853)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(859)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(860)), {C=0.0011376564277588168, S=0.0009726680284019065}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(861)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(863)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(864)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(865)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(866)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(867)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(869)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(872)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(873)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(874)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(875)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(876)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(877)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(878)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(880)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(882)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(883)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(884)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(886)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(887)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(890)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(895)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(896)), {C=0.0012514220705346984, S=0.001069934831242097}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(897)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(898)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(899)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(900)), {C=0.0010238907849829352, S=0.0008754012255617158}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(904)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(905)), {C=0.0011376564277588168, S=0.0009726680284019065}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(908)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(909)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(910)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(912)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(914)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(915)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(916)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(917)), {C=0.0012514220705346984, S=0.001069934831242097}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(920)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(921)), {C=0.0010238907849829352, S=0.0008754012255617158}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(922)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(924)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(925)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(926)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(927)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(928)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(929)), {C=0.0010238907849829352, S=0.0008754012255617158}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(934)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(938)), {C=0.0007963594994311717, S=0.0006808676198813345}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(939)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(940)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(941)), {C=0.0005688282138794084, S=0.00048633401420095323}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(945)), {C=0.00068259385665529, S=0.0005836008170411438}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(946)), {C=0.0010238907849829352, S=0.0008754012255617158}
(gender(Female))(education(High School Degree))(house_owner(Y)) --> (buy(947)), {C=0.0007963594994311717, S=0.0006808676198813345}
