(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(2)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1413)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1424)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1426)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1434)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1435)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1436)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1437)), {C=0.0010092090324208404, S=0.0007781344227215252}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1439)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1441)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1442)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1470)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1476)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1507)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1538)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1540)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1546)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1553)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(1558)), {C=0.0006307556452630252, S=0.00048633401420095323}
