(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(12)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1066)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1068)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1078)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1086)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1099)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1101)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1104)), {C=0.001233654083395016, S=0.0009726680284019065}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1108)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1117)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1119)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1127)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1128)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1129)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1133)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1134)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1145)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1146)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1150)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1152)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1155)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1160)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1171)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1177)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1182)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1188)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1189)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1193)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1197)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1199)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1203)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1204)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1205)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1206)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1211)), {C=0.0009869232667160128, S=0.0007781344227215252}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1213)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1217)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1224)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1229)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1231)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1232)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1243)), {C=0.0009869232667160128, S=0.0007781344227215252}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1245)), {C=0.0009869232667160128, S=0.0007781344227215252}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1249)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1254)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1276)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1281)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1282)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1283)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1287)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1288)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1295)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1305)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1311)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1322)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1323)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1326)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1327)), {C=0.0009869232667160128, S=0.0007781344227215252}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1332)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1336)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1344)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1351)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1357)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1358)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1359)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1362)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1364)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1365)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1376)), {C=0.0009869232667160128, S=0.0007781344227215252}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1377)), {C=0.0009869232667160128, S=0.0007781344227215252}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1381)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1383)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1384)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1385)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1389)), {C=0.0013570194917345176, S=0.001069934831242097}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1390)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1394)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1403)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1405)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1408)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1410)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1411)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1413)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1425)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1426)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1436)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1438)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1439)), {C=0.0009869232667160128, S=0.0007781344227215252}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1444)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1446)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1447)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1448)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1449)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1450)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1453)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1465)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1466)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1467)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1468)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1470)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1471)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1474)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1477)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1486)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1487)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1495)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1498)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1499)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1509)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1513)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1526)), {C=0.0011102886750555144, S=0.0008754012255617158}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1527)), {C=0.0013570194917345176, S=0.001069934831242097}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1528)), {C=0.0009869232667160128, S=0.0007781344227215252}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1533)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1538)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1545)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1547)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1553)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1555)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(High School Degree))(house_owner(N)) --> (buy(1558)), {C=0.0007401924500370096, S=0.0005836008170411438}
