(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(6)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(529)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(531)), {C=0.0011344299489506524, S=0.0009726680284019065}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(532)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(534)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(535)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(536)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(537)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(539)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(543)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(545)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(546)), {C=0.0009075439591605219, S=0.0007781344227215252}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(547)), {C=0.0010209869540555871, S=0.0008754012255617158}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(548)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(550)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(551)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(554)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(555)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(562)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(567)), {C=0.0009075439591605219, S=0.0007781344227215252}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(569)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(570)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(571)), {C=0.0010209869540555871, S=0.0008754012255617158}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(575)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(576)), {C=0.0009075439591605219, S=0.0007781344227215252}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(579)), {C=0.0010209869540555871, S=0.0008754012255617158}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(582)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(584)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(589)), {C=0.0011344299489506524, S=0.0009726680284019065}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(592)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(593)), {C=0.0012478729438457174, S=0.001069934831242097}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(594)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(595)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(597)), {C=0.0010209869540555871, S=0.0008754012255617158}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(598)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(599)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(602)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(603)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(604)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(606)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(608)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(609)), {C=0.0011344299489506524, S=0.0009726680284019065}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(611)), {C=0.0009075439591605219, S=0.0007781344227215252}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(612)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(613)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(614)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(615)), {C=0.0011344299489506524, S=0.0009726680284019065}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(620)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(621)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(622)), {C=0.0011344299489506524, S=0.0009726680284019065}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(623)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(627)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(628)), {C=0.0011344299489506524, S=0.0009726680284019065}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(629)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(631)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(632)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(637)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(638)), {C=0.0009075439591605219, S=0.0007781344227215252}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(639)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(642)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(645)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(647)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(649)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(652)), {C=0.0009075439591605219, S=0.0007781344227215252}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(653)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(655)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(656)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(661)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(662)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(663)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(671)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(676)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(683)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(689)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(690)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(692)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(694)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(698)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(702)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(704)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(710)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(712)), {C=0.0013613159387407827, S=0.0011672016340822876}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(714)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(715)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(718)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(720)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(721)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(723)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(724)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(738)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(739)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(740)), {C=0.0009075439591605219, S=0.0007781344227215252}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(743)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(746)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(747)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(748)), {C=0.0009075439591605219, S=0.0007781344227215252}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(749)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(751)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(754)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(756)), {C=0.0009075439591605219, S=0.0007781344227215252}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(763)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(765)), {C=0.0009075439591605219, S=0.0007781344227215252}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(766)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(767)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(769)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(770)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(775)), {C=0.0011344299489506524, S=0.0009726680284019065}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(782)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(784)), {C=0.0010209869540555871, S=0.0008754012255617158}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(786)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(787)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(789)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(791)), {C=0.0010209869540555871, S=0.0008754012255617158}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(794)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(796)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(798)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(802)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(805)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(806)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(807)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(808)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(818)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(821)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(823)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(826)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(830)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(831)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(832)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(835)), {C=0.0009075439591605219, S=0.0007781344227215252}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(836)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(837)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(841)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(842)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(843)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(844)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(847)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(850)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(853)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(854)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(855)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(858)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(863)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(865)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(866)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(868)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(873)), {C=0.0009075439591605219, S=0.0007781344227215252}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(879)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(882)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(883)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(885)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(887)), {C=0.0010209869540555871, S=0.0008754012255617158}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(888)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(889)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(892)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(893)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(894)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(896)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(898)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(900)), {C=0.0010209869540555871, S=0.0008754012255617158}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(902)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(903)), {C=0.0009075439591605219, S=0.0007781344227215252}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(904)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(905)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(906)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(910)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(911)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(914)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(915)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(919)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(920)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(924)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(925)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(926)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(927)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(928)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(930)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(931)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(933)), {C=0.0009075439591605219, S=0.0007781344227215252}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(934)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(937)), {C=0.0009075439591605219, S=0.0007781344227215252}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(938)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(939)), {C=0.0010209869540555871, S=0.0008754012255617158}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(947)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(948)), {C=0.0009075439591605219, S=0.0007781344227215252}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(949)), {C=0.0009075439591605219, S=0.0007781344227215252}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(952)), {C=0.0009075439591605219, S=0.0007781344227215252}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(955)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(956)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(958)), {C=0.0010209869540555871, S=0.0008754012255617158}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(961)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(964)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(965)), {C=0.0011344299489506524, S=0.0009726680284019065}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(966)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(970)), {C=0.0010209869540555871, S=0.0008754012255617158}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(971)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(972)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(973)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(979)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(980)), {C=0.0010209869540555871, S=0.0008754012255617158}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(981)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(982)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(983)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(985)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(986)), {C=0.0009075439591605219, S=0.0007781344227215252}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(987)), {C=0.0009075439591605219, S=0.0007781344227215252}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(988)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(989)), {C=0.0009075439591605219, S=0.0007781344227215252}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(990)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(991)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(994)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(995)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(996)), {C=0.0010209869540555871, S=0.0008754012255617158}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(997)), {C=0.0009075439591605219, S=0.0007781344227215252}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(999)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1002)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1005)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1006)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(1009)), {C=0.0007941009642654565, S=0.0006808676198813345}
