(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(4)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(800)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(805)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(812)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(813)), {C=0.0009869232667160128, S=0.0007781344227215252}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(814)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(819)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(822)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(826)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(830)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(836)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(837)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(846)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(850)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(852)), {C=0.0009869232667160128, S=0.0007781344227215252}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(854)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(856)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(859)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(861)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(865)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(870)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(872)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(875)), {C=0.0009869232667160128, S=0.0007781344227215252}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(876)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(882)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(883)), {C=0.001233654083395016, S=0.0009726680284019065}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(892)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(894)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(898)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(901)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(902)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(903)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(904)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(906)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(908)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(909)), {C=0.0011102886750555144, S=0.0008754012255617158}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(912)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(913)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(914)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(915)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(919)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(927)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(933)), {C=0.0011102886750555144, S=0.0008754012255617158}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(935)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(936)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(945)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(947)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(951)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(956)), {C=0.0011102886750555144, S=0.0008754012255617158}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(959)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(966)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(967)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(968)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(969)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(971)), {C=0.0009869232667160128, S=0.0007781344227215252}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(975)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(976)), {C=0.001233654083395016, S=0.0009726680284019065}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(978)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(980)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(981)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(984)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(986)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(988)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(992)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(994)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(995)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(996)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1000)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1004)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1005)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1006)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1015)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1016)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1017)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1018)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1019)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1023)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1024)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1036)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1045)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1049)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1054)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1058)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1064)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1066)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1070)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1079)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1084)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1088)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1093)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1100)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1101)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1104)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1110)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1118)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1120)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1122)), {C=0.0009869232667160128, S=0.0007781344227215252}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1124)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1126)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1129)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1130)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1133)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1135)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1136)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1138)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1139)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1142)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1146)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1147)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1151)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1152)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1157)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1160)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1162)), {C=0.001233654083395016, S=0.0009726680284019065}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1169)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1170)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1171)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1172)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1175)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1176)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1179)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1182)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1192)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1193)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1197)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1199)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1200)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1201)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1206)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1212)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1213)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1223)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1224)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1225)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1227)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1228)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1232)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1236)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1237)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1248)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1249)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1257)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1266)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1268)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1277)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1288)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1289)), {C=0.0011102886750555144, S=0.0008754012255617158}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1291)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1292)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1294)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1298)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1301)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1314)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1318)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1319)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1320)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1321)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1326)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1328)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1331)), {C=0.0009869232667160128, S=0.0007781344227215252}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1336)), {C=0.0011102886750555144, S=0.0008754012255617158}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1337)), {C=0.0009869232667160128, S=0.0007781344227215252}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1339)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1341)), {C=0.0011102886750555144, S=0.0008754012255617158}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1344)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1345)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1348)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1351)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1352)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1355)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1363)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1369)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1372)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1374)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1376)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1378)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1379)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1380)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1381)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1392)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1395)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1396)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1399)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1401)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1410)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1414)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1418)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1422)), {C=0.0011102886750555144, S=0.0008754012255617158}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1424)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1425)), {C=0.0009869232667160128, S=0.0007781344227215252}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1428)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1430)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1433)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1434)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1435)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1436)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1444)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1452)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1455)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1456)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1457)), {C=0.0009869232667160128, S=0.0007781344227215252}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1459)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1460)), {C=0.0009869232667160128, S=0.0007781344227215252}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1466)), {C=0.0009869232667160128, S=0.0007781344227215252}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1467)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1471)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1472)), {C=0.0009869232667160128, S=0.0007781344227215252}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1473)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1475)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1477)), {C=0.001233654083395016, S=0.0009726680284019065}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1479)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1482)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1485)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1492)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1493)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1495)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1497)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1505)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1511)), {C=0.0009869232667160128, S=0.0007781344227215252}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1514)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1518)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1519)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1522)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1536)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(1556)), {C=0.000616827041697508, S=0.00048633401420095323}
