(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(2)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(501)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(502)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(503)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(504)), {C=0.0010277492291880781, S=0.0008754012255617158}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(505)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(506)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(508)), {C=0.0010277492291880781, S=0.0008754012255617158}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(510)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(511)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(512)), {C=0.0009135548703894028, S=0.0007781344227215252}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(514)), {C=0.0009135548703894028, S=0.0007781344227215252}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(517)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(518)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(519)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(520)), {C=0.0011419435879867536, S=0.0009726680284019065}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(521)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(522)), {C=0.0011419435879867536, S=0.0009726680284019065}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(523)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(524)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(525)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(527)), {C=0.001370332305584104, S=0.0011672016340822876}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(528)), {C=0.0011419435879867536, S=0.0009726680284019065}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(530)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(536)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(537)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(538)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(539)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(540)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(543)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(544)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(547)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(549)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(550)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(554)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(558)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(560)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(561)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(563)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(566)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(567)), {C=0.0010277492291880781, S=0.0008754012255617158}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(568)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(569)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(570)), {C=0.0010277492291880781, S=0.0008754012255617158}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(572)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(576)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(577)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(578)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(580)), {C=0.0009135548703894028, S=0.0007781344227215252}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(581)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(582)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(584)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(587)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(589)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(593)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(595)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(603)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(604)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(605)), {C=0.0009135548703894028, S=0.0007781344227215252}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(608)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(609)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(610)), {C=0.0011419435879867536, S=0.0009726680284019065}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(613)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(614)), {C=0.0009135548703894028, S=0.0007781344227215252}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(615)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(616)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(617)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(619)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(622)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(623)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(626)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(629)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(632)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(639)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(640)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(641)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(644)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(645)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(647)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(648)), {C=0.0009135548703894028, S=0.0007781344227215252}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(653)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(654)), {C=0.0009135548703894028, S=0.0007781344227215252}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(655)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(660)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(661)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(662)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(671)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(672)), {C=0.0009135548703894028, S=0.0007781344227215252}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(673)), {C=0.0012561379467854288, S=0.001069934831242097}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(675)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(676)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(677)), {C=0.0009135548703894028, S=0.0007781344227215252}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(678)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(679)), {C=0.0010277492291880781, S=0.0008754012255617158}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(682)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(683)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(685)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(690)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(691)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(692)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(693)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(696)), {C=0.0009135548703894028, S=0.0007781344227215252}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(705)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(706)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(709)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(710)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(713)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(714)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(715)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(719)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(722)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(723)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(724)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(725)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(728)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(729)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(732)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(737)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(742)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(746)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(748)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(750)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(752)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(757)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(762)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(763)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(765)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(767)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(769)), {C=0.0009135548703894028, S=0.0007781344227215252}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(771)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(773)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(778)), {C=0.0010277492291880781, S=0.0008754012255617158}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(782)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(783)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(789)), {C=0.0009135548703894028, S=0.0007781344227215252}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(794)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(797)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(802)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(806)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(808)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(812)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(813)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(815)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(816)), {C=0.0009135548703894028, S=0.0007781344227215252}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(817)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(820)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(822)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(823)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(830)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(832)), {C=0.0009135548703894028, S=0.0007781344227215252}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(835)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(836)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(837)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(838)), {C=0.0010277492291880781, S=0.0008754012255617158}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(842)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(845)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(848)), {C=0.0010277492291880781, S=0.0008754012255617158}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(849)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(855)), {C=0.0010277492291880781, S=0.0008754012255617158}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(856)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(858)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(860)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(862)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(863)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(866)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(867)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(869)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(870)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(871)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(872)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(876)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(877)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(879)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(882)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(883)), {C=0.0009135548703894028, S=0.0007781344227215252}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(885)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(887)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(888)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(889)), {C=0.0009135548703894028, S=0.0007781344227215252}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(891)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(892)), {C=0.0010277492291880781, S=0.0008754012255617158}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(894)), {C=0.0009135548703894028, S=0.0007781344227215252}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(895)), {C=0.0011419435879867536, S=0.0009726680284019065}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(897)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(898)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(900)), {C=0.0009135548703894028, S=0.0007781344227215252}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(901)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(903)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(904)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(905)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(907)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(908)), {C=0.0012561379467854288, S=0.001069934831242097}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(909)), {C=0.0009135548703894028, S=0.0007781344227215252}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(911)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(913)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(914)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(915)), {C=0.0010277492291880781, S=0.0008754012255617158}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(917)), {C=0.0010277492291880781, S=0.0008754012255617158}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(923)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(924)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(925)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(927)), {C=0.0009135548703894028, S=0.0007781344227215252}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(928)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(929)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(930)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(931)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(932)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(933)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(934)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(936)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(938)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(939)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(940)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(942)), {C=0.0007993605115907274, S=0.0006808676198813345}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(943)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(945)), {C=0.000685166152792052, S=0.0005836008170411438}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(948)), {C=0.0015987210231814548, S=0.001361735239762669}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(950)), {C=0.0005709717939933768, S=0.00048633401420095323}
(gender(Female))(education(Bachelors Degree))(house_owner(Y)) --> (buy(952)), {C=0.0010277492291880781, S=0.0008754012255617158}
